marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
audi,100,100-2-8-v6-quattro-1993,,1993,174.0,5,Auto,Indefinido,Rural
audi,100,100-2-8-v6-quattro-1994,,1994,174.0,5,Auto,Indefinido,Rural
audi,100,100-2-8-v6-quattro-1995,,1995,174.0,5,Auto,Indefinido,Rural
audi,80,80-2-0-1994,,1994,115.0,5,Manual,Indefinido,Urbano
audi,80,80-2-6-v6-1994,,1994,150.0,5,Auto,Indefinido,Urbano
audi,80,80-2-8-v6-1994,,1994,174.0,5,Auto,Indefinido,Urbano
audi,80,80-2-0-1995,,1995,115.0,5,Manual,Indefinido,Urbano
audi,80,80-2-6-v6-1995,,1995,150.0,5,Auto,Indefinido,Urbano
audi,80,80-2-8-v6-1995,,1995,174.0,5,Auto,Indefinido,Urbano
audi,80 Avant,80-avant-2-0-1994,,1994,115.0,5,Manual,Indefinido,Urbano
audi,80 Avant,80-avant-2-6-v6-1994,,1994,150.0,5,Auto,Indefinido,Urbano
audi,80 Avant,80-avant-2-0-1995,,1995,115.0,5,Manual,Indefinido,Urbano
audi,80 Avant,80-avant-2-6-v6-1995,,1995,150.0,5,Auto,Indefinido,Urbano
audi,80 Avant,80-avant-2-6-v6-1995-gasolina,,1995,150.0,5,Manual,Indefinido,Urbano
audi,80 Avant,80-avant-2-8-v6-1995,,1995,174.0,5,Auto,Indefinido,Urbano
audi,80 Cabriolet,80-cabriolet-2-8-v6-1995,,1995,174.0,5,Auto,Indefinido,Urbano
audi,80 Cabriolet,80-cabriolet-2-8-v6-1996,,1996,174.0,5,Auto,Indefinido,Urbano
audi,80 Cabriolet,80-cabriolet-2-8-v6-1997,,1997,,5,Auto,Indefinido,Urbano
audi,A1,a1-attraction-1-4-tfsi-2011,,2011,122.0,5,Auto,Indefinido,Urbano
audi,A1,a1-attraction-1-4-tfsi-2012,,2012,122.0,5,Auto,Indefinido,Urbano
audi,A1,a1-2-0-tfsi-quattro-2013,,2013,256.0,5,Manual,Indefinido,Rural
audi,A1,a1-attraction-1-4-tfsi-2013,,2013,122.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sport-1-4-tfsi-2013,,2013,185.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-ambition-1-4-tfsi-2013,,2013,185.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-attraction-1-4-tfsi-2013,,2013,122.0,5,Auto,Indefinido,Urbano
audi,A1,a1-attraction-1-4-tfsi-2014,,2014,122.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sport-1-4-tfsi-2014,,2014,185.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-ambition-1-4-tfsi-2014,,2014,185.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-attraction-1-4-tfsi-2014,,2014,122.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-ambition-1-4-tfsi-2015,,2015,185.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-attraction-1-4-tfsi-2015,,2015,122.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-ambition-1-8-tfsi-2016,,2016,192.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-attraction-1-4-tfsi-2016,,2016,125.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-sport-1-4-tfsi-2016,,2016,125.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-ambition-1-8-tfsi-2017,,2017,192.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-attraction-1-4-tfsi-2017,,2017,125.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-sport-1-4-tfsi-2017,,2017,125.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-ambition-1-8-tfsi-2018,,2018,192.0,5,Auto,Indefinido,Urbano
audi,A1,a1-sportback-attraction-1-4-tfsi-2018,,2018,125.0,5,Auto,Indefinido,Urbano
audi,A3,a3-1-8-1997,,1997,125.0,5,Manual,Indefinido,Urbano
audi,A3,a3-1-8-turbo-1997,,1997,150.0,5,Manual,Indefinido,Urbano
audi,A3,a3-1-8-1998,,1998,125.0,5,Manual,Indefinido,Urbano
audi,A3,a3-1-8-turbo-1998,,1998,150.0,5,Manual,Indefinido,Urbano
audi,A3,a3-1-8-turbo-at-1998,,1998,150.0,5,Auto,Indefinido,Urbano
audi,A3,a3-1-6-1999,,1999,,5,Manual,Indefinido,Urbano
audi,A3,a3-1-6-1999-gasolina,,1999,101.0,5,Manual,Indefinido,Urbano
audi,A3,a3-1-8-1999,,1999,125.0,5,Manual,Indefinido,Urbano
audi,A3,a3-1-8-1999-gasolina,,1999,125.0,5,Manual,Indefinido,Urbano
