marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
bmw,116i,116i-1-6-turbo-2012,,2012,136.0,5,Auto,Indefinido,Urbano
bmw,116i,116i-1-6-turbo-2013,,2013,136.0,5,Auto,Indefinido,Urbano
bmw,116i,116i-1-6-turbo-2014,,2014,136.0,5,Auto,Indefinido,Urbano
bmw,116i,116i-1-6-turbo-2015,,2015,136.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-2-0-at-2010,,2010,136.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-2-0-at-2011,,2011,136.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-2-0-at-2011-gasolina,,2011,136.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-1-6-turbo-2012,,2012,170.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-2-0-at-2012,,2012,136.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-2-0-at-2012-gasolina,,2012,136.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-1-6-turbo-2013,,2013,170.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-1-6-turbo-2014,,2014,170.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-1-6-turbo-2015,,2015,170.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-sport-gp-1-5-2020,,2020,140.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-sport-gp-1-5-2021,,2021,140.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-sport-gp-1-5-2022,,2022,140.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-m-sport-1-5-2023,,2023,140.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-sport-gp-1-5-2023,,2023,140.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-m-sport-1-5-2024,,2024,140.0,5,Auto,Indefinido,Urbano
bmw,118i,118i-sport-gp-1-5-2024,,2024,140.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-2-0-at-2005,,2005,150.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-2-0-2006,,2006,150.0,5,Manual,Indefinido,Urbano
bmw,120i,120i-2-0-at-2006,,2006,150.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-2-0-at-2007,,2007,150.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-2-0-2008,,2008,156.0,5,Manual,Indefinido,Urbano
bmw,120i,120i-2-0-at-2008,,2008,156.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-2-0-at-2009,,2009,156.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-2-0-at-2009-gasolina,,2009,156.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-2-0-at-2010,,2010,156.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-2-0-at-2011,,2011,170.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-2-0-at-2012,,2012,170.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-2-0-at-2015,,2015,184.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-2-0-at-2016,,2016,184.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-sport-2-0-2019,,2019,184.0,5,Auto,Indefinido,Urbano
bmw,120i,120i-sport-gp-2-0-2019,,2019,184.0,5,Auto,Indefinido,Urbano
