marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
chery,Arrizo 5,arrizo-5-rx-1-5-turbo-2019,,2019,150.0,5,Auto,Indefinido,Urbano
chery,Arrizo 5,arrizo-5-rxt-1-5-turbo-2019,,2019,150.0,5,Auto,Indefinido,Urbano
chery,Arrizo 5,arrizo-5-rx-1-5-turbo-2020,,2020,,5,Auto,Indefinido,Urbano
chery,Arrizo 5,arrizo-5-rxt-1-5-turbo-2020,,2020,,5,Auto,Indefinido,Urbano
chery,Arrizo 5,arrizo-5-rt-1-5-2021,,2021,,5,Auto,Indefinido,Urbano
chery,Arrizo 5,arrizo-5-rt-1-5-turbo-2021,,2021,,5,Auto,Indefinido,Urbano
chery,Arrizo 5,arrizo-5-rts-1-5-turbo-2021,,2021,,5,Auto,Indefinido,Urbano
chery,Arrizo 5,arrizo-5-rxs-1-5-turbo-2021,,2021,150.0,5,Auto,Indefinido,Urbano
chery,Arrizo 5,arrizo-5-rxt-1-5-2021,,2021,,5,Auto,Indefinido,Urbano
chery,Arrizo 6,arrizo-6-gsx-1-5-turbo-2021,,2021,,5,Auto,Indefinido,Urbano
chery,Arrizo 6,arrizo-6-gsx-1-5-turbo-2022,,2022,,5,Auto,Indefinido,Urbano
chery,Arrizo 6,arrizo-6-pro-1-5-turbo-2022,,2022,,5,Auto,Indefinido,Urbano
chery,Arrizo 6,arrizo-6-pro-1-5-2023,,2023,,5,Auto,Indefinido,Urbano
chery,Arrizo 6,arrizo-6-pro-hybrid-1-5-2023,,2023,150.0,5,Auto,Indefinido,Urbano
chery,Arrizo 6,arrizo-6-pro-hybrid-1-5-2024,,2024,150.0,5,Auto,Indefinido,Urbano
chery,Arrizo 6,arrizo-6-pro-hybrid-1-5-2025,,2025,150.0,5,Auto,Indefinido,Urbano
chery,Celer,celer-1-5-2013,,2013,108.0,5,Manual,Indefinido,Urbano
chery,Celer,celer-1-5-2014,,2014,108.0,5,Manual,Indefinido,Urbano
chery,Celer,celer-1-5-2015,,2015,113.0,5,Manual,Indefinido,Urbano
chery,Celer,celer-act-1-5-2015,,2015,113.0,5,Manual,Indefinido,Urbano
chery,Celer,celer-1-5-2016,,2016,113.0,5,Manual,Indefinido,Urbano
chery,Celer,celer-act-1-5-2016,,2016,113.0,5,Manual,Indefinido,Urbano
chery,Celer,celer-1-5-2017,,2017,113.0,5,Manual,Indefinido,Urbano
chery,Celer,celer-act-1-5-2017,,2017,113.0,5,Manual,Indefinido,Urbano
chery,Celer,celer-act-1-5-2018,,2018,113.0,5,Manual,Indefinido,Urbano
chery,Celer Sedan,celer-sedan-1-5-2013,,2013,108.0,5,Manual,Indefinido,Urbano
chery,Celer Sedan,celer-sedan-1-5-2014,,2014,108.0,5,Manual,Indefinido,Urbano
chery,Celer Sedan,celer-sedan-1-5-2015,,2015,113.0,5,Manual,Indefinido,Urbano
chery,Celer Sedan,celer-sedan-act-1-5-2015,,2015,113.0,5,Manual,Indefinido,Urbano
chery,Celer Sedan,celer-sedan-1-5-2016,,2016,113.0,5,Manual,Indefinido,Urbano
chery,Celer Sedan,celer-sedan-act-1-5-2016,,2016,113.0,5,Manual,Indefinido,Urbano
chery,Celer Sedan,celer-sedan-1-5-2017,,2017,113.0,5,Manual,Indefinido,Urbano
chery,Celer Sedan,celer-sedan-act-1-5-2017,,2017,113.0,5,Manual,Indefinido,Urbano
chery,Celer Sedan,celer-sedan-1-5-2018,,2018,113.0,5,Manual,Indefinido,Urbano
chery,Celer Sedan,celer-sedan-act-1-5-2018,,2018,113.0,5,Manual,Indefinido,Urbano
chery,Cielo,cielo-1-6-2010,,2010,119.0,5,Manual,Indefinido,Urbano
chery,Cielo,cielo-1-6-2011,,2011,119.0,5,Manual,Indefinido,Urbano
chery,Cielo,cielo-1-6-2012,,2012,119.0,5,Manual,Indefinido,Urbano
chery,Cielo Sedan,cielo-sedan-1-6-2010,,2010,119.0,5,Manual,Indefinido,Urbano
chery,Cielo Sedan,cielo-sedan-1-6-2011,,2011,119.0,5,Manual,Indefinido,Urbano
chery,Cielo Sedan,cielo-sedan-1-6-2012,,2012,119.0,5,Manual,Indefinido,Urbano
chery,Face,face-1-3-2010,,2010,84.0,5,Manual,Indefinido,Urbano
chery,Face,face-1-3-2011,,2011,84.0,5,Manual,Indefinido,Urbano
chery,Face,face-1-3-2012,,2012,91.0,5,Manual,Indefinido,Urbano
chery,Face,face-1-3-2013,,2013,91.0,5,Manual,Indefinido,Urbano
chery,Face,face-1-3-2014,,2014,91.0,5,Manual,Indefinido,Urbano
chery,Face,face-1-3-2015,,2015,91.0,5,Manual,Indefinido,Urbano
chery,Himla,himla-1-5-phev-2026,,2026,147.0,5,Auto,Indefinido,Rural
chery,Himla,himla-2-3-turbodiesel-2026,,2026,163.0,5,Auto,Indefinido,Rural
chery,Icar,icar-eq1-tech-2022,,2022,,5,Auto,Indefinido,Urbano
chery,Icar,icar-eq1-tech-2023,,2023,,5,Auto,Indefinido,Urbano
chery,Icar,icar-eq1-tech-2024,,2024,,5,Auto,Indefinido,Urbano
chery,Qq,qq-1-1-2011,,2011,68.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-1-1-2012,,2012,68.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-1-1-2013,,2013,68.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-1-1-2014,,2014,68.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-1-0-2015,,2015,69.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-act-1-0-2015-gasolina,,2015,69.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-act-1-0-2015,,2015,69.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-look-1-0-2015,,2015,69.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-act-1-0-2016,,2016,69.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-look-1-0-2016,,2016,69.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-act-1-0-2017,,2017,69.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-look-1-0-2017,,2017,69.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-act-1-0-2018,,2018,75.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-look-1-0-2018,,2018,75.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-smile-1-0-2018,,2018,75.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-act-1-0-2019,,2019,75.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-look-1-0-2019,,2019,75.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-smile-1-0-2019,,2019,75.0,5,Manual,Indefinido,Urbano
chery,Qq,qq-act-1-0-2020,,2020,,5,Manual,Indefinido,Urbano
chery,Qq,qq-look-1-0-2020,,2020,,5,Manual,Indefinido,Urbano
chery,Tiggo,tiggo-2-0-2009,,2009,135.0,5,Manual,Indefinido,Urbano
chery,Tiggo,tiggo-2-0-2010,,2010,135.0,5,Manual,Indefinido,Urbano
chery,Tiggo,tiggo-2-0-2011,,2011,135.0,5,Manual,Indefinido,Urbano
chery,Tiggo,tiggo-2-0-2012,,2012,135.0,5,Manual,Indefinido,Urbano
chery,Tiggo,tiggo-2-0-2013,,2013,135.0,5,Manual,Indefinido,Urbano
chery,Tiggo,tiggo-2-0-2014,,2014,138.0,5,Manual,Indefinido,Urbano
chery,Tiggo,tiggo-2-0-at-2014,,2014,138.0,5,Auto,Indefinido,Urbano
chery,Tiggo,tiggo-2-0-2015,,2015,138.0,5,Manual,Indefinido,Urbano
chery,Tiggo,tiggo-2-0-at-2015,,2015,138.0,5,Auto,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-act-1-5-2019,,2019,115.0,5,Manual,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-act-1-5-2019-flex,,2019,,5,Manual,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-act-1-5-at-2019,,2019,115.0,5,Auto,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-look-1-5-2019,,2019,115.0,5,Manual,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-look-1-5-at-2019,,2019,115.0,5,Auto,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-act-1-5-at-2020,,2020,,5,Auto,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-look-1-5-2020,,2020,,5,Manual,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-look-1-5-at-2020,,2020,,5,Auto,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-act-1-5-at-2021,,2021,,5,Auto,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-ex-1-5-at-pcd-2021,,2021,115.0,5,Auto,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-look-1-5-2021,,2021,,5,Manual,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-look-1-5-at-2021,,2021,115.0,5,Auto,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-act-1-5-at-2022,,2022,,5,Auto,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-look-1-5-2022,,2022,115.0,5,Manual,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-look-1-5-at-2022,,2022,,5,Auto,Indefinido,Urbano
chery,Tiggo 2,tiggo-2-smile-1-5-at-2022,,2022,115.0,5,Auto,Indefinido,Urbano
chery,Tiggo 3x,tiggo-3x-plus-1-0-turbo-2022,,2022,,5,Auto,Indefinido,Urbano
chery,Tiggo 3x,tiggo-3x-pro-1-0-turbo-2022,,2022,,5,Auto,Indefinido,Urbano
