marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
chevrolet,A-10,a-10-2-5-cs-1979,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
chevrolet,A-10,a-10-2-5-cs-1982,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
chevrolet,A-10,a-10-4-1-cs-1985,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
chevrolet,A-20,a-20-custom-s-4-1-cd-1986,0.0,0.0,135.0,5.0,Manual,Indefinido,Urbano
chevrolet,A-20,a-20-custom-s-4-1-cs-1986,0.0,0.0,135.0,5.0,Manual,Indefinido,Urbano
chevrolet,A-20,a-20-custom-s-4-1-cd-1988,0.0,0.0,135.0,5.0,Manual,Indefinido,Urbano
chevrolet,A-20,a-20-custom-s-4-1-cs-1988,0.0,0.0,135.0,5.0,Manual,Indefinido,Urbano
chevrolet,A-20,a-20-custom-s-4-1-cd-1990,0.0,0.0,135.0,5.0,Manual,Indefinido,Urbano
chevrolet,A-20,a-20-custom-s-4-1-cs-1990,0.0,0.0,135.0,5.0,Manual,Indefinido,Urbano
chevrolet,A-20,a-20-custom-s-4-1-cd-1992,0.0,0.0,135.0,5.0,Manual,Indefinido,Urbano
chevrolet,A-20,a-20-custom-s-4-1-cs-1992,0.0,0.0,135.0,5.0,Manual,Indefinido,Urbano
chevrolet,A-20,a-20-custom-s-4-1-cd-1994,0.0,0.0,135.0,5.0,Manual,Indefinido,Urbano
chevrolet,A-20,a-20-custom-s-4-1-cs-1994,0.0,0.0,135.0,5.0,Manual,Indefinido,Urbano
chevrolet,Agile,agile-lt-1-4-2010,0.0,0.0,102.0,5.0,Manual,Indefinido,Urbano
chevrolet,Agile,agile-ltz-1-4-2010,0.0,0.0,102.0,5.0,Manual,Indefinido,Urbano
chevrolet,Agile,agile-lt-1-4-2011,0.0,0.0,102.0,5.0,Manual,Indefinido,Urbano
chevrolet,Agile,agile-ltz-1-4-2011,0.0,0.0,102.0,5.0,Manual,Indefinido,Urbano
chevrolet,Agile,agile-lt-1-4-2012,0.0,0.0,102.0,5.0,Manual,Indefinido,Urbano
chevrolet,Agile,agile-ltz-1-4-2012,0.0,0.0,102.0,5.0,Manual,Indefinido,Urbano
chevrolet,Agile,agile-wi-fi-1-4-2012,0.0,0.0,102.0,5.0,Manual,Indefinido,Urbano
chevrolet,Agile,agile-lt-1-4-2013,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
chevrolet,Agile,agile-ltz-1-4-2013,0.0,0.0,102.0,5.0,Manual,Indefinido,Urbano
chevrolet,Agile,agile-ltz-1-4-easytronic-2013,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
chevrolet,Agile,agile-effect-1-4-2014,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
chevrolet,Agile,agile-effect-1-4-easytronic-2014,0.0,0.0,102.0,5.0,Auto,Indefinido,Urbano
chevrolet,Agile,agile-ltz-1-4-2014,0.0,0.0,102.0,5.0,Manual,Indefinido,Urbano
chevrolet,Agile,agile-ltz-1-4-easytronic-2014,0.0,0.0,102.0,5.0,Auto,Indefinido,Urbano
chevrolet,Astra,astra-gls-2-0-mpfi-1995,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-gl-1-8-1999,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-gls-2-0-16v-1999,0.0,0.0,128.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-gls-2-0-8v-1999,0.0,0.0,112.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-gl-1-8-2000,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-gls-2-0-16v-2000,0.0,0.0,128.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-gls-2-0-8v-2000,0.0,0.0,112.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-sport-2-0-2000,0.0,0.0,112.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-gl-1-8-2001,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-gls-2-0-16v-2001,0.0,0.0,136.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-gls-2-0-8v-2001,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-sport-2-0-2001,0.0,0.0,112.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-2-0-8v-2002,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-cd-2-0-8v-2002,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-cd-2-0-at-2002,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
chevrolet,Astra,astra-sport-2-0-2002,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-sunny-2-0-8v-2002,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-2-0-8v-2003,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-2-0-8v-at-2003,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
chevrolet,Astra,astra-cd-2-0-8v-2003,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-cd-2-0-8v-at-2003,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
chevrolet,Astra,astra-cd-2-0-8v-at-2003-gasolina,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
chevrolet,Astra,astra-gsi-2-0-16v-2003,0.0,0.0,136.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-2-0-8v-2004,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-2-0-8v-at-2004,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
chevrolet,Astra,astra-cd-2-0-8v-2004,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
chevrolet,Astra,astra-cd-2-0-8v-at-2004-gasolina,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
chevrolet,Astra,astra-cd-2-0-8v-at-2004,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
chevrolet,Astra,astra-gsi-2-0-16v-2004,0.0,0.0,136.0,5.0,Manual,Indefinido,Urbano
