marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
chrysler,300c,300c-5-7-v8-2005,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-5-7-v8-2006,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-srt8-6-1-v8-2006,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-3-5-v6-2007,0.0,0.0,249.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-5-7-v8-2007,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-srt8-6-1-v8-2007,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-3-5-v6-2008,0.0,0.0,249.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-5-7-v8-2008,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-srt8-6-1-v8-2008,0.0,0.0,431.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-3-5-v6-2009,0.0,0.0,249.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-srt8-6-1-v8-2009,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-srt8-6-1-v8-2010,0.0,0.0,431.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-3-6-v6-2012,0.0,0.0,286.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-3-6-v6-2014,0.0,0.0,286.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-3-6-v6-2015,0.0,0.0,296.0,5.0,Auto,Indefinido,Urbano
chrysler,300c,300c-3-6-v6-2016,0.0,0.0,296.0,5.0,Auto,Indefinido,Urbano
chrysler,300c Touring,300c-touring-5-7-v8-2005,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
chrysler,300c Touring,300c-touring-5-7-v8-2006,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
chrysler,300c Touring,300c-touring-5-7-v8-2007,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
chrysler,300c Touring,300c-touring-5-7-v8-2008,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
chrysler,300c Touring,300c-touring-5-7-v8-2009,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
chrysler,300m,300m-3-5-v6-1999,0.0,0.0,254.0,5.0,Auto,Indefinido,Urbano
chrysler,300m,300m-3-5-v6-2000,0.0,0.0,254.0,5.0,Auto,Indefinido,Urbano
chrysler,300m,300m-3-5-v6-2001,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
