marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
citroen,Aircross,aircross-exclusive-1-6-2011,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-exclusive-1-6-at-2011,0.0,0.0,113.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-gl-1-6-2011,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-glx-1-6-2011,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-glx-1-6-at-2011,0.0,0.0,113.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-exclusive-1-6-2012,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-exclusive-1-6-at-2012,0.0,0.0,113.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-gl-1-6-2012,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-glx-1-6-2012,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-glx-1-6-at-2012,0.0,0.0,113.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-exclusive-1-6-2013,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-exclusive-1-6-at-2013,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-exclusive-atacama-1-6-2013,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-exclusive-atacama-1-6-at-2013,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-glx-1-6-2013,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-glx-1-6-at-2013,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-glx-atacama-1-6-2013,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-glx-atacama-1-6-at-2013,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-exclusive-1-6-2014,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-exclusive-1-6-at-2014,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-exclusive-atacama-1-6-at-2014,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-glx-1-6-2014,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-glx-1-6-at-2014,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-glx-atacama-1-6-2014,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-glx-atacama-1-6-at-2014,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-exclusive-1-6-2015,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-exclusive-1-6-at-2015,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-salomon-1-6-2015,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-salomon-1-6-at-2015,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-tendance-1-6-2015,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-tendance-1-6-at-2015,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-feel-1-6-2016,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-feel-1-6-at-2016,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-live-1-5-2016,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-live-1-6-at-2016,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-shine-1-6-at-2016,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-start-1-5-2016,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-feel-1-6-2017,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-feel-1-6-at-2017,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-live-1-5-2017,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-live-1-6-at-2017,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-salomon-1-5-2017,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-salomon-1-6-at-2017,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-shine-1-6-at-2017,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-start-1-5-2017,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-feel-1-6-2018,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-feel-1-6-at-2018,0.0,0.0,118.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-live-1-5-2018,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-live-1-6-2018,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-live-1-6-at-2018,0.0,0.0,118.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-shine-1-6-at-2018,0.0,0.0,118.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-start-1-6-2018,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-live-1-6-2019,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-live-1-6-at-2019,0.0,0.0,118.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-live-business-1-6-at-pcd-2019,0.0,0.0,118.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-shine-1-6-at-2019,0.0,0.0,118.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-start-1-6-2019,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-100-anos-1-6-at-2020,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-live-1-6-2020,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-live-1-6-at-2020,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-live-business-1-6-at-pcd-2020,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,Aircross,aircross-start-1-6-2020,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,Aircross,aircross-live-1-6-at-2021,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,Ax,ax-gti-1-4-1992,0.0,0.0,100.0,5.0,Manual,Indefinido,Urbano
citroen,Ax,ax-gti-1-4-1993,0.0,0.0,100.0,5.0,Manual,Indefinido,Urbano
citroen,Ax,ax-gti-1-4-1994,0.0,0.0,100.0,5.0,Manual,Indefinido,Urbano
citroen,Ax,ax-gti-1-4-1995,0.0,0.0,100.0,5.0,Manual,Indefinido,Urbano
citroen,Basalt,basalt-feel-1-0-2025,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,Basalt,basalt-feel-1-0-turbo-2025,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,Basalt,basalt-first-edition-1-0-turbo-2025,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,Basalt,basalt-shine-1-0-turbo-2025,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,Basalt,basalt-dark-edition-1-0-turbo-2026,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,Basalt,basalt-feel-1-0-2026,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,Basalt,basalt-feel-1-0-turbo-2026,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,Basalt,basalt-shine-1-0-turbo-2026,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,Berlingo,berlingo-glx-1-8-1998,0.0,0.0,92.0,5.0,Manual,Indefinido,Urbano
citroen,Berlingo,berlingo-glx-1-8-1999,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
citroen,Berlingo,berlingo-glx-1-8-2000,0.0,0.0,92.0,5.0,Manual,Indefinido,Urbano
citroen,Berlingo,berlingo-glx-1-8-2001,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
citroen,Berlingo,berlingo-glx-1-8-2002,0.0,0.0,92.0,5.0,Manual,Indefinido,Urbano
citroen,Berlingo,berlingo-glx-1-6-16v-2005,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,Berlingo,berlingo-glx-1-6-16v-2006,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
citroen,Berlingo,berlingo-sport-1-6-16v-2006,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
citroen,Berlingo,berlingo-glx-1-6-16v-2007,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
citroen,Berlingo,berlingo-furgao-1-6-16v-2018,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,Berlingo,berlingo-furgao-1-6-16v-2019,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,Bx,bx-gti-1-9-16v-1992,0.0,0.0,160.0,5.0,Manual,Indefinido,Urbano
citroen,Bx,bx-gti-1-9-16v-1993,0.0,0.0,160.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-2003,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-4-2003,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-6-2003,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-2004,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-4-2004,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-6-2004,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-ocimar-versolato-1-6-2004,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-2005,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-4-2005,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-6-2005,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-ocimar-versolato-1-6-2005,0.0,0.0,110.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-2006,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-4-2006,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-6-2006,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-xtr-1-6-2006,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-2007,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-4-2007,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-6-2007,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-xtr-1-4-2007,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-xtr-1-6-2007,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-4-2008,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-2008,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-at-2008,0.0,0.0,113.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-glx-1-4-2008,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-6-2008,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-xtr-1-4-2008,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-xtr-1-6-2008,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-4-2009,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-2009,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-at-2009,0.0,0.0,113.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-glx-1-4-2009,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-6-2009,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-6-at-2009,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-xtr-1-4-2009,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-xtr-1-6-2009,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-4-2010,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-2010,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-at-2010,0.0,0.0,113.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-glx-1-4-2010,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-6-2010,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-glx-1-6-at-2010,0.0,0.0,113.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-solaris-1-6-2010,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-solaris-1-6-at-2010,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-xtr-1-4-2010,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-xtr-1-6-2010,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-4-2011,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-at-2011,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-glx-1-4-2011,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-solaris-1-6-2011,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-solaris-1-6-at-2011,0.0,0.0,113.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-xtr-1-4-2011,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-xtr-1-6-2011,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-4-2012,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-at-2012,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-glx-1-4-2012,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-solaris-1-6-at-2012,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-xtr-1-4-2012,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-2013,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-at-2013,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-origine-1-5-2013,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-tendance-1-5-2013,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-2014,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-at-2014,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-origine-1-5-2014,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-tendance-1-5-2014,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-xbox-one-edition-1-6-2014,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-attraction-1-5-2015,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-5-2015,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-at-2015,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-origine-1-5-2015,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-tendance-1-5-2015,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-tendance-1-6-at-2015,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-attraction-1-5-2016,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-5-2016,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-exclusive-1-6-at-2016,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-origine-1-5-2016,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-tendance-1-5-2016,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-tendance-1-6-at-2016,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
citroen,C3,c3-attraction-1-2-2017,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-attraction-1-2-2017-flex,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
citroen,C3,c3-attraction-1-5-2017,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
