marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
dodge,1800,1800-gl-1-8-1973,0.0,0.0,78.0,5.0,Manual,Indefinido,Urbano
dodge,1800,1800-se-1-8-1974,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
dodge,1800,1800-gl-1-8-1975,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
dodge,1800,1800-l-1-8-1975,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
dodge,1800,1800-se-1-8-1975,0.0,0.0,82.0,5.0,Manual,Indefinido,Urbano
dodge,Challenger,challenger-r-t-5-7-v8-2015,0.0,0.0,377.0,5.0,Auto,Indefinido,Urbano
dodge,Challenger,challenger-srt-hellcat-6-2-v8-2015,0.0,0.0,717.0,5.0,Manual,Indefinido,Urbano
dodge,Challenger,challenger-r-t-5-7-v8-2016,0.0,0.0,377.0,5.0,Auto,Indefinido,Urbano
dodge,Challenger,challenger-srt-hellcat-6-2-v8-2016,0.0,0.0,717.0,5.0,Manual,Indefinido,Urbano
dodge,Challenger,challenger-r-t-5-7-v8-2017,0.0,0.0,377.0,5.0,Auto,Indefinido,Urbano
dodge,Challenger,challenger-srt-hellcat-6-2-v8-2017,0.0,0.0,717.0,5.0,Manual,Indefinido,Urbano
dodge,Challenger,challenger-r-t-5-7-v8-2018,0.0,0.0,377.0,5.0,Auto,Indefinido,Urbano
dodge,Challenger,challenger-srt-hellcat-6-2-v8-2018,0.0,0.0,717.0,5.0,Manual,Indefinido,Urbano
dodge,Charger,charger-5-2-v8-1971,0.0,0.0,205.0,5.0,Manual,Indefinido,Urbano
dodge,Charger,charger-r-t-5-2-v8-1971,0.0,0.0,215.0,5.0,Manual,Indefinido,Urbano
dodge,Charger,charger-5-2-v8-1972,0.0,0.0,205.0,5.0,Manual,Indefinido,Urbano
dodge,Charger,charger-r-t-5-2-v8-1972,0.0,0.0,215.0,5.0,Manual,Indefinido,Urbano
dodge,Charger,charger-ls-5-2-v8-1973,0.0,0.0,205.0,5.0,Manual,Indefinido,Urbano
dodge,Charger,charger-r-t-5-2-v8-1973,0.0,0.0,215.0,5.0,Manual,Indefinido,Urbano
dodge,Charger,charger-ls-5-2-v8-1974,0.0,0.0,205.0,5.0,Manual,Indefinido,Urbano
dodge,Charger,charger-r-t-5-2-v8-1974,0.0,0.0,215.0,5.0,Manual,Indefinido,Urbano
dodge,Charger,charger-r-t-5-2-v8-at-1974,0.0,0.0,215.0,5.0,Auto,Indefinido,Urbano
dodge,Charger,charger-ls-5-2-v8-1975,0.0,0.0,205.0,5.0,Manual,Indefinido,Urbano
dodge,Charger,charger-r-t-5-2-v8-1975,0.0,0.0,215.0,5.0,Manual,Indefinido,Urbano
dodge,Charger,charger-r-t-5-2-v8-1976,0.0,0.0,215.0,5.0,Manual,Indefinido,Urbano
