marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
fiat,147 Pick-up,147-pick-up-1-050-1979,,1979,55.0,5,Manual,Indefinido,Urbano
fiat,147 Pick-up,147-pick-up-1-3-1980,,1980,61.0,5,Manual,Indefinido,Urbano
fiat,147 Pick-up,147-pick-up-1-3-1981,,1981,61.0,5,Manual,Indefinido,Urbano
fiat,147 Pick-up,147-pick-up-1-3-1982,,1982,,5,Manual,Indefinido,Urbano
fiat,147 Pick-up,147-pick-up-city-1-3-1982,,1982,61.0,5,Manual,Indefinido,Urbano
fiat,147 Pick-up,147-pick-up-1-3-1983,,1983,61.0,5,Manual,Indefinido,Urbano
fiat,147 Pick-up,147-pick-up-city-1-3-1983,,1983,61.0,5,Manual,Indefinido,Urbano
fiat,147 Pick-up,147-pick-up-1-3-1984,,1984,61.0,5,Manual,Indefinido,Urbano
fiat,147 Pick-up,147-pick-up-city-1-3-1984,,1984,61.0,5,Manual,Indefinido,Urbano
fiat,147 Pick-up,147-pick-up-city-1-3-1985,,1985,60.0,5,Manual,Indefinido,Urbano
fiat,147 Pick-up,147-pick-up-city-1-3-1986,,1986,60.0,5,Manual,Indefinido,Urbano
fiat,147 Pick-up,147-pick-up-city-1-3-1987,,1987,60.0,5,Manual,Indefinido,Urbano
fiat,147 Pick-up,147-pick-up-city-1-3-1988,,1988,60.0,5,Manual,Indefinido,Urbano
fiat,500,500-lounge-1-4-16v-2010,,2010,100.0,5,Manual,Indefinido,Urbano
fiat,500,500-lounge-1-4-16v-dualogic-2010,,2010,100.0,5,Auto,Indefinido,Urbano
fiat,500,500-sport-1-4-16v-2010,,2010,100.0,5,Manual,Indefinido,Urbano
fiat,500,500-sport-1-4-16v-dualogic-2010,,2010,100.0,5,Auto,Indefinido,Urbano
fiat,500,500-cult-1-4-8v-2012,,2012,88.0,5,Manual,Indefinido,Urbano
fiat,500,500-cult-1-4-8v-dualogic-2012,,2012,88.0,5,Auto,Indefinido,Urbano
fiat,500,500-lounge-air-1-4-16v-at-2012,,2012,105.0,5,Auto,Indefinido,Urbano
fiat,500,500-prima-edizione-1-4-16v-2012,,2012,105.0,5,Manual,Indefinido,Urbano
fiat,500,500-sport-air-1-4-16v-2012,,2012,105.0,5,Manual,Indefinido,Urbano
fiat,500,500-sport-air-1-4-16v-at-2012,,2012,105.0,5,Auto,Indefinido,Urbano
fiat,500,500-cabriolet-1-4-16v-at-2013,,2013,105.0,5,Auto,Indefinido,Urbano
fiat,500,500-cult-1-4-8v-2013,,2013,88.0,5,Manual,Indefinido,Urbano
fiat,500,500-cult-1-4-8v-dualogic-2013,,2013,,5,Auto,Indefinido,Urbano
fiat,500,500-gucci-1-4-16v-at-2013,,2013,105.0,5,Auto,Indefinido,Urbano
