marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
ford,Belina,belina-1-3-1970,0.0,0.0,68.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-luxo-especial-1-3-1970,0.0,0.0,68.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-1-3-1971,0.0,0.0,68.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-1-3-1972,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-1-4-1973,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-1-4-1974,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-ldo-1-4-1975,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-1-4-1976,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-1-4-1977,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-ldo-1-4-1977,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-1-4-1978,0.0,0.0,72.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-ldo-1-4-1978,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-l-1-6-1980,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-ldo-1-6-1980,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-ldo-1-6-1981,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-ldo-1-6-1982,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-ldo-1-6-1983,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-scala-ouro-1-6-1983,0.0,0.0,69.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-l-1-6-1984,0.0,0.0,627.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-scala-1-6-1984,0.0,0.0,73.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-scala-ouro-1-6-at-1984,0.0,0.0,73.0,5.0,Auto,Indefinido,Urbano
ford,Belina,belina-1-6-4x4-1985,0.0,0.0,716.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-scala-ghia-1-6-1985,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-scala-glx-1-6-1985,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-1-6-4x4-1986,0.0,0.0,716.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-gl-1-6-1986,0.0,0.0,71.6,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-scala-ghia-1-6-1986,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-scala-glx-1-6-1986,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-1-6-4x4-1987,0.0,0.0,716.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-ghia-1-6-1987,0.0,0.0,716.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-glx-1-6-1987,0.0,0.0,746.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-l-1-6-1987,0.0,0.0,746.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-ghia-1-6-1988,0.0,0.0,71.6,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-glx-1-6-1988,0.0,0.0,74.6,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-l-1-6-1988,0.0,0.0,746.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-ghia-1-8-1989,0.0,0.0,733.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-glx-1-6-1989,0.0,0.0,746.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-l-1-6-1989,0.0,0.0,747.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-serie-especial-1-6-1989,0.0,0.0,74.6,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-ghia-1-8-1990,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-l-1-8-1990,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-ghia-1-8-1991,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-glx-1-8-1991,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
ford,Belina,belina-l-1-8-1991,0.0,0.0,93.0,5.0,Manual,Indefinido,Urbano
ford,Bronco Sport,bronco-sport-wildtrak-2-0-turbo-2021,0.0,0.0,248.0,5.0,Auto,Indefinido,Urbano
ford,Bronco Sport,bronco-sport-wildtrak-2-0-turbo-2022,0.0,0.0,253.0,5.0,Auto,Indefinido,Urbano
ford,Bronco Sport,bronco-sport-wildtrak-2-0-2023,0.0,0.0,253.0,5.0,Auto,Indefinido,Urbano
ford,Bronco Sport,bronco-sport-wildtrak-2-0-2024,0.0,0.0,253.0,5.0,Auto,Indefinido,Urbano
ford,Bronco Sport,bronco-sport-badlands-2-0-2025,0.0,0.0,253.0,5.0,Auto,Indefinido,Urbano
ford,Corcel,corcel-1-3-1969,0.0,0.0,68.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-1-3-1970,0.0,0.0,68.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-gt-1-3-1970,0.0,0.0,80.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-1-3-1971,0.0,0.0,68.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-gt-1-3-1971,0.0,0.0,80.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-1-3-1972,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-gt-1-4-1972,0.0,0.0,85.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-1-4-1973,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-gt-1-4-1973,0.0,0.0,85.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-1-4-1974,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-1-4-1975,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-gt-1-4-1975,0.0,0.0,85.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-ldo-1-4-1975,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-1-4-1976,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-1-4-1977,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-1-4-1978,0.0,0.0,72.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-gt-1-4-1978,0.0,0.0,72.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-ldo-1-4-1978,0.0,0.0,72.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-gt-1-6-1979,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-ldo-1-6-1979,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-gt-1-6-1980,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-hobby-1-6-1980,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-l-1-6-1980,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-ldo-1-6-1980,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-gt-1-6-1981,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-hobby-1-6-1981,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-ldo-1-6-1981,0.0,0.0,69.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-hobby-1-6-1982,0.0,0.0,90.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-l-1-6-1982,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-campeoes-1-6-1983,0.0,0.0,69.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-ldo-1-6-1983,0.0,0.0,69.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-l-1-3-1984,0.0,0.0,62.8,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-l-1-6-1984,0.0,0.0,73.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-gl-1-6-1985,0.0,0.0,716.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-l-1-6-1985,0.0,0.0,716.0,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-astro-1-6-1986,0.0,0.0,71.6,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-gl-1-6-1986,0.0,0.0,71.6,5.0,Manual,Indefinido,Urbano
ford,Corcel,corcel-l-1-6-1986,0.0,0.0,716.0,5.0,Manual,Indefinido,Urbano
ford,Corcel Sedan,corcel-sedan-1-3-1969,0.0,0.0,68.0,5.0,Manual,Indefinido,Urbano
ford,Corcel Sedan,corcel-sedan-1-3-1970,0.0,0.0,68.0,5.0,Manual,Indefinido,Urbano
ford,Corcel Sedan,corcel-sedan-1-3-1971,0.0,0.0,68.0,5.0,Manual,Indefinido,Urbano
ford,Corcel Sedan,corcel-sedan-1-4-1973,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Corcel Sedan,corcel-sedan-1-4-1975,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-1-3-1997,0.0,0.0,60.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-si-1-4-16v-1997,0.0,0.0,88.8,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-1-3-1998,0.0,0.0,60.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-clx-1-4-16v-1998,0.0,0.0,888.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-si-1-4-16v-1998,0.0,0.0,88.8,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-1-3-1999,0.0,0.0,60.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-clx-1-4-16v-1999,0.0,0.0,888.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-si-1-4-16v-1999,0.0,0.0,888.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-1-6-2000,0.0,0.0,95.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-1-6-2000,0.0,0.0,95.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-1-6-2001,0.0,0.0,95.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-sport-1-6-2001,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-rs-1-6-2001,0.0,0.0,95.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-1-6-2002,0.0,0.0,95.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-l-1-6-2002,0.0,0.0,95.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-l-1-6-2003,0.0,0.0,95.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-1-6-2003,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-l-1-6-2004,0.0,0.0,95.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-1-6-2004,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-l-1-6-2005,0.0,0.0,95.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-1-6-2005,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-l-1-6-2006,0.0,0.0,95.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-1-6-2006,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-l-1-6-2007,0.0,0.0,95.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-1-6-2007,0.0,0.0,95.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-l-1-6-2008,0.0,0.0,107.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-van-1-6-2008,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-1-6-2008,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-l-1-6-2009,0.0,0.0,107.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-1-6-2009,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-l-1-6-2010,0.0,0.0,107.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-van-1-6-2010,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-1-6-2010,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-l-1-6-2011,0.0,0.0,107.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-van-1-6-2011,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-1-6-2011,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-l-1-6-2012,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-van-1-6-2012,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-1-6-2012,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-l-1-6-2013,0.0,0.0,107.0,5.0,Manual,Indefinido,Urbano
ford,Courier,courier-xl-1-6-2013,0.0,0.0,107.0,5.0,Manual,Indefinido,Urbano
ford,Del Rey,del-rey-ouro-1-6-1981,0.0,0.0,69.0,5.0,Manual,Indefinido,Urbano
ford,Del Rey,del-rey-1-6-1982,0.0,0.0,73.0,5.0,Manual,Indefinido,Urbano
ford,Del Rey,del-rey-ouro-1-6-1982,0.0,0.0,69.0,5.0,Manual,Indefinido,Urbano
ford,Del Rey,del-rey-1-6-1983,0.0,0.0,73.0,5.0,Manual,Indefinido,Urbano
ford,Del Rey,del-rey-ouro-1-6-1983,0.0,0.0,69.0,5.0,Manual,Indefinido,Urbano
ford,Del Rey,del-rey-ouro-1-6-at-1983,0.0,0.0,69.0,5.0,Auto,Indefinido,Urbano
ford,Del Rey,del-rey-1-6-1984,0.0,0.0,73.0,5.0,Manual,Indefinido,Urbano
ford,Del Rey,del-rey-glx-1-6-1984,0.0,0.0,73.0,5.0,Manual,Indefinido,Urbano
