marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
honda,Accord,accord-ex-2-2-1991,0.0,0.0,142.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-2-1992,0.0,0.0,142.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-2-1993,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-lx-2-2-1993,0.0,0.0,125.0,5.0,Manual,Indefinido,Urbano
honda,Accord,accord-coupe-ex-2-2-1994,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-2-1994,0.0,0.0,145.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-lx-2-2-1994,0.0,0.0,130.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-coupe-ex-2-2-1995,0.0,0.0,150.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-2-1995,0.0,0.0,145.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-7-v6-1995,0.0,0.0,172.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-lx-2-2-1995,0.0,0.0,130.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-coupe-ex-2-2-1996,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-2-1996,0.0,0.0,145.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-7-v6-1996,0.0,0.0,172.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-exr-2-2-1996,0.0,0.0,145.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-lx-2-2-1996,0.0,0.0,130.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-exr-2-2-1997,0.0,0.0,145.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-3-1998,0.0,0.0,150.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-r-2-3-1998,0.0,0.0,150.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-3-1999,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-r-2-3-1999,0.0,0.0,150.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-3-2000,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-r-2-3-2000,0.0,0.0,150.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-3-2001,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-r-2-3-2001,0.0,0.0,150.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-3-2002,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-4-2003,0.0,0.0,158.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-4-2004,0.0,0.0,158.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-0-v6-2004,0.0,0.0,240.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-4-2005,0.0,0.0,158.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-0-v6-2005,0.0,0.0,240.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-lx-2-4-2005,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-0-v6-2006,0.0,0.0,240.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-lx-2-0-2006,0.0,0.0,150.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-0-v6-2007,0.0,0.0,240.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-lx-2-0-2007,0.0,0.0,150.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-5-v6-2008,0.0,0.0,278.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-lx-2-0-2008,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-5-v6-2009,0.0,0.0,278.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-lx-2-0-2009,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-0-2010,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-5-v6-2010,0.0,0.0,278.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-0-2011,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-5-v6-2011,0.0,0.0,278.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-0-2012,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-5-v6-2012,0.0,0.0,278.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-4-2013,0.0,0.0,175.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-5-v6-2013,0.0,0.0,280.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-2-4-2014,0.0,0.0,175.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-5-v6-2014,0.0,0.0,280.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-5-v6-2015,0.0,0.0,280.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-5-v6-2016,0.0,0.0,280.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-ex-3-5-v6-2017,0.0,0.0,280.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-touring-2-0-turbo-2018,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-touring-2-0-turbo-2019,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-touring-2-0-turbo-2020,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-hybrid-2-0-2021,0.0,0.0,145.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-hybrid-2-0-2023,0.0,0.0,146.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-hybrid-2-0-2024,0.0,0.0,146.0,5.0,Auto,Indefinido,Urbano
honda,Accord,accord-hybrid-2-0-2025,0.0,0.0,146.0,5.0,Auto,Indefinido,Urbano
honda,Accord Wagon,accord-wagon-ex-2-2-1991,0.0,0.0,142.0,5.0,Auto,Indefinido,Urbano
honda,Accord Wagon,accord-wagon-ex-2-2-1992,0.0,0.0,142.0,5.0,Auto,Indefinido,Urbano
honda,Accord Wagon,accord-wagon-lx-2-2-1993,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
honda,Accord Wagon,accord-wagon-lx-2-2-1994,0.0,0.0,130.0,5.0,Auto,Indefinido,Urbano
honda,Accord Wagon,accord-wagon-lx-2-2-1995,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
honda,City,city-ex-1-5-2010,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-ex-1-5-at-2010,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-exl-1-5-2010,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-exl-1-5-at-2010,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-lx-1-5-2010,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-lx-1-5-at-2010,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-dx-1-5-2011,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-dx-1-5-at-2011,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-ex-1-5-2011,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-ex-1-5-at-2011,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-exl-1-5-2011,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-exl-1-5-at-2011,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-lx-1-5-2011,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-lx-1-5-at-2011,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-dx-1-5-2012,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-dx-1-5-at-2012,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-ex-1-5-2012,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-ex-1-5-at-2012,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-exl-1-5-at-2012,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-lx-1-5-2012,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-lx-1-5-at-2012,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-dx-1-5-2013,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-ex-1-5-2013,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
honda,City,city-ex-1-5-at-2013,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-lx-1-5-2013,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-lx-1-5-at-2013,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-dx-1-5-2014,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-ex-1-5-at-2014,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-lx-1-5-at-2014,0.0,0.0,116.0,5.0,Auto,Indefinido,Urbano
honda,City,city-sport-1-5-2014,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
honda,City,city-dx-1-5-2015,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
