marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
jeep,Avenger,avenger-limited-1-0-2026,0.0,0.0,130.0,5.0,Auto,Indefinido,Urbano
jeep,Avenger,avenger-longitude-1-0-2026,0.0,0.0,130.0,5.0,Auto,Indefinido,Urbano
jeep,Avenger,avenger-sport-1-0-2026,0.0,0.0,130.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-4-0-1995,0.0,0.0,177.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-4-0-1997,0.0,0.0,177.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-4-0-1998,0.0,0.0,177.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-4-0-1999,0.0,0.0,177.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-2-5-turbo-2000,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-4-0-2000,0.0,0.0,177.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-2-5-turbo-2001,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-4-0-2001,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-3-7-v6-2002,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-3-7-v6-2003,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-3-7-v6-2004,0.0,0.0,211.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-3-7-v6-2005,0.0,0.0,211.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-3-7-v6-2006,0.0,0.0,211.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-3-7-v6-2007,0.0,0.0,211.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-3-7-v6-2008,0.0,0.0,205.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-3-7-v6-2009,0.0,0.0,205.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-limited-3-7-v6-2010,0.0,0.0,205.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-3-7-v6-2010,0.0,0.0,205.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-limited-3-7-v6-2011,0.0,0.0,205.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-limited-3-7-v6-2012,0.0,0.0,205.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-sport-3-7-v6-2012,0.0,0.0,205.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-limited-3-2-v6-2014,0.0,0.0,271.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-limited-3-2-v6-2015,0.0,0.0,271.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-longitude-3-2-v6-2015,0.0,0.0,271.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-trailhawk-3-2-v6-2015,0.0,0.0,271.0,5.0,Auto,Indefinido,Urbano
jeep,Cherokee,cherokee-trailhawk-3-2-v6-2015-gasolina,0.0,0.0,71.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-limited-5-7-v8-2006,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-limited-1-3-turbo-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-limited-2-0-turbo-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-overland-1-3-turbo-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-overland-2-0-turbo-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-limited-1-3-2023,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-limited-2-0-2023,0.0,0.0,170.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-longitude-1-3-2023,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-overland-1-3-2023,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-overland-2-0-2023,0.0,0.0,170.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-limited-1-3-2024,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-limited-2-0-2024,0.0,0.0,170.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-longitude-1-3-2024,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-overland-1-3-2024,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-overland-2-0-2024,0.0,0.0,170.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-blackhawk-2-0-2025,0.0,0.0,272.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-limited-1-3-2025,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-longitude-1-3-2025,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jeep,Commander,commander-longitude-1-3-5-lugares-2025,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
