marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
kia,Besta,besta-est-2-7-1994,,1994,80.0,5,Manual,Indefinido,Urbano
kia,Besta,besta-st-2-2-12-lugares-1994,,1994,70.0,5,Manual,Indefinido,Urbano
kia,Besta,besta-est-2-7-1995,,1995,,5,Manual,Indefinido,Urbano
kia,Besta,besta-st-2-2-12-lugares-1995,,1995,,5,Manual,Indefinido,Urbano
kia,Besta,besta-est-2-7-1996,,1996,80.0,5,Manual,Indefinido,Urbano
kia,Besta,besta-st-2-2-12-lugares-1996,,1996,,5,Manual,Indefinido,Urbano
kia,Besta,besta-gs-2-7-1998,,1998,83.0,5,Manual,Indefinido,Urbano
kia,Besta,besta-gs-2-7-1999,,1999,83.0,5,Manual,Indefinido,Urbano
kia,Besta,besta-gs-2-7-2000,,2000,83.0,5,Manual,Indefinido,Urbano
kia,Besta,besta-furgao-2-7-2001,,2001,83.0,5,Manual,Indefinido,Urbano
kia,Besta,besta-gs-2-7-2001,,2001,83.0,5,Manual,Indefinido,Urbano
kia,Besta,besta-gs-grand-3-0-2001,,2001,,5,Manual,Indefinido,Urbano
kia,Besta,besta-furgao-2-7-2005,,2005,83.0,5,Manual,Indefinido,Urbano
kia,Besta,besta-gs-grand-3-0-2005,,2005,85.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2400-2-4-1993,,1993,72.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2400-2-4-1994,,1994,72.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2400-2-4-1995,,1995,72.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2400-2-4-1996,,1996,72.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2400-2-4-1997,,1997,72.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-1999,,1999,,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-2001,,2001,,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-2001-diesel,,2001,83.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-2002,,2002,83.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-2003,,2003,83.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-2004,,2004,83.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-cd-2005,,2005,83.0,5,Manual,Indefinido,Rural
kia,Bongo,bongo-k2700-2-7-cs-2005,,2005,83.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-cd-2006,,2006,83.0,5,Manual,Indefinido,Rural
kia,Bongo,bongo-k2700-2-7-cs-2006,,2006,83.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-cd-2007,,2007,83.0,5,Manual,Indefinido,Rural
kia,Bongo,bongo-k2700-2-7-cs-2007,,2007,83.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2500-2-5-turbo-2008,,2008,,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-cd-2008,,2008,83.0,5,Manual,Indefinido,Rural
kia,Bongo,bongo-k2700-2-7-cs-2008,,2008,83.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2500-2-5-turbo-2009,,2009,94.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-cd-2009,,2009,83.0,5,Manual,Indefinido,Rural
kia,Bongo,bongo-k2700-2-7-cs-2009,,2009,83.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2500-2-5-turbo-2010,,2010,94.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-cd-2010,,2010,83.0,5,Manual,Indefinido,Rural
kia,Bongo,bongo-k2700-2-7-cs-2010,,2010,83.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2500-2-5-turbo-2011,,2011,94.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-cd-2011,,2011,83.0,5,Manual,Indefinido,Rural
kia,Bongo,bongo-k2700-2-7-cs-2011,,2011,83.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2500-2-5-turbo-2012,,2012,94.0,5,Manual,Indefinido,Urbano
kia,Bongo,bongo-k2700-2-7-cd-2012,,2012,83.0,5,Manual,Indefinido,Rural
