marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
land-rover,Defender,defender-110-sw-2-5-turbo-1996,0.0,0.0,11.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-sw-2-5-turbo-1997,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-sw-2-5-turbo-1997,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-sw-2-5-turbo-1998,0.0,0.0,111.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-sw-2-5-turbo-1998,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-sw-2-5-turbo-1999,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-sw-2-5-turbo-1999,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-hcpu-2-5-turbo-cs-2000,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-sw-2-5-turbo-2000,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-csw-2-5-turbo-2000,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-hcpu-2-5-turbo-cs-2001,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-sw-2-5-turbo-2001,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-130-2-5-turbo-cd-2001,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-sw-2-5-turbo-2001,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-sw-2-5-turbo-2002,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-sw-2-5-turbo-2003,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-csw-2-5-turbo-2003,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-hcpu-2-5-turbo-cs-2004,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-sw-2-5-turbo-2004,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-130-2-5-turbo-cd-2004,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-sw-2-5-turbo-2004,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-hcpu-2-5-turbo-cs-2005,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-sw-2-5-turbo-2005,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-130-2-5-turbo-cd-2005,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-hcpu-2-5-turbo-cs-2006,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-sw-2-5-turbo-2006,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-130-2-5-turbo-cd-2006,0.0,0.0,115.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-2-4-turbo-2007,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-2-4-turbo-2007,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-2-4-turbo-2008,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-130-2-4-turbo-cd-2008,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-2-4-turbo-2008,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-2-4-turbo-2009,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-130-2-4-turbo-cd-2009,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-2-4-turbo-2009,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-2-4-turbo-2010,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-fire-ice-2-4-turbo-2010,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-130-2-4-turbo-cd-2010,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-2-4-turbo-2010,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-fire-ice-2-4-turbo-2010,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-raw-2-4-turbo-2011,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-130-2-4-turbo-cd-2011,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-90-raw-2-4-turbo-2011,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
land-rover,Defender,defender-110-hse-2-0-si4-2020,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-s-2-0-si4-2020,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-se-2-0-si4-2020,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-hse-2-0-si4-2021,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-se-2-0-si4-2021,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-hse-2-0-si4-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-hse-oncafari-2-0-si4-2022,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-se-2-0-si4-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-90-se-2-0-si4-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-75th-limited-edition-3-0-mhev-2023,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-hse-3-0-mhev-2023,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-hse-x-dynamic-3-0-mhev-2023,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-s-x-dynamic-3-0-mhev-2023,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-se-x-dynamic-3-0-mhev-2023,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-x-3-0-mhev-2023,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-130-s-x-dynamic-3-0-mhev-2023,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-130-x-3-0-mhev-2023,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-90-hse-3-0-mhev-2023,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-90-s-3-0-mhev-2023,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-hse-3-0-mhev-2024,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-hse-x-dynamic-2-0-phev-2024,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-hse-x-dynamic-3-0-mhev-2024,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-x-2-0-phev-2024,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-x-3-0-mhev-2024,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-130-outbound-3-0-mhev-2024,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-130-x-3-0-mhev-2024,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-90-hse-3-0-mhev-2024,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-hse-x-dynamic-3-0-mhev-2025,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-x-3-0-mhev-2025,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-130-x-3-0-mhev-2025,0.0,0.0,350.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-90-hse-3-0-mhev-2025,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-hse-x-dynamic-3-0-mhev-2026,0.0,0.0,350.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-trophy-edition-3-0-mhev-2026,0.0,0.0,350.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-110-x-3-0-mhev-2026,0.0,0.0,350.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-130-x-3-0-mhev-2026,0.0,0.0,350.0,5.0,Auto,Indefinido,Urbano
land-rover,Defender,defender-90-hse-x-dynamic-3-0-mhev-2026,0.0,0.0,350.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-2-5-turbo-1992,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-2-5-turbo-1993,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-2-5-turbo-1994,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-2-5-turbo-1995,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-2-5-turbo-1996,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-3-9-v8-1996,0.0,0.0,188.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-2-5-turbo-1997,0.0,0.0,122.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-3-9-v8-1997,0.0,0.0,188.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-td5-2-5-turbo-1999,0.0,0.0,139.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-4-0-v8-2000,0.0,0.0,190.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-td5-2-5-turbo-2000,0.0,0.0,139.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-4-0-v8-2001,0.0,0.0,190.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-td5-2-5-turbo-2001,0.0,0.0,139.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-4-0-v8-2002,0.0,0.0,190.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-td5-2-5-turbo-2002,0.0,0.0,139.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-4-0-v8-2003,0.0,0.0,185.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-td5-2-5-turbo-2003,0.0,0.0,139.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-4-6-v8-2004,0.0,0.0,220.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-td5-2-5-turbo-2004,0.0,0.0,139.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-2-7-v6-turbo-2005,0.0,0.0,190.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-4-4-v8-2005,0.0,0.0,299.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-4-0-v6-2005,0.0,0.0,215.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-2-7-v6-turbo-2006,0.0,0.0,190.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-4-0-v6-2006,0.0,0.0,215.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-4-4-v8-2007,0.0,0.0,299.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-2-7-v6-turbo-2007,0.0,0.0,190.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-4-0-v6-2007,0.0,0.0,215.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-4-4-v8-2008,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-2-7-v6-turbo-2008,0.0,0.0,190.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-4-0-v6-2008,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-4-4-v8-2009,0.0,0.0,299.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-4-0-v6-2009,0.0,0.0,215.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-2-7-v6-turbo-2009,0.0,0.0,190.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-2-7-v6-turbo-2010,0.0,0.0,190.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-turbo-2010,0.0,0.0,245.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-5-0-v8-2010,0.0,0.0,375.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-2-7-v6-turbo-2010,0.0,0.0,190.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-2-7-v6-turbo-2010,0.0,0.0,190.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-turbo-2010,0.0,0.0,245.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-black-white-3-0-v6-turbo-2011,0.0,0.0,245.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-turbo-2011,0.0,0.0,245.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-5-0-v8-2011,0.0,0.0,375.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-2-7-v6-turbo-2011,0.0,0.0,190.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-turbo-2011,0.0,0.0,245.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-turbo-2012,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-5-0-v8-2012,0.0,0.0,375.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-3-0-v6-turbo-2012,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-turbo-2012,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-turbo-2013,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-5-0-v8-2013,0.0,0.0,375.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-3-0-v6-turbo-2013,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-turbo-2013,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-turbo-2014,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-3-0-v6-turbo-2014,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-turbo-2014,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-turbo-2015,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-raw-3-0-tdv6-2015,0.0,0.0,211.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-3-0-v6-turbo-2015,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-turbo-2015,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-black-3-0-v6-turbo-2016,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-graphite-3-0-v6-turbo-2016,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-turbo-2016,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-3-0-v6-turbo-2016,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-turbo-2016,0.0,0.0,256.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-first-edition-3-0-v6-si6-2017,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-first-edition-3-0-v6-td6-2017,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-si6-2017,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-td6-2017,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-luxury-3-0-v6-si6-2017,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-luxury-3-0-v6-td6-2017,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-3-0-v6-si6-2017,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-3-0-v6-td6-2017,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-si6-2017,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-td6-2017,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-si6-2018,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-td6-2018,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-luxury-3-0-v6-si6-2018,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-luxury-3-0-v6-td6-2018,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-3-0-v6-si6-2018,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-s-3-0-v6-td6-2018,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-si6-2018,0.0,0.0,340.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-td6-2018,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-td6-2019,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-luxury-3-0-v6-td6-2019,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-td6-2019,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-v6-td6-2020,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-luxury-3-0-v6-td6-2020,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-v6-td6-2020,0.0,0.0,258.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-hse-3-0-2021,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
land-rover,Discovery,discovery-se-3-0-2021,0.0,0.0,300.0,5.0,Auto,Indefinido,Urbano
