marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
mercedes-benz,180d,180d-2-4-1994,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
mercedes-benz,180d,180d-2-4-1995,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
mercedes-benz,180d,180d-furgao-2-4-1995,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
mercedes-benz,180d,180d-furgao-2-4-1995-diesel,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
mercedes-benz,180d,180d-pick-up-2-4-1995,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
mercedes-benz,180d,180d-2-4-1996,0.0,0.0,75.0,5.0,Manual,Indefinido,Urbano
mercedes-benz,190,190-e-2-3-1990,0.0,0.0,136.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,190,190-e-2-3-16-1990,0.0,0.0,185.0,5.0,Manual,Indefinido,Urbano
mercedes-benz,190,190-e-2-3-1991,0.0,0.0,136.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,190,190-e-2-3-16-1991,0.0,0.0,185.0,5.0,Manual,Indefinido,Urbano
mercedes-benz,190,190-e-2-0-1992,0.0,0.0,122.0,5.0,Manual,Indefinido,Urbano
mercedes-benz,190,190-e-2-3-1992,0.0,0.0,136.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,190,190-e-2-3-16-1992,0.0,0.0,185.0,5.0,Manual,Indefinido,Urbano
mercedes-benz,190,190-e-2-3-1993,0.0,0.0,136.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,190,190-e-2-3-16-1993,0.0,0.0,185.0,5.0,Manual,Indefinido,Urbano
mercedes-benz,A200,a200-style-1-6-turbo-2013,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,A200,a200-urban-1-6-turbo-2013,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,A200,a200-style-1-6-turbo-2014,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,A200,a200-urban-1-6-turbo-2014,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,A200,a200-1-6-2015,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,A200,a200-style-1-6-turbo-2015,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,A200,a200-urban-1-6-turbo-2015,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,A200,a200-1-6-turbo-2016,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,A200,a200-1-6-turbo-2017,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
mercedes-benz,A200,a200-1-6-turbo-2018,0.0,0.0,156.0,5.0,Auto,Indefinido,Urbano
