marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
mitsubishi,3000 Gt,3000-gt-vr-4-3-0-biturbo-1991,0.0,0.0,300.0,5.0,Manual,Indefinido,Urbano
mitsubishi,3000 Gt,3000-gt-vr-4-3-0-biturbo-1992,0.0,0.0,300.0,5.0,Manual,Indefinido,Urbano
mitsubishi,3000 Gt,3000-gt-vr-4-3-0-biturbo-1993,0.0,0.0,300.0,5.0,Manual,Indefinido,Urbano
mitsubishi,3000 Gt,3000-gt-vr-4-3-0-biturbo-1994,0.0,0.0,320.0,5.0,Manual,Indefinido,Urbano
mitsubishi,3000 Gt,3000-gt-vr-4-3-0-biturbo-1995,0.0,0.0,320.0,5.0,Manual,Indefinido,Urbano
mitsubishi,3000 Gt,3000-gt-vr-4-3-0-biturbo-1998,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
mitsubishi,Airtrek,airtrek-2-4-2003,0.0,0.0,136.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Airtrek,airtrek-2-4-2004,0.0,0.0,136.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Airtrek,airtrek-2-4-2005,0.0,0.0,163.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Airtrek,airtrek-2-0-turbo-2006,0.0,0.0,240.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Airtrek,airtrek-2-4-2006,0.0,0.0,163.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Airtrek,airtrek-2-4-2007,0.0,0.0,163.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Airtrek,airtrek-2-4-2008,0.0,0.0,163.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x2-at-2011,0.0,0.0,160.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x2-mt-2011,0.0,0.0,160.0,5.0,Manual,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x4-at-2011,0.0,0.0,160.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x2-at-2012,0.0,0.0,160.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x2-mt-2012,0.0,0.0,160.0,5.0,Manual,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x4-at-2012,0.0,0.0,160.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x2-at-2013,0.0,0.0,160.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x2-mt-2013,0.0,0.0,160.0,5.0,Manual,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x4-at-2013,0.0,0.0,160.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x2-at-2014,0.0,0.0,160.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x2-mt-2014,0.0,0.0,160.0,5.0,Manual,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x4-at-2014,0.0,0.0,160.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x2-at-2015,0.0,0.0,160.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x2-mt-2015,0.0,0.0,160.0,5.0,Manual,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x4-at-2015,0.0,0.0,160.0,5.0,Auto,Indefinido,Urbano
mitsubishi,Asx,asx-2-0-4x2-at-2016,0.0,0.0,160.0,5.0,Auto,Indefinido,Urbano
