marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
peugeot,106,106-xt-1-0-1994,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-kid-1-0-1995,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-xn-1-0-1995,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-xn-1-0-1995-gasolina,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-passion-1-0-1998,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-soleil-1-0-1998,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-soleil-1-0-1998-gasolina,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-passion-1-0-1999,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-selection-1-0-1999,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-soleil-1-0-1999-gasolina,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-soleil-1-0-1999,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-passion-1-0-2000,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-selection-1-0-2000,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-soleil-1-0-2000,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-soleil-1-0-2000-gasolina,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-quiksilver-1-0-2001,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-selection-1-0-2001-gasolina,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
peugeot,106,106-selection-1-0-2001,0.0,0.0,50.0,5.0,Manual,Indefinido,Urbano
