marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
ram,1500,1500-rebel-5-7-v8-cd-2021,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-rebel-night-edition-5-7-v8-cd-2021,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-classic-laie-5-7-v8-2022,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-classic-laie-night-edition-5-7-v8-2022,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-limited-5-7-v8-2022,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-rebel-5-7-v8-cd-2022,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-classic-laie-5-7-v8-2023,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-classic-laie-night-edition-5-7-v8-2023,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-classic-r-t-5-7-v8-2023,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-limited-5-7-v8-2023,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-limited-night-edition-5-7-v8-2023,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-rebel-5-7-v8-2023,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-limited-5-7-v8-2024,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-limited-night-edition-5-7-v8-2024,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-rebel-5-7-v8-2024,0.0,0.0,400.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-laie-3-0-2025,0.0,0.0,425.0,5.0,Auto,Indefinido,Urbano
ram,1500,1500-laie-night-edition-3-0-2025,0.0,0.0,425.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-laie-6-7-turbo-cd-2012,0.0,0.0,310.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-laie-6-7-turbo-cd-2016,0.0,0.0,330.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-laie-6-7-turbo-cd-2017,0.0,0.0,330.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-laie-6-7-turbo-cd-2018,0.0,0.0,330.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-laie-6-7-turbo-cd-2019,0.0,0.0,365.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-laie-6-7-turbo-cd-2020,0.0,0.0,365.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-night-edition-6-7-turbo-cd-2020,0.0,0.0,365.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-laie-6-7-turbo-cd-2021,0.0,0.0,365.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-night-edition-6-7-2021,0.0,0.0,365.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-rodeo-6-7-turbo-cd-2021,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-laie-6-7-cd-2022,0.0,0.0,365.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-night-edition-6-7-cd-2022,0.0,0.0,365.0,5.0,Auto,Indefinido,Urbano
ram,2500,2500-laie-6-7-2023,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ram,2500,2500-night-edition-6-7-2023,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ram,2500,2500-laie-6-7-2024,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ram,2500,2500-night-edition-6-7-2024,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ram,2500,2500-rodeo-edition-6-7-2024,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
ram,2500,2500-laie-6-7-2025,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
