marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
renault,19,19-rn-1-6-1994,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
renault,19,19-16s-1-8-16v-1995,0.0,0.0,137.0,5.0,Manual,Indefinido,Urbano
renault,19,19-16s-1-8-16v-1995-gasolina,0.0,0.0,137.0,5.0,Manual,Indefinido,Urbano
renault,19,19-rn-1-6-1995,0.0,0.0,74.0,5.0,Manual,Indefinido,Urbano
renault,19,19-rn-1-6-1995-gasolina,0.0,0.0,76.0,5.0,Manual,Indefinido,Urbano
renault,19,19-rt-1-8-1995,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
renault,19,19-16s-1-8-16v-1996,0.0,0.0,137.0,5.0,Manual,Indefinido,Urbano
renault,19,19-rn-1-6-1996,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
renault,19,19-rn-1-6-1996-gasolina,0.0,0.0,76.0,5.0,Manual,Indefinido,Urbano
renault,19,19-rt-1-8-1996,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
renault,19,19-rn-1-6-1997,0.0,0.0,76.0,5.0,Manual,Indefinido,Urbano
renault,19,19-rn-1-6-1997-gasolina,0.0,0.0,74.0,5.0,Manual,Indefinido,Urbano
renault,19,19-rt-1-8-1997,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
renault,19,19-rn-1-6-1998,0.0,0.0,76.0,5.0,Manual,Indefinido,Urbano
renault,19 Sedan,19-sedan-16s-1-8-16v-1994,0.0,0.0,137.0,5.0,Manual,Indefinido,Urbano
renault,19 Sedan,19-sedan-rt-1-8-1994,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
renault,19 Sedan,19-sedan-16s-1-8-16v-1995,0.0,0.0,137.0,5.0,Manual,Indefinido,Urbano
renault,19 Sedan,19-sedan-rt-1-8-1995,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
renault,19 Sedan,19-sedan-16s-1-8-16v-1996,0.0,0.0,137.0,5.0,Manual,Indefinido,Urbano
renault,19 Sedan,19-sedan-rt-1-8-1996,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
renault,19 Sedan,19-sedan-rt-1-8-1997,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
renault,19 Sedan,19-sedan-rt-1-8-1998,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
renault,19 Sedan,19-sedan-rt-1-8-1999,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
renault,21,21-gtx-2-0-1992,0.0,0.0,103.0,5.0,Manual,Indefinido,Urbano
renault,21,21-txe-2-2-1992,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
renault,21,21-txe-2-2-1993,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
renault,21,21-gtx-2-0-1994,0.0,0.0,103.0,5.0,Manual,Indefinido,Urbano
renault,21,21-txi-2-2-1994,0.0,0.0,120.0,5.0,Manual,Indefinido,Urbano
renault,21 Nevada,21-nevada-txe-2-2-1992,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
renault,21 Nevada,21-nevada-gtx-2-2-1993,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
renault,21 Nevada,21-nevada-txe-2-2-1993,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
renault,21 Nevada,21-nevada-txe-2-2-1994,0.0,0.0,116.0,5.0,Manual,Indefinido,Urbano
renault,Boreal,boreal-evolution-1-3-2026,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
renault,Boreal,boreal-iconic-1-3-2026,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
renault,Boreal,boreal-techno-1-3-2026,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
renault,Captur,captur-intense-2-0-at-2017,0.0,0.0,148.0,5.0,Auto,Indefinido,Urbano
