marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
toyota,Bandeirante,bandeirante-jipe-3-8-capota-aco-curto-1979,0.0,0.0,953.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-jipe-3-8-capota-lona-1979,0.0,0.0,953.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-picape-3-8-chassi-curto-cs-1979,0.0,0.0,953.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-jipe-3-8-capota-aco-curto-1981,0.0,0.0,953.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-jipe-3-8-capota-lona-1981,0.0,0.0,953.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-picape-3-8-chassi-curto-cs-1981,0.0,0.0,953.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-jipe-3-8-capota-aco-curto-1984,0.0,0.0,85.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-jipe-3-8-capota-aco-curto-1985,0.0,0.0,85.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-jipe-3-8-capota-aco-longo-1985,0.0,0.0,85.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-jipe-3-8-capota-lona-1985,0.0,0.0,85.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-picape-3-8-chassi-curto-cs-1985,0.0,0.0,85.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-picape-3-8-chassi-longo-cd-1985,0.0,0.0,85.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-picape-3-8-chassi-longo-cs-1985,0.0,0.0,85.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-jipe-3-8-capota-aco-curto-1987,0.0,0.0,85.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-jipe-3-8-capota-aco-curto-1988,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-jipe-3-8-capota-aco-longo-1988,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-jipe-3-8-capota-lona-1988,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
toyota,Bandeirante,bandeirante-picape-3-8-chassi-curto-cs-1988,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
