marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
volkswagen,Amarok,amarok-2-0-4x2-cd-2011,,2011,122.0,5,Manual,Indefinido,Urbano
volkswagen,Amarok,amarok-2-0-4x4-cd-2011,,2011,122.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-highline-2-0-4x4-cd-2011,,2011,163.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-se-2-0-4x4-cd-2011,,2011,163.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-trendline-2-0-4x4-cd-2011,,2011,163.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-2-0-4x2-cd-2012,,2012,122.0,5,Manual,Indefinido,Urbano
volkswagen,Amarok,amarok-2-0-4x2-cs-2012,,2012,122.0,5,Manual,Indefinido,Urbano
volkswagen,Amarok,amarok-2-0-4x4-cd-2012,,2012,122.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-2-0-4x4-cs-2012,,2012,122.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-highline-2-0-4x4-at-cd-2012,,2012,180.0,5,Auto,Indefinido,Rural
volkswagen,Amarok,amarok-highline-2-0-4x4-cd-2012,,2012,180.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-se-2-0-4x4-cd-2012,,2012,163.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-trendline-2-0-4x4-cd-2012,,2012,180.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-highline-2-0-4x4-at-cd-2013,,2013,180.0,5,Auto,Indefinido,Rural
volkswagen,Amarok,amarok-highline-2-0-4x4-cd-2013,,2013,180.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-s-2-0-4x2-cd-2013,,2013,122.0,5,Manual,Indefinido,Urbano
volkswagen,Amarok,amarok-s-2-0-4x2-cs-2013,,2013,122.0,5,Manual,Indefinido,Urbano
volkswagen,Amarok,amarok-s-2-0-4x4-cd-2013,,2013,122.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-s-2-0-4x4-cs-2013,,2013,122.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-se-2-0-4x4-cd-2013,,2013,180.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-trendline-2-0-4x4-at-cd-2013,,2013,180.0,5,Auto,Indefinido,Rural
volkswagen,Amarok,amarok-trendline-2-0-4x4-cd-2013,,2013,180.0,5,Manual,Indefinido,Rural
volkswagen,Amarok,amarok-highline-2-0-4x4-at-cd-2014,,2014,180.0,5,Auto,Indefinido,Rural
volkswagen,Amarok,amarok-highline-2-0-4x4-cd-2014,,2014,180.0,5,Manual,Indefinido,Rural
