marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
volvo,460,460-1-7-turbo-1992,,1992,120.0,5,Manual,Indefinido,Urbano
volvo,460,460-glt-2-0-1995,,1995,110.0,5,Manual,Indefinido,Urbano
volvo,850,850-glt-2-5-1992,,1992,170.0,5,Auto,Indefinido,Urbano
volvo,850,850-glt-2-5-1993,,1993,170.0,5,Auto,Indefinido,Urbano
volvo,850,850-glt-2-5-1994,,1994,170.0,5,Manual,Indefinido,Urbano
volvo,850,850-r-2-3-turbo-1994,,1994,,5,Auto,Indefinido,Urbano
volvo,850,850-t5-2-3-turbo-1995,,1995,225.0,5,Manual,Indefinido,Urbano
volvo,850,850-t5-2-3-turbo-1995-gasolina,,1995,225.0,5,Auto,Indefinido,Urbano
volvo,850,850-r-2-3-turbo-1996,,1996,240.0,5,Auto,Indefinido,Urbano
volvo,850,850-t5-2-3-turbo-1996,,1996,225.0,5,Auto,Indefinido,Urbano
volvo,850,850-glt-2-5-1997,,1997,170.0,5,Auto,Indefinido,Urbano
volvo,850,850-t5-2-3-turbo-1997,,1997,225.0,5,Auto,Indefinido,Urbano
volvo,850 Sw,850-sw-glt-2-5-1994,,1994,170.0,5,Auto,Indefinido,Urbano
volvo,850 Sw,850-sw-r-2-3-turbo-1995,,1995,241.0,5,Auto,Indefinido,Urbano
volvo,850 Sw,850-sw-t5-2-3-turbo-1995,,1995,225.0,5,Auto,Indefinido,Urbano
volvo,850 Sw,850-sw-glt-2-5-1996,,1996,,5,Auto,Indefinido,Urbano
volvo,850 Sw,850-sw-t5-2-3-turbo-1996,,1996,,5,Auto,Indefinido,Urbano
volvo,850 Sw,850-sw-r-2-3-turbo-1997,,1997,,5,Auto,Indefinido,Urbano
volvo,850 Sw,850-sw-t5-2-3-turbo-1997,,1997,,5,Auto,Indefinido,Urbano
volvo,940 Sw,940-sw-2-3-turbo-1992,,1992,165.0,5,Auto,Indefinido,Urbano
volvo,940 Sw,940-sw-2-3-turbo-1993,,1993,165.0,5,Auto,Indefinido,Urbano
volvo,960,960-2-9-1992,,1992,204.0,5,Auto,Indefinido,Urbano
volvo,960,960-2-9-1994,,1994,181.0,5,Auto,Indefinido,Urbano
volvo,960,960-2-9-1995,,1995,204.0,5,Auto,Indefinido,Urbano
volvo,960,960-2-9-1996,,1996,181.0,5,Auto,Indefinido,Urbano
volvo,960,960-2-9-1997,,1997,181.0,5,Auto,Indefinido,Urbano
volvo,C30,c30-2-0-2007,,2007,145.0,5,Manual,Indefinido,Urbano
volvo,C30,c30-t5-2-5-turbo-2007,,2007,220.0,5,Auto,Indefinido,Urbano
volvo,C30,c30-2-0-2008,,2008,145.0,5,Manual,Indefinido,Urbano
volvo,C30,c30-2-4-2008,,2008,170.0,5,Auto,Indefinido,Urbano
volvo,C30,c30-t5-2-5-turbo-2008,,2008,220.0,5,Auto,Indefinido,Urbano
volvo,C30,c30-t5-2-5-turbo-2008-gasolina,,2008,230.0,5,Manual,Indefinido,Urbano
volvo,C30,c30-2-0-2009,,2009,145.0,5,Manual,Indefinido,Urbano
volvo,C30,c30-t5-2-5-turbo-2009,,2009,220.0,5,Auto,Indefinido,Urbano
volvo,C30,c30-t5-2-5-turbo-2009-gasolina,,2009,230.0,5,Manual,Indefinido,Urbano
volvo,C30,c30-2-0-2010,,2010,145.0,5,Manual,Indefinido,Urbano
volvo,C30,c30-2-0-at-2010,,2010,145.0,5,Auto,Indefinido,Urbano
volvo,C30,c30-2-0-2011,,2011,145.0,5,Manual,Indefinido,Urbano
volvo,C30,c30-2-0-at-2011,,2011,145.0,5,Auto,Indefinido,Urbano
volvo,C30,c30-r-design-t5-2-5-turbo-2011,,2011,230.0,5,Auto,Indefinido,Urbano
volvo,C30,c30-2-0-at-2012,,2012,145.0,5,Auto,Indefinido,Urbano
volvo,C30,c30-r-design-t5-2-5-turbo-2012,,2012,230.0,5,Auto,Indefinido,Urbano
volvo,C40,c40-recharge-p8-awd-2022,,2022,,5,Auto,Indefinido,Rural
volvo,C40,c40-twin-ultimate-2023,,2023,,5,Auto,Indefinido,Rural
volvo,C40,c40-plus-2024,,2024,,5,Auto,Indefinido,Urbano
volvo,C40,c40-twin-ultimate-2024,,2024,,5,Auto,Indefinido,Rural
volvo,C70,c70-2-3-turbo-1998,,1998,,5,Auto,Indefinido,Urbano
