marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__altura,geral__altura_minima_do_solo,geral__angulo_de_entrada,geral__angulo_de_saida,geral__bitola_dianteira,geral__bitola_traseira,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__rampa_maxima,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__autonomia,geral__capacidade_da_bateria,geral__pesopotencia,geral__pesotorque,geral__potencia,geral__torque,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__tracao,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__potencia_de_recarga,geral__carga_util,geral__estepe,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__consumo_eletrico,geral__frenagem_1000_kmh,geral__potencia_combinada,geral__torque_combinado,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__deslocamento,geral__disposicao,geral__instalacao,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__variacao_do_comando,geral__viscosidade_do_oleo,geral__acoplamento,geral__tanque_de_combustivel,geral__autonomia_eletrica,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__tuchos,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__veloc_max_modo_elet,geral__cacamba,geral__reboque_com_freio,geral__reboque_sem_freio,geral__portamalas_5_lugares,geral__portamalas_7_lugares
byd,D1,d1,d1-ev-2023,d1-ev-2023,https://www.fichacompleta.com.br/carros/byd/d1-ev-2023,2026-06-14T14:02:21.510374,Byd D1 EV 2023,14 s,130 km/h,1650 mm,125 mm,15 graus,18 graus,1590 mm,1590 mm,4390 mm,2800 mm,1850 mm,1640 kg,400 litros,"16,7 graus",117 mm,Disco ventilado,Disco sólido,Elétrica,"11,2 m",371 km,53 kWh,"12,06 kg/cv","89,62 kg/kgfm",136 cv (dianteiro),"18,3 kgfm (dianteiro)",Automático,BYDNT18,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byd,D1,d1,d1-ev-2023-eletricidade,d1-ev-2023-eletricidade,https://www.fichacompleta.com.br/carros/byd/d1-ev-2023-eletricidade,2026-06-14T14:02:25.487013,Byd D1 EV 2023,14 s,130 km/h,1650 mm,125 mm,15 graus,18 graus,1590 mm,1590 mm,4390 mm,2800 mm,1850 mm,1640 kg,400 litros,"16,7 graus",117 mm,Disco ventilado,Disco sólido,Elétrica,"11,2 m",258 km,53 kWh,"12,06 kg/cv","89,62 kg/kgfm",136 cv (dianteiro),"18,3 kgfm (dianteiro)",Automático,BYDNT18,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,60 kW (DC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byd,Dolphin,dolphin,dolphin-diamond-2024,dolphin-diamond-2024,https://www.fichacompleta.com.br/carros/byd/dolphin-diamond-2024,2026-06-14T14:02:55.440566,Byd Dolphin Diamond 2024,"10,9 s",150 km/h,1570 mm,120 mm,17 graus,23 graus,1530 mm,1530 mm,4125 mm,2700 mm,1770 mm,1405 kg,250 litros,,117 mm,Disco ventilado,Disco sólido,Elétrica,"10,5 m",291 km,"44,9 kWh","14,79 kg/cv","76,78 kg/kgfm",95 cv (dianteiro),"18,3 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,,410 kg,125/90 R16,"2,36 m²","0,708 m²","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byd,Dolphin,dolphin,dolphin-ev-2024,dolphin-ev-2024,https://www.fichacompleta.com.br/carros/byd/dolphin-ev-2024,2026-06-14T14:03:19.505753,Byd Dolphin EV 2024,"10,9 s",150 km/h,1570 mm,120 mm,17 graus,23 graus,1530 mm,1530 mm,4125 mm,2700 mm,1770 mm,1405 kg,250 litros,,117 mm,Disco ventilado,Disco sólido,Elétrica,"10,5 m",291 km,"44,9 kWh","14,79 kg/cv","76,78 kg/kgfm",95 cv (dianteiro),"18,3 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,,410 kg,125/90 R16,"2,36 m²","0,708 m²","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byd,Dolphin,dolphin,dolphin-plus-2024,dolphin-plus-2024,https://www.fichacompleta.com.br/carros/byd/dolphin-plus-2024,2026-06-14T14:03:21.846791,Byd Dolphin Plus 2024,7 s,160 km/h,1570 mm,120 mm,17 graus,23 graus,1530 mm,1530 mm,4290 mm,2700 mm,1770 mm,1658 kg,250 litros,,103 mm,Disco ventilado,Disco sólido,Elétrica,"10,5 m",309 km,"60,5 kWh","8,13 kg/cv","52,47 kg/kgfm",204 cv (dianteiro),"31,6 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,,410 kg,125/90 R16,"2,36 m²","0,708 m²","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byd,Dolphin,dolphin,dolphin-ev-2025,dolphin-ev-2025,https://www.fichacompleta.com.br/carros/byd/dolphin-ev-2025,2026-06-14T14:03:25.621393,Byd Dolphin EV 2025,"10,9 s",160 km/h,1570 mm,120 mm,17 graus,23 graus,1530 mm,1530 mm,4125 mm,2700 mm,1770 mm,1405 kg,250 litros,,117 mm,Disco ventilado,Disco sólido,Elétrica,"10,5 m",291 km,"44,9 kWh","14,79 kg/cv","76,78 kg/kgfm",95 cv (dianteiro),"18,3 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,60 kW (DC),375 kg,125/90 R16,"2,36 m²","0,708 m²","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byd,Dolphin,dolphin,dolphin-plus-2025,dolphin-plus-2025,https://www.fichacompleta.com.br/carros/byd/dolphin-plus-2025,2026-06-14T14:03:28.615721,Byd Dolphin Plus 2025,7 s,160 km/h,1570 mm,120 mm,17 graus,23 graus,1530 mm,1530 mm,4290 mm,2700 mm,1770 mm,1658 kg,345 litros,,103 mm,Disco ventilado,Disco sólido,Elétrica,"10,5 m",330 km,"60,5 kWh","8,13 kg/cv","52,47 kg/kgfm",204 cv (dianteiro),"31,6 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",80 kW (DC),375 kg,Kit de reparo,"2,36 m²","0,708 m²","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byd,Dolphin,dolphin,dolphin-gs-2026,dolphin-gs-2026,https://www.fichacompleta.com.br/carros/byd/dolphin-gs-2026,2026-06-14T14:03:30.998742,Byd Dolphin GS 2026,"10,9 s",160 km/h,1570 mm,120 mm,17 graus,23 graus,1530 mm,1530 mm,4125 mm,2700 mm,1770 mm,1405 kg,250 litros,,117 mm,Disco ventilado,Disco sólido,Elétrica,"10,5 m",291 km,"44,9 kWh","14,79 kg/cv","76,78 kg/kgfm",95 cv (dianteiro),"18,3 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,60 kW (DC),375 kg,125/90 R16,"2,36 m²","0,708 m²","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byd,Dolphin,dolphin,dolphin-plus-2026,dolphin-plus-2026,https://www.fichacompleta.com.br/carros/byd/dolphin-plus-2026,2026-06-14T14:03:34.125563,Byd Dolphin Plus 2026,7 s,160 km/h,1570 mm,120 mm,17 graus,23 graus,1530 mm,1530 mm,4290 mm,2700 mm,1770 mm,1658 kg,345 litros,,103 mm,Disco ventilado,Disco sólido,Elétrica,"10,5 m",330 km,"60,5 kWh","8,13 kg/cv","52,47 kg/kgfm",204 cv (dianteiro),"31,6 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",80 kW (DC),375 kg,Kit de reparo,"2,36 m²","0,708 m²","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byd,Dolphin Mini,dolphin-mini,dolphin-mini-ev-2024,dolphin-mini-ev-2024,https://www.fichacompleta.com.br/carros/byd/dolphin-mini-ev-2024,2026-06-14T14:03:44.477680,Byd Dolphin Mini EV 2024,"14,9 s",130 km/h,1580 mm,110 mm,,,1500 mm,1500 mm,3780 mm,2500 mm,1715 mm,1239 kg,230 litros,,96 mm,Disco ventilado,Disco sólido,Elétrica,"9,9 m",280 km,38 kWh,"16,52 kg/cv","89,78 kg/kgfm",75 cv (dianteiro),"13,8 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,40 kW (DC),329 kg,Kit de reparo,,,,"9,6 kWh/100 km",39 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
