marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__torque_especifico,geral__torque_maximo,geral__tuchos,geral__valvulas_por_cilindro,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__tracao,geral__altura,geral__altura_minima_do_solo,geral__bitola_dianteira,geral__bitola_traseira,geral__cacamba,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__tanque_de_combustivel,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__dianteiros,geral__traseiros,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__quantidade_de_marchas,geral__portamalas,geral__diametro_minimo_de_giro,geral__altura_do_flanco,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__rotacao_maxima,geral__torque_maximo_a,geral__torque_maximo_g,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__potencia,geral__torque,geral__reboque_com_freio,geral__reboque_sem_freio,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__angulo_de_entrada,geral__angulo_de_saida,geral__rampa_maxima,geral__travessia_de_agua,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__cilindrada_unitaria,geral__deslocamento,geral__estepe,geral__autonomia,geral__capacidade_da_bateria,geral__variacao_do_comando,geral__viscosidade_do_oleo,geral__frenagem_1000_kmh,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__potencia_combinada,geral__torque_combinado,geral__angulo_central,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__inclinacao_lateral_max,geral__inclinacao_lateral_maxima
chevrolet,A-10,a-10,a-10-2-5-cs-1979,a-10-2-5-cs-1979,https://www.fichacompleta.com.br/carros/chevrolet/a-10-2-5-cs-1979,2026-06-14T20:49:51.956484,Chevrolet A-10 2.5 CS 1979,30 s,130 km/h,Engrenagens,Carburador,Natural,2471 cm³,4 em linha,151,Único no bloco,"76,2 mm","101,6 mm",Longitudinal,Dianteiro,"17,4 kg/cv","72,7 kg/kgfm","36,4 cv/litro",90 cv,"10,5:1",4800 rpm,2500 rpm,"8,7 kgfm/litro","21,6 kgfm",Hidráulicos,2,Embreagem monodisco a seco,Manual,M-20,4,Traseira,1745 mm,320 mm,1650 mm,1560 mm,750 litros,750 kg,4828 mm,2920 mm,1980 mm,1570 kg,88 litros,Hidráulica,Não informado,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,Disco sólido,Tambor,440 km,352 km,5 km/l,4 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,A-10,a-10,a-10-2-5-cs-1982,a-10-2-5-cs-1982,https://www.fichacompleta.com.br/carros/chevrolet/a-10-2-5-cs-1982,2026-06-14T20:49:55.186479,Chevrolet A-10 2.5 CS 1982,30 s,130 km/h,Engrenagens,Carburador,Natural,2471 cm³,4 em linha,151,Único no bloco,"76,2 mm","101,6 mm",Longitudinal,Dianteiro,"17,4 kg/cv","72,7 kg/kgfm","36,4 cv/litro",90 cv,"10,5:1",4800 rpm,2500 rpm,"8,7 kgfm/litro","21,6 kgfm",Hidráulicos,2,Embreagem monodisco a seco,Manual,M-20,4,Traseira,1745 mm,320 mm,1650 mm,1560 mm,750 litros,750 kg,4828 mm,2920 mm,1980 mm,1570 kg,88 litros,Hidráulica,Não informado,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,Disco sólido,Tambor,440 km,352 km,5 km/l,4 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,A-10,a-10,a-10-4-1-cs-1985,a-10-4-1-cs-1985,https://www.fichacompleta.com.br/carros/chevrolet/a-10-4-1-cs-1985,2026-06-14T20:49:57.626459,Chevrolet A-10 4.1 CS 1985,30 s,130 km/h,Engrenagens,Carburador,Natural,4093 cm³,6 em linha,250,Único no bloco,"89,7 mm","98,4 mm",Longitudinal,Dianteiro,"12,9 kg/cv","58,1 kg/kgfm","29,8 cv/litro",122 cv,"10,5:1",,,"6,6 kgfm/litro",27 kgfm,,2,Embreagem monodisco a seco,Manual,M-20,4,Traseira,1745 mm,320 mm,1650 mm,1560 mm,750 litros,750 kg,4828 mm,2920 mm,1980 mm,1570 kg,88 litros,Hidráulica,Não informado,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,Disco sólido,Tambor,352 km,264 km,4 km/l,3 km/l,4000 rpm,2500 rpm,4,750 litros,Não informado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,A-20,a-20,a-20-custom-s-4-1-cd-1986,a-20-custom-s-4-1-cd-1986,https://www.fichacompleta.com.br/carros/chevrolet/a-20-custom-s-4-1-cd-1986,2026-06-14T20:50:34.631132,Chevrolet A-20 Custom S 4.1 CD 1986,"19,9 s",144 km/h,Engrenagens,Carburador,Natural,4093 cm³,6 em linha,250,Único no bloco,"89,7 mm","98,4 mm",Longitudinal,Dianteiro,"15,1 kg/cv","68,0 kg/kgfm","33,0 cv/litro",135 cv,10:1,,,"7,3 kgfm/litro",30 kgfm,,2,Embreagem monodisco a seco,Manual,Clark CL2205 A,4,Traseira,1780 mm,,1640 mm,1600 mm,1441 litros,1020 kg,5340 mm,3230 mm,2000 mm,2040 kg,88 litros,Hidráulica,Não informado,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,Disco ventilado,Tambor,475 km,326 km,"5,4 km/l","3,7 km/l",4000 rpm,2000 rpm,4,1441 litros,Não informado,191 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,A-20,a-20,a-20-custom-s-4-1-cs-1986,a-20-custom-s-4-1-cs-1986,https://www.fichacompleta.com.br/carros/chevrolet/a-20-custom-s-4-1-cs-1986,2026-06-14T20:50:37.743465,Chevrolet A-20 Custom S 4.1 CS 1986,19 s,146 km/h,Engrenagens,Carburador,Natural,4092 cm³,6 em linha,250,Único no bloco,"89,7 mm","98,4 mm",Longitudinal,Dianteiro,"13,3 kg/cv","59,7 kg/kgfm","33,0 cv/litro",135 cv,10:1,4000 rpm,2000 rpm,"7,3 kgfm/litro",30 kgfm,Hidráulicos,2,Embreagem monodisco a seco,Manual,Clark CL2205 A,4,Traseira,1780 mm,,1640 mm,1600 mm,1846 litros,1230 kg,4830 mm,2920 mm,1990 mm,1790 kg,88 litros,Hidráulica,"12,5 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,Disco ventilado,Tambor,484 km,343 km,"5,5 km/l","3,9 km/l",,,,,,191 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,A-20,a-20,a-20-custom-s-4-1-cd-1988,a-20-custom-s-4-1-cd-1988,https://www.fichacompleta.com.br/carros/chevrolet/a-20-custom-s-4-1-cd-1988,2026-06-14T20:50:40.289447,Chevrolet A-20 Custom S 4.1 CD 1988,"19,9 s",144 km/h,Engrenagens,Carburador,Natural,4093 cm³,6 em linha,250,Único no bloco,"89,7 mm","98,4 mm",Longitudinal,Dianteiro,"15,1 kg/cv","68,0 kg/kgfm","33,0 cv/litro",135 cv,10:1,4000 rpm,2000 rpm,"7,3 kgfm/litro",30 kgfm,,2,Embreagem monodisco a seco,Manual,Clark CL2205 A,4,Traseira,1780 mm,,1640 mm,1600 mm,1441 litros,1020 kg,5340 mm,3230 mm,2000 mm,2040 kg,88 litros,Hidráulica,Não informado,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,Disco ventilado,Tambor,475 km,326 km,"5,4 km/l","3,7 km/l",,,,,,191 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,A-20,a-20,a-20-custom-s-4-1-cs-1988,a-20-custom-s-4-1-cs-1988,https://www.fichacompleta.com.br/carros/chevrolet/a-20-custom-s-4-1-cs-1988,2026-06-14T20:50:44.037275,Chevrolet A-20 Custom S 4.1 CS 1988,19 s,146 km/h,,Carburador,Natural,4092 cm³,6 em linha,250,"no bloco, engrenagens",,,Longitudinal,Dianteiro,"13,3 kg/cv","59,7 kg/kgfm","33,0 cv/litro",135 cv a 4000 rpm,10:1,,,"7,3 kgfm/litro",30 kgfm a 2000 rpm,Hidráulicos,2,Embreagem monodisco a seco,Manual,Clark CL2205 A,,Traseira,1780 mm,,1640 mm,1600 mm,,1230 kg,4830 mm,2920 mm,1990 mm,1790 kg,88 litros,Hidráulica,,"Independente, braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,255/75 R16,Tambor,484 km,343 km,"5,5 km/l","3,9 km/l",,,4,1846 litros,"12,5 m",191 mm,"89,7 mm","98,4 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,A-20,a-20,a-20-custom-s-4-1-cd-1990,a-20-custom-s-4-1-cd-1990,https://www.fichacompleta.com.br/carros/chevrolet/a-20-custom-s-4-1-cd-1990,2026-06-14T20:50:47.951992,Chevrolet A-20 Custom S 4.1 CD 1990,"19,9 s",144 km/h,Engrenagens,Carburador,Natural,4093 cm³,6 em linha,250,Único no bloco,"89,7 mm","98,4 mm",Longitudinal,Dianteiro,"15,1 kg/cv","68,0 kg/kgfm","33,0 cv/litro",135 cv,10:1,4000 rpm,2000 rpm,"7,3 kgfm/litro",30 kgfm,,2,Embreagem monodisco a seco,Manual,Clark CL2205 A,4,Traseira,1780 mm,,1640 mm,1600 mm,1441 litros,1020 kg,5340 mm,3230 mm,2000 mm,2040 kg,88 litros,Hidráulica,Não informado,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,Disco ventilado,Tambor,475 km,326 km,"5,4 km/l","3,7 km/l",,,,,,191 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,A-20,a-20,a-20-custom-s-4-1-cs-1990,a-20-custom-s-4-1-cs-1990,https://www.fichacompleta.com.br/carros/chevrolet/a-20-custom-s-4-1-cs-1990,2026-06-14T20:50:50.752089,Chevrolet A-20 Custom S 4.1 CS 1990,19 s,146 km/h,Engrenagens,Carburador,Natural,4092 cm³,6 em linha,250,Único no bloco,"89,7 mm","98,4 mm",Longitudinal,Dianteiro,"13,3 kg/cv","59,7 kg/kgfm","33,0 cv/litro",135 cv,10:1,4000 rpm,2000 rpm,"7,3 kgfm/litro",30 kgfm,Hidráulicos,2,Embreagem monodisco a seco,Manual,Clark CL2205 A,4,Traseira,1780 mm,,1640 mm,1600 mm,1846 litros,1230 kg,4830 mm,2920 mm,1990 mm,1790 kg,88 litros,Hidráulica,"12,5 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,Disco ventilado,Tambor,484 km,343 km,"5,5 km/l","3,9 km/l",,,,,,191 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,A-20,a-20,a-20-custom-s-4-1-cd-1992,a-20-custom-s-4-1-cd-1992,https://www.fichacompleta.com.br/carros/chevrolet/a-20-custom-s-4-1-cd-1992,2026-06-14T20:50:54.290934,Chevrolet A-20 Custom S 4.1 CD 1992,"19,9 s",144 km/h,Engrenagens,Carburador,Natural,4093 cm³,6 em linha,250,Único no bloco,"89,7 mm","98,4 mm",Longitudinal,Dianteiro,"15,1 kg/cv","68,0 kg/kgfm","33,0 cv/litro",135 cv,10:1,4000 rpm,2000 rpm,"7,3 kgfm/litro",30 kgfm,,2,Embreagem monodisco a seco,Manual,Clark CL2205 A,4,Traseira,1780 mm,,1640 mm,1600 mm,1441 litros,1020 kg,5340 mm,3230 mm,2000 mm,2040 kg,88 litros,Hidráulica,Não informado,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,Disco ventilado,Tambor,475 km,326 km,"5,4 km/l","3,7 km/l",,,,,,191 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
