marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__potencia,geral__torque,geral__bitola_dianteira,geral__bitola_traseira,geral__carga_util,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__altura_minima_do_solo,geral__regime_potencia_max,geral__regime_torque_max,geral__acionam_do_comando,geral__variacao_do_comando,geral__rotacao_maxima,geral__reboque_sem_freio,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__cilindrada_unitaria,geral__deslocamento,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__autonomia_eletrica,geral__capacidade_da_bateria,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__estepe,geral__potencia_de_recarga,geral__reboque_com_freio
chrysler,300c,300c,300c-5-7-v8-2005,300c-5-7-v8-2005,https://www.fichacompleta.com.br/carros/chrysler/300c-5-7-v8-2005,2026-06-20T21:16:40.101666,Chrysler 300c 5.7 V8 2005,"7,5 s",210 km/h,Conversor de torque,Automático,W5A580,5,5,Traseira,Injeção multiponto,Natural,5654 cm³,8 em V,EZ,Único no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"5,4 kg/cv","34,3 kg/kgfm","60,1 cv/litro",340 cv,"9,6:1",5000 rpm,4000 rpm,"9,5 kgfm/litro","53,5 kgfm",2,1483 mm,4999 mm,3048 mm,1881 mm,1836 kg,504 litros,72 litros,135 mm,Disco ventilado,Disco sólido,Hidráulica,"11,9 m","11,9 m","Indep., braços sobrepostos",Mola helicoidal,"Indep., multibraço",720 km,446 km,10 km/l,"6,2 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrysler,300c,300c,300c-5-7-v8-2006,300c-5-7-v8-2006,https://www.fichacompleta.com.br/carros/chrysler/300c-5-7-v8-2006,2026-06-20T21:16:42.664725,Chrysler 300c 5.7 V8 2006,"7,5 s",210 km/h,Conversor de torque,Automático,W5A580,,5,Traseira,Injeção multiponto,Natural,5654 cm³,8 em V,EZ,no bloco,,,Longitudinal,Dianteiro,"5,4 kg/cv","34,3 kg/kgfm","60,1 cv/litro",340 cv a 5000 rpm,"9,6:1",,,"9,5 kgfm/litro","53,5 kgfm a 4000 rpm",2,1483 mm,4999 mm,3048 mm,1881 mm,1836 kg,504 litros,72 litros,135 mm,Disco ventilado,Disco sólido,Hidráulica,,"11,9 m","Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",720 km,446 km,10 km/l,"6,2 km/l","90,9 mm","99,5 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrysler,300c,300c,300c-srt8-6-1-v8-2006,300c-srt8-6-1-v8-2006,https://www.fichacompleta.com.br/carros/chrysler/300c-srt8-6-1-v8-2006,2026-06-20T21:16:45.628060,Chrysler 300c SRT8 6.1 V8 2006,"6,1 s",274 km/h,Conversor de torque,Automático,W5A580,5,,Traseira,Injeção multiponto,Natural,6059 cm³,8 em V,ES,Único no bloco,"90,9 mm",103 mm,Longitudinal,Dianteiro,"4,4 kg/cv","32,3 kg/kgfm","71,1 cv/litro",,"10,3:1",6000 rpm,4800 rpm,"9,7 kgfm/litro",,2,1471 mm,4999 mm,3048 mm,1881 mm,1888 kg,420 litros,72 litros,115 mm,Disco ventilado,Disco ventilado,Hidráulica,"11,9 m",,"Indep., braços sobrepostos",Mola helicoidal,"Indep., multibraço",605 km,324 km,"8,4 km/l","4,5 km/l",,,431 cv,"58,5 kgfm",1600 mm,1605 mm,445 kg,"2,35 m²","0,823 m²","0,35",,,,,,,,,,,,,,,,,,,,,,,,,,
chrysler,300c,300c,300c-3-5-v6-2007,300c-3-5-v6-2007,https://www.fichacompleta.com.br/carros/chrysler/300c-3-5-v6-2007,2026-06-20T21:16:49.955997,Chrysler 300c 3.5 V6 2007,8 s,220 km/h,Conversor de torque,Automático,W5A580,,5,Traseira,Injeção multiponto,Natural,3518 cm³,6 em V,EG,Único no cabeçote,,,Longitudinal,Dianteiro,"6,9 kg/cv","49,8 kg/kgfm","70,8 cv/litro",249 cv a 6400 rpm,"9,9:1",,,"9,9 kgfm/litro","34,7 kgfm a 3800 rpm",4,1483 mm,4999 mm,3048 mm,1880 mm,1729 kg,504 litros,68 litros,135 mm,Disco ventilado,Disco sólido,Hidráulica,,"11,9 m","Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",598 km,483 km,"8,8 km/l","7,1 km/l",81 mm,96 mm,,,1600 mm,1603 mm,,"2,37 m²","0,806 m²",,"0,34",143 mm,,,,,,,,,,,,,,,,,,,,,,,,
chrysler,300c,300c,300c-5-7-v8-2007,300c-5-7-v8-2007,https://www.fichacompleta.com.br/carros/chrysler/300c-5-7-v8-2007,2026-06-20T21:16:53.213794,Chrysler 300c 5.7 V8 2007,"7,5 s",210 km/h,Conversor de torque,Automático,W5A580,5,,Traseira,Injeção multiponto,Natural,5654 cm³,8 em V,EZ,Único no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"5,4 kg/cv","34,3 kg/kgfm","60,1 cv/litro",340 cv,"9,6:1",,,"9,5 kgfm/litro","53,5 kgfm",2,1483 mm,4999 mm,3048 mm,1881 mm,1836 kg,504 litros,72 litros,135 mm,Disco ventilado,Disco sólido,Hidráulica,"11,9 m",,"Indep., braços sobrepostos",Mola helicoidal,"Indep., multibraço",720 km,446 km,10 km/l,"6,2 km/l",,,,,,,,,,,,,5000 rpm,4000 rpm,,,,,,,,,,,,,,,,,,,,,,
chrysler,300c,300c,300c-srt8-6-1-v8-2007,300c-srt8-6-1-v8-2007,https://www.fichacompleta.com.br/carros/chrysler/300c-srt8-6-1-v8-2007,2026-06-20T21:16:57.735435,Chrysler 300c SRT8 6.1 V8 2007,"6,1 s",274 km/h,Conversor de torque,Automático,W5A580,5,,Traseira,Injeção multiponto,Natural,6059 cm³,8 em V,ES,Único no bloco,"90,9 mm",103 mm,Longitudinal,Dianteiro,"4,4 kg/cv","32,3 kg/kgfm","71,1 cv/litro",,"10,3:1",6000 rpm,4800 rpm,"9,7 kgfm/litro",,2,1471 mm,4999 mm,3048 mm,1881 mm,1888 kg,420 litros,72 litros,115 mm,Disco ventilado,Disco ventilado,Hidráulica,"11,9 m",,"Indep., braços sobrepostos",Mola helicoidal,"Indep., multibraço",605 km,324 km,"8,4 km/l","4,5 km/l",,,431 cv,"58,5 kgfm",1600 mm,1605 mm,445 kg,"2,35 m²","0,823 m²","0,35",,,,,,,,,,,,,,,,,,,,,,,,,,
chrysler,300c,300c,300c-3-5-v6-2008,300c-3-5-v6-2008,https://www.fichacompleta.com.br/carros/chrysler/300c-3-5-v6-2008,2026-06-20T21:17:01.376211,Chrysler 300c 3.5 V6 2008,8 s,220 km/h,Conversor de torque,Automático,W5A580,5,5,Traseira,Injeção multiponto,Natural,3518 cm³,6 em V,EG,Único no cabeçote,81 mm,96 mm,Longitudinal,Dianteiro,"6,9 kg/cv","49,8 kg/kgfm","70,8 cv/litro",249 cv,"9,9:1",6400 rpm,3800 rpm,"9,9 kgfm/litro","34,7 kgfm",4,1483 mm,4999 mm,3048 mm,1880 mm,1729 kg,504 litros,68 litros,135 mm,Disco ventilado,Disco sólido,Hidráulica,"11,9 m","11,9 m","Indep., braços sobrepostos",Mola helicoidal,"Indep., multibraço",598 km,483 km,"8,8 km/l","7,1 km/l",,,,,1600 mm,1603 mm,,"2,37 m²","0,806 m²","0,34","0,34",143 mm,,,,,,,,,,,,,,,,,,,,,,,,
chrysler,300c,300c,300c-5-7-v8-2008,300c-5-7-v8-2008,https://www.fichacompleta.com.br/carros/chrysler/300c-5-7-v8-2008,2026-06-20T21:17:04.673563,Chrysler 300c 5.7 V8 2008,"6,8 s",250 km/h,Conversor de torque,Automático,W5A580,5,5,Traseira,Injeção multiponto,Natural,5654 cm³,8 em V,EZ,Único no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"5,5 kg/cv","34,8 kg/kgfm","60,1 cv/litro",340 cv,"9,6:1",5000 rpm,4000 rpm,"9,5 kgfm/litro","53,6 kgfm",2,1475 mm,5015 mm,3048 mm,1880 mm,1865 kg,504 litros,72 litros,135 mm,Disco ventilado,Disco ventilado,Hidráulica,"11,9 m","11,9 m","Indep., braços sobrepostos",Mola helicoidal,"Indep., multibraço",720 km,446 km,10 km/l,"6,2 km/l",,,,,1600 mm,1605 mm,445 kg,"2,36 m²","0,826 m²","0,35","0,35",,,,,,,,,,,,,,,,,,,,,,,,,
chrysler,300c,300c,300c-srt8-6-1-v8-2008,300c-srt8-6-1-v8-2008,https://www.fichacompleta.com.br/carros/chrysler/300c-srt8-6-1-v8-2008,2026-06-20T21:17:08.301815,Chrysler 300c SRT8 6.1 V8 2008,"6,1 s",274 km/h,Conversor de torque,Automático,W5A580,,5,Traseira,Injeção multiponto,Natural,6059 cm³,8 em V,ES,no bloco,"90,9 mm",103 mm,Longitudinal,Dianteiro,"4,4 kg/cv","32,3 kg/kgfm","71,1 cv/litro",431 cv a 6000 rpm,"10,3:1",,,"9,7 kgfm/litro","58,5 kgfm a 4800 rpm",2,1471 mm,4999 mm,3048 mm,1881 mm,1888 kg,420 litros,72 litros,115 mm,Disco ventilado,Disco ventilado,Hidráulica,,"11,9 m","Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",605 km,324 km,"8,4 km/l","4,5 km/l",,,,,1600 mm,1605 mm,445 kg,"2,35 m²","0,823 m²",,"0,35",,,,,,,,,,,,,,,,,,,,,,,,,
chrysler,300c,300c,300c-3-5-v6-2009,300c-3-5-v6-2009,https://www.fichacompleta.com.br/carros/chrysler/300c-3-5-v6-2009,2026-06-20T21:17:11.056788,Chrysler 300c 3.5 V6 2009,8 s,220 km/h,Conversor de torque,Automático,W5A580,5,,Traseira,Injeção multiponto,Natural,3518 cm³,6 em V,EG,Único no cabeçote,81 mm,96 mm,Longitudinal,Dianteiro,"6,9 kg/cv","49,8 kg/kgfm","70,8 cv/litro",249 cv,"9,9:1",,,"9,9 kgfm/litro","34,7 kgfm",4,1483 mm,4999 mm,3048 mm,1880 mm,1729 kg,504 litros,68 litros,135 mm,Disco ventilado,Disco sólido,Hidráulica,"11,9 m",,"Indep., braços sobrepostos",Mola helicoidal,"Indep., multibraço",598 km,483 km,"8,8 km/l","7,1 km/l",,,,,1600 mm,1603 mm,,"2,37 m²","0,806 m²","0,34",,143 mm,6400 rpm,3800 rpm,,,,,,,,,,,,,,,,,,,,,,
