marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__torque_especifico,geral__torque_maximo,geral__tuchos,geral__valvulas_por_cilindro,geral__acoplamento,geral__cambio,geral__marchas,geral__tracao,geral__altura,geral__altura_minima_do_solo,geral__bitola_dianteira,geral__bitola_traseira,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__dianteiros,geral__traseiros,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__quantidade_de_marchas,geral__diametro_minimo_de_giro,geral__potencia,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque,geral__cilindrada_unitaria,geral__deslocamento,geral__altura_do_flanco,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__carga_util,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__viscosidade_do_oleo,geral__codigo_do_cambio,geral__variacao_do_comando,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__travessia_de_agua,geral__estepe,geral__rotacao_maxima,geral__inclinacao_lateral_max,geral__rampa_maxima,geral__reboque_com_freio,geral__reboque_sem_freio,geral__cacamba,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__autonomia,geral__capacidade_da_bateria,geral__potencia_de_recarga,geral__coeficiente_de_arrasto_cx,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__potencia_combinada,geral__veloc_max_em_modo_eletrico,geral__veloc_max_modo_elet,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__pesopotencia_sistema,geral__torque_combinado,geral__consumo_eletrico,geral__inclinacao_lateral_maxima
ford,Belina,belina,belina-1-3-1970,belina-1-3-1970,https://www.fichacompleta.com.br/carros/ford/belina-1-3-1970,2026-06-15T16:44:53.313377,Ford Belina 1.3 1970,24 s,129 km/h,Corrente,Carburador,Natural,1289 cm³,4 em linha,Sierra,Único no bloco,77 mm,73 mm,Longitudinal,Dianteiro,"14,4 kg/cv","100,0 kg/kgfm","52,8 cv/litro",68 cv,"7,8:1",5200 rpm,3200 rpm,"7,6 kgfm/litro","9,8 kgfm",Mecânicos,2,Embreagem monodisco a seco,Manual,4,Dianteira,1430 mm,197 mm,1312 mm,1280 mm,4470 mm,2438 mm,1620 mm,980 kg,380 litros,57 litros,Não assistida,"10,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Tambor,Tambor,764 km,570 km,"13,4 km/l",10 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ford,Belina,belina,belina-luxo-especial-1-3-1970,belina-luxo-especial-1-3-1970,https://www.fichacompleta.com.br/carros/ford/belina-luxo-especial-1-3-1970,2026-06-15T16:44:58.050363,Ford Belina Luxo Especial 1.3 1970,24 s,129 km/h,,Carburador,Natural,1289 cm³,4 em linha,CHT,"no bloco, corrente",77 mm,73 mm,Longitudinal,Dianteiro,"14,4 kg/cv","100,0 kg/kgfm","52,8 cv/litro",68 cv a 5200 rpm,"7,8:1",,,"7,6 kgfm/litro","9,8 kgfm a 3200 rpm",Mecânicos,2,Embreagem monodisco a seco,Manual,,Dianteira,1430 mm,197 mm,1312 mm,1280 mm,4470 mm,2438 mm,1620 mm,980 kg,380 litros,57 litros,Não assistida,,"Independente, braços sobrepostos",Mola helicoidal,Eixo rígido,Tambor,Tambor,764 km,570 km,"13,4 km/l",10 km/l,4,"10,1 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ford,Belina,belina,belina-1-3-1971,belina-1-3-1971,https://www.fichacompleta.com.br/carros/ford/belina-1-3-1971,2026-06-15T16:45:00.737300,Ford Belina 1.3 1971,24 s,129 km/h,Corrente,Carburador,Natural,1289 cm³,4 em linha,Sierra,Único no bloco,77 mm,73 mm,Longitudinal,Dianteiro,"14,4 kg/cv","100,0 kg/kgfm","52,8 cv/litro",68 cv,"7,8:1",5200 rpm,3200 rpm,"7,6 kgfm/litro","9,8 kgfm",Mecânicos,2,Embreagem monodisco a seco,Manual,4,Dianteira,1430 mm,197 mm,1312 mm,1280 mm,4470 mm,2438 mm,1620 mm,980 kg,380 litros,57 litros,Não assistida,"10,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Tambor,Tambor,764 km,570 km,"13,4 km/l",10 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ford,Belina,belina,belina-1-3-1972,belina-1-3-1972,https://www.fichacompleta.com.br/carros/ford/belina-1-3-1972,2026-06-15T16:45:04.514086,Ford Belina 1.3 1972,24 s,129 km/h,Corrente,Carburador,Natural,1289 cm³,4 em linha,Sierra,Único no bloco,77 mm,73 mm,Longitudinal,Dianteiro,"14,4 kg/cv","100,0 kg/kgfm","52,8 cv/litro",,"7,8:1",,,"7,6 kgfm/litro",,Mecânicos,2,Embreagem monodisco a seco,Manual,4,Dianteira,1430 mm,197 mm,1312 mm,1280 mm,4470 mm,2438 mm,1620 mm,980 kg,380 litros,57 litros,Não assistida,"10,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Tambor,Tambor,764 km,570 km,"13,4 km/l",10 km/l,,,68 cv,5200 rpm,3200 rpm,"9,8 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ford,Belina,belina,belina-1-4-1973,belina-1-4-1973,https://www.fichacompleta.com.br/carros/ford/belina-1-4-1973,2026-06-15T16:45:09.019006,Ford Belina 1.4 1973,"23,6 s",133 km/h,Corrente,Carburador,Natural,1372 cm³,4 em linha,Sierra,Único no bloco,77 mm,"75,3 mm",Longitudinal,Dianteiro,"13,3 kg/cv","86,0 kg/kgfm","54,7 cv/litro",75 cv,8:1,5400 rpm,3600 rpm,"8,5 kgfm/litro","11,6 kgfm",Mecânicos,2,Embreagem monodisco a seco,Manual,4,Dianteira,1430 mm,200 mm,1312 mm,1282 mm,4470 mm,2440 mm,1620 mm,998 kg,380 litros,57 litros,Não assistida,"11,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,764 km,570 km,"13,4 km/l",10 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ford,Belina,belina,belina-1-4-1974,belina-1-4-1974,https://www.fichacompleta.com.br/carros/ford/belina-1-4-1974,2026-06-15T16:45:12.788155,Ford Belina 1.4 1974,"23,6 s",133 km/h,Corrente,Carburador,Natural,1372 cm³,4 em linha,Sierra,Único no bloco,77 mm,"75,3 mm",Longitudinal,Dianteiro,"13,3 kg/cv","86,0 kg/kgfm","54,7 cv/litro",75 cv,8:1,,,"8,5 kgfm/litro","11,6 kgfm",Mecânicos,2,Embreagem monodisco a seco,Manual,4,Dianteira,1430 mm,200 mm,1312 mm,1282 mm,4470 mm,2440 mm,1620 mm,998 kg,380 litros,57 litros,Não assistida,"11,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,764 km,570 km,"13,4 km/l",10 km/l,4,"11,1 m",,5400 rpm,3600 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ford,Belina,belina,belina-ldo-1-4-1975,belina-ldo-1-4-1975,https://www.fichacompleta.com.br/carros/ford/belina-ldo-1-4-1975,2026-06-15T16:45:17.602123,Ford Belina LDO 1.4 1975,"23,6 s",133 km/h,Corrente,Carburador,Natural,1372 cm³,4 em linha,Sierra,Único no bloco,77 mm,"75,3 mm",Longitudinal,Dianteiro,"13,3 kg/cv","86,0 kg/kgfm","54,7 cv/litro",75 cv,8:1,5400 rpm,3600 rpm,"8,5 kgfm/litro","11,6 kgfm",Mecânicos,2,Embreagem monodisco a seco,Manual,4,Dianteira,1430 mm,200 mm,1312 mm,1282 mm,4470 mm,2440 mm,1620 mm,998 kg,380 litros,57 litros,Não assistida,"11,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,764 km,570 km,"13,4 km/l",10 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ford,Belina,belina,belina-1-4-1976,belina-1-4-1976,https://www.fichacompleta.com.br/carros/ford/belina-1-4-1976,2026-06-15T16:45:21.650672,Ford Belina 1.4 1976,"23,6 s",133 km/h,,Carburador,Natural,1372 cm³,4 em linha,CHT,"no bloco, corrente",77 mm,"75,3 mm",Longitudinal,Dianteiro,"13,3 kg/cv","86,0 kg/kgfm","54,7 cv/litro",75 cv a 5400 rpm,8:1,,,"8,5 kgfm/litro","11,6 kgfm a 3600 rpm",Mecânicos,2,Embreagem monodisco a seco,Manual,,Dianteira,1430 mm,200 mm,1312 mm,1282 mm,4470 mm,2440 mm,1620 mm,998 kg,380 litros,57 litros,Não assistida,,"Independente, braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,764 km,570 km,"13,4 km/l",10 km/l,4,"11,1 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ford,Belina,belina,belina-1-4-1977,belina-1-4-1977,https://www.fichacompleta.com.br/carros/ford/belina-1-4-1977,2026-06-15T16:45:26.160069,Ford Belina 1.4 1977,"23,6 s",133 km/h,Corrente,Carburador,Natural,,4 em linha,Cleon-Fonte,Único no bloco,77 mm,"75,3 mm",Longitudinal,Dianteiro,"13,31 kg/cv","86,0 kg/kgfm","54,7 cv/litro",75 cv,8:1,5400 rpm,3600 rpm,"8,5 kgfm/litro","11,6 kgfm",Mecânicos,2,Embreagem monodisco a seco,Manual,4,Dianteira,1430 mm,200 mm,1312 mm,1282 mm,4470 mm,2440 mm,1620 mm,998 kg,380 litros,57 litros,Não assistida,"11,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,764 km,570 km,"13,4 km/l",10 km/l,,,,,,,343 cm³,1372 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ford,Belina,belina,belina-ldo-1-4-1977,belina-ldo-1-4-1977,https://www.fichacompleta.com.br/carros/ford/belina-ldo-1-4-1977,2026-06-15T16:45:30.951407,Ford Belina LDO 1.4 1977,"23,6 s",133 km/h,Corrente,Carburador,Natural,,4 em linha,Cleon-Fonte,Único no bloco,77 mm,"75,3 mm",Longitudinal,Dianteiro,"13,31 kg/cv","86,0 kg/kgfm","54,7 cv/litro",75 cv,8:1,5400 rpm,3600 rpm,"8,5 kgfm/litro","11,6 kgfm",Mecânicos,2,Embreagem monodisco a seco,Manual,4,Dianteira,1430 mm,200 mm,1312 mm,1282 mm,4470 mm,2440 mm,1620 mm,998 kg,380 litros,57 litros,Não assistida,"11,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,764 km,570 km,"13,4 km/l",10 km/l,,,,,,,343 cm³,1372 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
