marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__rotacao_maxima,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__bitola_dianteira,geral__bitola_traseira,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__potencia,geral__torque,geral__regime_potencia_max,geral__regime_torque_max,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coeficiente_de_arrasto_cx,geral__carga_util,geral__acionam_do_comando,geral__variacao_do_comando,geral__altura_minima_do_solo,geral__coef_de_arrasto_cx,geral__estepe,geral__tuchos,geral__angulo_de_entrada,geral__angulo_de_saida,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__cilindrada_unitaria,geral__deslocamento,geral__viscosidade_do_oleo,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__reboque_com_freio,geral__reboque_sem_freio,geral__angulo_central,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__inclinacao_lateral_maxima,geral__rampa_maxima,geral__travessia_de_agua,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__capacidade_da_bateria,geral__potencia_combinada,geral__torque_combinado,geral__inclinacao_lateral_max,geral__veloc_max_modo_elet,geral__autonomia,geral__consumo_eletrico,geral__portamalas_8_lugares
hyundai,Accent,accent,accent-gls-1-5-1995,accent-gls-1-5-1995,https://www.fichacompleta.com.br/carros/hyundai/accent-gls-1-5-1995,2026-06-15T14:40:40.490381,Hyundai Accent GLS 1.5 1995,"12,7 s",174 km/h,Embreagem monodisco a seco,Manual,M5AF3,5,5,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,G4EK,Único no cabeçote,"83,5 mm","75,5 mm",Transversal,Dianteiro,"11,3 kg/cv","75,0 kg/kgfm","58,9 cv/litro",88 cv,10:1,6500 rpm,5600 rpm,3050 rpm,"8,9 kgfm/litro","13,3 kgfm",3,1394 mm,1420 mm,1410 mm,4117 mm,2400 mm,1620 mm,998 kg,308 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,Não informado,Não informado,"Indep., McPherson",Mola helicoidal,"Indep., braço arrastado",707 km,536 km,"15,7 km/l","11,9 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent,accent,accent-ls-1-3-1995,accent-ls-1-3-1995,https://www.fichacompleta.com.br/carros/hyundai/accent-ls-1-3-1995,2026-06-15T14:40:44.093904,Hyundai Accent LS 1.3 1995,"15,5 s",154 km/h,Embreagem monodisco a seco,Manual,M5AF3,5,,Dianteira,Carburador,Natural,1341 cm³,4 em linha,,Único no cabeçote,"83,5 mm","71,5 mm",Transversal,Dianteiro,"14,3 kg/cv","91,6 kg/kgfm","52,2 cv/litro",,"9,5:1",6500 rpm,5500 rpm,3500 rpm,"8,1 kgfm/litro",,3,1394 mm,1420 mm,1410 mm,4117 mm,2400 mm,1620 mm,998 kg,308 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,Não informado,,"Indep., McPherson",Mola helicoidal,"Indep., braço arrastado",630 km,495 km,14 km/l,11 km/l,70 cv,"10,9 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent,accent,accent-ls-1-5-1995,accent-ls-1-5-1995,https://www.fichacompleta.com.br/carros/hyundai/accent-ls-1-5-1995,2026-06-15T14:40:49.011915,Hyundai Accent LS 1.5 1995,"12,7 s",174 km/h,Embreagem monodisco a seco,Manual,M5AF3,5,,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,G4EK,Único no cabeçote,"83,5 mm","75,5 mm",Transversal,Dianteiro,"11,3 kg/cv","75,0 kg/kgfm","58,9 cv/litro",,10:1,6500 rpm,5600 rpm,3050 rpm,"8,9 kgfm/litro",,3,1394 mm,1420 mm,1410 mm,4117 mm,2400 mm,1620 mm,998 kg,308 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,Não informado,,"Indep., McPherson",Mola helicoidal,"Indep., braço arrastado",707 km,536 km,"15,7 km/l","11,9 km/l",88 cv,"13,3 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent,accent,accent-gls-1-5-1996,accent-gls-1-5-1996,https://www.fichacompleta.com.br/carros/hyundai/accent-gls-1-5-1996,2026-06-15T14:40:52.458637,Hyundai Accent GLS 1.5 1996,"12,7 s",174 km/h,Embreagem monodisco a seco,Manual,M5AF3,5,,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,G4EK,Único no cabeçote,"83,5 mm","75,5 mm",Transversal,Dianteiro,"11,3 kg/cv","75,0 kg/kgfm","58,9 cv/litro",88 cv,10:1,6500 rpm,,,"8,9 kgfm/litro","13,3 kgfm",3,1394 mm,1420 mm,1410 mm,4117 mm,2400 mm,1620 mm,998 kg,308 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,Não informado,,"Indep., McPherson",Mola helicoidal,"Indep., braço arrastado",707 km,536 km,"15,7 km/l","11,9 km/l",,,5600 rpm,3050 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent,accent,accent-gls-1-5-1997,accent-gls-1-5-1997,https://www.fichacompleta.com.br/carros/hyundai/accent-gls-1-5-1997,2026-06-15T14:40:57.219002,Hyundai Accent GLS 1.5 1997,"12,7 s",174 km/h,Embreagem monodisco a seco,Manual,M5AF3,5,,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,G4EK,Único no cabeçote,"83,5 mm","75,5 mm",Transversal,Dianteiro,"11,3 kg/cv","75,0 kg/kgfm","58,9 cv/litro",88 cv,10:1,6500 rpm,,,"8,9 kgfm/litro","13,3 kgfm",3,1394 mm,1420 mm,1410 mm,4117 mm,2400 mm,1620 mm,998 kg,308 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,Não informado,,"Indep., McPherson",Mola helicoidal,"Indep., braço arrastado",707 km,536 km,"15,7 km/l","11,9 km/l",,,5600 rpm,3050 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent,accent,accent-gls-1-5-at-1997,accent-gls-1-5-at-1997,https://www.fichacompleta.com.br/carros/hyundai/accent-gls-1-5-at-1997,2026-06-15T14:40:59.943260,Hyundai Accent GLS 1.5 AT 1997,"13,5 s",170 km/h,Conversor de torque,Automático,,4,,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,G4EK,Único no cabeçote,"83,5 mm","75,5 mm",Transversal,Dianteiro,"11,5 kg/cv","75,9 kg/kgfm","58,9 cv/litro",88 cv,10:1,6500 rpm,,,"8,9 kgfm/litro","13,3 kgfm",3,1394 mm,1420 mm,1410 mm,4117 mm,2400 mm,1620 mm,1010 kg,308 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,Não informado,,"Indep., McPherson",Mola helicoidal,"Indep., braço arrastado",675 km,495 km,15 km/l,11 km/l,,,5600 rpm,3050 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent,accent,accent-gls-1-5-1998,accent-gls-1-5-1998,https://www.fichacompleta.com.br/carros/hyundai/accent-gls-1-5-1998,2026-06-15T14:41:04.098700,Hyundai Accent GLS 1.5 1998,"11,7 s",175 km/h,Embreagem monodisco a seco,Manual,M5AF3,,5,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,G4EK,Único no cabeçote,,,Transversal,Dianteiro,"10,3 kg/cv","70,3 kg/kgfm","60,9 cv/litro",91 cv a 5500 rpm,10:1,,,,"8,9 kgfm/litro","13,3 kgfm a 3050 rpm",3,1394 mm,1420 mm,1410 mm,4117 mm,2400 mm,1620 mm,935 kg,305 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,,"9,7 m","Independente, McPherson",Mola helicoidal,"Independente, braço arrastado",720 km,540 km,16 km/l,12 km/l,,,,,"83,5 mm","75,5 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent,accent,accent-gls-1-5-1999,accent-gls-1-5-1999,https://www.fichacompleta.com.br/carros/hyundai/accent-gls-1-5-1999,2026-06-15T14:41:09.183085,Hyundai Accent GLS 1.5 1999,"11,7 s",175 km/h,Embreagem monodisco a seco,Manual,M5AF3,,5,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,G4EK,Único no cabeçote,,,Transversal,Dianteiro,"10,3 kg/cv","70,3 kg/kgfm","60,9 cv/litro",91 cv a 5500 rpm,10:1,,,,"8,9 kgfm/litro","13,3 kgfm a 3050 rpm",3,1394 mm,1420 mm,1410 mm,4117 mm,2400 mm,1620 mm,935 kg,305 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,,"9,7 m","Independente, McPherson",Mola helicoidal,"Independente, braço arrastado",720 km,540 km,16 km/l,12 km/l,,,,,"83,5 mm","75,5 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent,accent,accent-gls-1-5-2000,accent-gls-1-5-2000,https://www.fichacompleta.com.br/carros/hyundai/accent-gls-1-5-2000,2026-06-15T14:41:12.736297,Hyundai Accent GLS 1.5 2000,"10,5 s",180 km/h,Embreagem monodisco a seco,Manual,,,5,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,Alpha,Duplo no cabeçote,"83,5 mm","75,5 mm",Transversal,Dianteiro,"9,8 kg/cv","71,3 kg/kgfm","66,2 cv/litro",99 cv a 5800 rpm,"9,5:1",,,,"9,1 kgfm/litro","13,6 kgfm a 4000 rpm",4,1395 mm,1435 mm,1425 mm,4235 mm,2440 mm,1670 mm,970 kg,334 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,,"10,8 m","Independente, McPherson",Mola helicoidal,"Independente, braço arrastado",765 km,513 km,17 km/l,"11,4 km/l",,,,,,,"1,98 m²","0,634 m²","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent,accent,accent-gls-1-5-2001,accent-gls-1-5-2001,https://www.fichacompleta.com.br/carros/hyundai/accent-gls-1-5-2001,2026-06-15T14:41:16.080657,Hyundai Accent GLS 1.5 2001,"10,5 s",180 km/h,,Manual,,,5,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,Alpha,Duplo no cabeçote,,,Transversal,Dianteiro,"9,8 kg/cv","71,3 kg/kgfm","66,2 cv/litro",99 cv a 5800 rpm,"9,5:1",,,,"9,1 kgfm/litro","13,6 kgfm a 4000 rpm",4,1395 mm,1435 mm,1425 mm,4235 mm,2440 mm,1670 mm,970 kg,334 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,,"10,8 m","Independente, McPherson",Mola helicoidal,"Independente, braço arrastado",765 km,513 km,17 km/l,"11,4 km/l",,,,,"83,5 mm","75,5 mm","1,98 m²",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
