marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__rampa_maxima,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__altura_minima_do_solo,geral__quantidade_de_marchas,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__diametro_minimo_de_giro,geral__potencia,geral__torque,geral__cilindrada_unitaria,geral__deslocamento,geral__cacamba,geral__acionam_do_comando,geral__tuchos,geral__bitola_dianteira,geral__bitola_traseira,geral__reboque_com_freio,geral__reboque_sem_freio,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__rotacao_maxima,geral__variacao_do_comando,geral__coeficiente_de_arrasto_cx,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__estepe,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__frenagem_1000_kmh,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__potencia_combinada,geral__torque_combinado,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__autonomia_eletrica,geral__capacidade_da_bateria,geral__consumo_eletrico,geral__potencia_de_recarga,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__autonomia,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__travessia_de_agua,geral__veloc_max_modo_elet,geral__inclinacao_lateral_maxima,geral__inclinacao_lateral_max
mercedes-benz,180d,180d,180d-2-4-1994,180d-2-4-1994,https://www.fichacompleta.com.br/carros/mercedes-benz/180d-2-4-1994,2026-06-18T12:35:26.507373,Mercedes-benz 180d 2.4 1994,35 s,120 km/h,Embreagem monodisco a seco,Manual,"G1/D14-5/4,2",5,Dianteira,Injeção indireta,Natural,2399 cm³,4 em linha,OM-616,Único no cabeçote,"92,4 mm","90,9 mm",Longitudinal,Dianteiro,"26,5 kg/cv","142,1 kg/kgfm","31,3 cv/litro",75 cv,21:1,4400 rpm,2300 rpm,"5,8 kgfm/litro",14 kgfm,2,2072 mm,1510 kg,5066 mm,2675 mm,1845 mm,1990 kg,150 litros,"15,1 graus",70 litros,146 mm,Disco ventilado,Tambor,Hidráulica,"13,23 m","Indep., braços sobrepostos",Mola parabólica de lâmina única,Eixo rígido,770 km,560 km,11 km/l,8 km/l,181 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,180d,180d,180d-2-4-1995,180d-2-4-1995,https://www.fichacompleta.com.br/carros/mercedes-benz/180d-2-4-1995,2026-06-18T12:35:31.207149,Mercedes-benz 180d 2.4 1995,35 s,120 km/h,Embreagem monodisco a seco,Manual,"G1/D14-5/4,2",5,Dianteira,Injeção indireta,Natural,2399 cm³,4 em linha,OM-616,Único no cabeçote,"92,4 mm","90,9 mm",Longitudinal,Dianteiro,"26,5 kg/cv","142,1 kg/kgfm","31,3 cv/litro",75 cv,21:1,,,"5,8 kgfm/litro",14 kgfm,2,2072 mm,1510 kg,5066 mm,2675 mm,1845 mm,1990 kg,150 litros,"15,1 graus",70 litros,146 mm,Disco ventilado,Tambor,Hidráulica,"13,23 m","Indep., braços sobrepostos",Mola parabólica de lâmina única,Eixo rígido,770 km,560 km,11 km/l,8 km/l,181 mm,5,4400 rpm,2300 rpm,"13,23 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,180d,180d,180d-furgao-2-4-1995,180d-furgao-2-4-1995,https://www.fichacompleta.com.br/carros/mercedes-benz/180d-furgao-2-4-1995,2026-06-18T12:35:35.966169,Mercedes-benz 180d Furgão 2.4 1995,35 s,120 km/h,Embreagem monodisco a seco,Manual,"G1/D14-5/4,2",5,Dianteira,Injeção indireta,Natural,2399 cm³,4 em linha,OM-616,Único no cabeçote,"92,4 mm","90,9 mm",Longitudinal,Dianteiro,"25,3 kg/cv","135,7 kg/kgfm","31,3 cv/litro",,21:1,,,"5,8 kgfm/litro",,2,2028 mm,1600 kg,5066 mm,2675 mm,1845 mm,1900 kg,7590 litros,"15,1 graus",70 litros,146 mm,Disco ventilado,Tambor,Hidráulica,"13,23 m","Indep., braços sobrepostos",Mola parabólica de lâmina única,Eixo rígido,770 km,560 km,11 km/l,8 km/l,181 mm,,4400 rpm,2300 rpm,,75 cv,14 kgfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,180d,180d,180d-furgao-2-4-1995-diesel,180d-furgao-2-4-1995-diesel,https://www.fichacompleta.com.br/carros/mercedes-benz/180d-furgao-2-4-1995-diesel,2026-06-18T12:35:40.054935,Mercedes-benz 180d Furgão 2.4 1995,35 s,120 km/h,Embreagem monodisco a seco,Manual,"G1/D14-5/4,2",5,Dianteira,Injeção indireta,Natural,,4 em linha,OM-616,Único no cabeçote,"92,4 mm","90,9 mm",Longitudinal,Dianteiro,"25,33 kg/cv","135,7 kg/kgfm","31,3 cv/litro",75 cv,21:1,4400 rpm,2300 rpm,"5,8 kgfm/litro",14 kgfm,2,2326 mm,1600 kg,5066 mm,2675 mm,1845 mm,1900 kg,9480 litros,"15,1 graus",70 litros,146 mm,Disco ventilado,Tambor,Hidráulica,"13,23 m","Indep., braços sobrepostos",Mola parabólica de lâmina única,Eixo rígido,770 km,560 km,11 km/l,8 km/l,181 mm,,,,,,,600 cm³,2399 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,180d,180d,180d-pick-up-2-4-1995,180d-pick-up-2-4-1995,https://www.fichacompleta.com.br/carros/mercedes-benz/180d-pick-up-2-4-1995,2026-06-18T12:35:43.315326,Mercedes-benz 180d Pick-up 2.4 1995,35 s,120 km/h,Embreagem monodisco a seco,Manual,"G1/D14-5/4,2",5,Dianteira,Injeção indireta,Natural,2399 cm³,4 em linha,OM-616,Único no cabeçote,"92,4 mm","90,9 mm",Longitudinal,Dianteiro,"23,5 kg/cv","125,7 kg/kgfm","31,3 cv/litro",,21:1,,,"5,8 kgfm/litro",,2,2094 mm,1740 kg,5131 mm,2675 mm,1845 mm,1760 kg,,"15,1 graus",70 litros,146 mm,Disco ventilado,Tambor,Hidráulica,"13,23 m","Indep., braços sobrepostos",Mola parabólica de lâmina única,Eixo rígido,770 km,560 km,11 km/l,8 km/l,181 mm,,4400 rpm,2300 rpm,,75 cv,14 kgfm,,,1740 litros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,180d,180d,180d-2-4-1996,180d-2-4-1996,https://www.fichacompleta.com.br/carros/mercedes-benz/180d-2-4-1996,2026-06-18T12:35:46.473305,Mercedes-benz 180d 2.4 1996,35 s,120 km/h,Embreagem monodisco a seco,Manual,"G1/D14-5/4,2",5,Dianteira,Injeção indireta,Natural,2399 cm³,4 em linha,OM-616,Único no cabeçote,"92,4 mm","90,9 mm",Longitudinal,Dianteiro,"26,5 kg/cv","142,1 kg/kgfm","31,3 cv/litro",75 cv,21:1,4400 rpm,2300 rpm,"5,8 kgfm/litro",14 kgfm,2,2072 mm,1510 kg,5066 mm,2675 mm,1845 mm,1990 kg,150 litros,"15,1 graus",70 litros,146 mm,Disco ventilado,Tambor,Hidráulica,"13,23 m","Indep., braços sobrepostos",Mola parabólica de lâmina única,Eixo rígido,770 km,560 km,11 km/l,8 km/l,181 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,190,190,190-e-2-3-1990,190-e-2-3-1990,https://www.fichacompleta.com.br/carros/mercedes-benz/190-e-2-3-1990,2026-06-18T12:36:06.007115,Mercedes-benz 190 E 2.3 1990,"10,7 s",195 km/h,Conversor de torque,Automático,,4,Traseira,Injeção multiponto,Natural,,4 em linha,M102 E23,Único no cabeçote,"80,25 mm","95,5 mm",Longitudinal,Dianteiro,"9,12 kg/cv","60,8 kg/kgfm","59,2 cv/litro",136 cv,9:1,5200 rpm,3500 rpm,"8,9 kgfm/litro","20,4 kgfm",2,1375 mm,500 kg,4448 mm,2665 mm,1690 mm,1240 kg,410 litros,,55 litros,120 mm,Disco ventilado,Disco sólido,Hidráulica,"10,6 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",,,,,,,,,,,,575 cm³,2299 cm³,,Corrente,Hidráulicos,1441 mm,1421 mm,1500 kg,650 kg,"1,98 m²","0,653 m²","0,33",495 km,330 km,9 km/l,6 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,190,190,190-e-2-3-16-1990,190-e-2-3-16-1990,https://www.fichacompleta.com.br/carros/mercedes-benz/190-e-2-3-16-1990,2026-06-18T12:36:10.568211,Mercedes-benz 190 E 2.3 16 1990,"7,8 s",200 km/h,Embreagem monodisco a seco,Manual,,5,Traseira,Injeção multiponto,Natural,2299 cm³,4 em linha,,Duplo no cabeçote,"80,25 mm","95,5 mm",Longitudinal,Dianteiro,"6,6 kg/cv","51,3 kg/kgfm","80,5 cv/litro",185 cv,"10,5:1",,,"10,4 kgfm/litro",24 kgfm,4,1361 mm,500 kg,4430 mm,2665 mm,1706 mm,1230 kg,385 litros,,70 litros,113 mm,Disco ventilado,Disco sólido,Hidráulica,"11,2 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",,,,,,5,6200 rpm,4500 rpm,"11,2 m",,,,,,,,1446 mm,1429 mm,,,,,,910 km,546 km,13 km/l,"7,8 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,190,190,190-e-2-3-1991,190-e-2-3-1991,https://www.fichacompleta.com.br/carros/mercedes-benz/190-e-2-3-1991,2026-06-18T12:36:14.574691,Mercedes-benz 190 E 2.3 1991,"10,7 s",195 km/h,Conversor de torque,Automático,,4,Traseira,Injeção multiponto,Natural,,4 em linha,M102 E23,Único no cabeçote,"80,25 mm","95,5 mm",Longitudinal,Dianteiro,"9,12 kg/cv","60,8 kg/kgfm","59,2 cv/litro",136 cv,9:1,5200 rpm,3500 rpm,"8,9 kgfm/litro","20,4 kgfm",2,1375 mm,500 kg,4448 mm,2665 mm,1690 mm,1240 kg,410 litros,,55 litros,120 mm,Disco ventilado,Disco sólido,Hidráulica,"10,6 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",,,,,,,,,,,,575 cm³,2299 cm³,,Corrente,Hidráulicos,1441 mm,1421 mm,1500 kg,650 kg,"1,98 m²","0,653 m²","0,33",495 km,330 km,9 km/l,6 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,190,190,190-e-2-3-16-1991,190-e-2-3-16-1991,https://www.fichacompleta.com.br/carros/mercedes-benz/190-e-2-3-16-1991,2026-06-18T12:36:17.435887,Mercedes-benz 190 E 2.3 16 1991,"7,8 s",200 km/h,Embreagem monodisco a seco,Manual,,5,Traseira,Injeção multiponto,Natural,,4 em linha,M102 E23,Duplo no cabeçote,"80,25 mm","95,5 mm",Longitudinal,Dianteiro,"6,65 kg/cv","51,3 kg/kgfm","80,5 cv/litro",185 cv,"10,5:1",6200 rpm,4500 rpm,"10,4 kgfm/litro",24 kgfm,4,1361 mm,500 kg,4430 mm,2665 mm,1706 mm,1230 kg,385 litros,,70 litros,113 mm,Disco ventilado,Disco sólido,Hidráulica,"11,2 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",,,,,,,,,,,,575 cm³,2299 cm³,,Corrente,Hidráulicos,1446 mm,1429 mm,,,,,,910 km,546 km,13 km/l,"7,8 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
