marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__bitola_dianteira,geral__bitola_traseira,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__quantidade_de_marchas,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__diametro_minimo_de_giro,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__acionam_do_comando,geral__variacao_do_comando,geral__estepe,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__carga_util,geral__rotacao_maxima,geral__angulo_de_entrada,geral__angulo_de_saida,geral__altura_minima_do_solo,geral__autonomia,geral__capacidade_da_bateria,geral__potencia,geral__potencia_de_recarga,geral__torque,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__potencia_combinada,geral__torque_combinado,geral__cilindrada_unitaria,geral__deslocamento,geral__cacamba,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__inclinacao_lateral_max,geral__inclinacao_lateral_maxima,geral__rampa_maxima,geral__reboque_sem_freio,geral__angulo_central,geral__reboque_com_freio,geral__viscosidade_do_oleo,geral__tuchos,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__travessia_de_agua,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__consumo_eletrico,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares
nissan,300zx,300zx,300zx-3-0-v6-biturbo-1991,300zx-3-0-v6-biturbo-1991,https://www.fichacompleta.com.br/carros/nissan/300zx-3-0-v6-biturbo-1991,2026-06-15T15:32:33.636748,Nissan 300zx 3.0 V6 biturbo 1991,"6,1 s",225 km/h,Embreagem monodisco a seco,Manual,RS5R30A,5,Traseira,Injeção multiponto,Turbocompressor,2960 cm³,6 em V,VG30DETT,Duplo no cabeçote,83 mm,87 mm,Longitudinal,Dianteiro,"5,4 kg/cv","25,5 kg/kgfm","101,4 cv/litro",300 cv,"8,8:1",6400 rpm,3600 rpm,"21,4 kgfm/litro","63,2 kgfm",4,1249 mm,1496 mm,1554 mm,4305 mm,2451 mm,1790 mm,1610 kg,324 litros,68 litros,110 mm,Disco ventilado,Disco ventilado,Hidráulica,"10,9 m","Indep., multibraço",Mola helicoidal,"Indep., multibraço",476 km,272 km,7 km/l,4 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,300zx,300zx,300zx-3-0-v6-biturbo-1992,300zx-3-0-v6-biturbo-1992,https://www.fichacompleta.com.br/carros/nissan/300zx-3-0-v6-biturbo-1992,2026-06-15T15:32:36.333523,Nissan 300zx 3.0 V6 biturbo 1992,"6,1 s",225 km/h,Embreagem monodisco a seco,Manual,RS5R30A,5,Traseira,Injeção multiponto,Turbocompressor,2960 cm³,6 em V,VG30DETT,Duplo no cabeçote,83 mm,87 mm,Longitudinal,Dianteiro,"5,4 kg/cv","25,5 kg/kgfm","101,4 cv/litro",300 cv,"8,8:1",,,"21,4 kgfm/litro","63,2 kgfm",4,1249 mm,1496 mm,1554 mm,4305 mm,2451 mm,1790 mm,1610 kg,324 litros,68 litros,110 mm,Disco ventilado,Disco ventilado,Hidráulica,"10,9 m","Indep., multibraço",Mola helicoidal,"Indep., multibraço",476 km,272 km,7 km/l,4 km/l,5,6400 rpm,3600 rpm,"10,9 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,300zx,300zx,300zx-3-0-v6-biturbo-1993,300zx-3-0-v6-biturbo-1993,https://www.fichacompleta.com.br/carros/nissan/300zx-3-0-v6-biturbo-1993,2026-06-15T15:32:38.750686,Nissan 300zx 3.0 V6 biturbo 1993,"6,1 s",225 km/h,Embreagem monodisco a seco,Manual,RS5R30A,,Traseira,Injeção multiponto,Turbocompressor,2960 cm³,6 em V,VG30DETT,Duplo no cabeçote,,,Longitudinal,Dianteiro,"5,4 kg/cv","25,5 kg/kgfm","101,4 cv/litro",300 cv a 6400 rpm,"8,8:1",,,"21,4 kgfm/litro","63,2 kgfm a 3600 rpm",4,1249 mm,1496 mm,1554 mm,4305 mm,2451 mm,1790 mm,1610 kg,324 litros,68 litros,110 mm,225/50 R16,Disco ventilado,Hidráulica,,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",476 km,272 km,7 km/l,4 km/l,5,,,"10,9 m",83 mm,87 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,300zx,300zx,300zx-3-0-v6-biturbo-1994,300zx-3-0-v6-biturbo-1994,https://www.fichacompleta.com.br/carros/nissan/300zx-3-0-v6-biturbo-1994,2026-06-15T15:32:41.990273,Nissan 300zx 3.0 V6 biturbo 1994,"6,1 s",225 km/h,Embreagem monodisco a seco,Manual,RS5R30A,5,Traseira,Injeção multiponto,Turbocompressor,2960 cm³,6 em V,VG30DETT,Duplo no cabeçote,83 mm,87 mm,Longitudinal,Dianteiro,"5,4 kg/cv","25,5 kg/kgfm","101,4 cv/litro",300 cv,"8,8:1",6400 rpm,3600 rpm,"21,4 kgfm/litro","63,2 kgfm",4,1249 mm,1496 mm,1554 mm,4305 mm,2451 mm,1790 mm,1610 kg,324 litros,68 litros,110 mm,Disco ventilado,Disco ventilado,Hidráulica,"10,9 m","Indep., multibraço",Mola helicoidal,"Indep., multibraço",476 km,272 km,7 km/l,4 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,350z,350z,350z-3-5-v6-2004,350z-3-5-v6-2004,https://www.fichacompleta.com.br/carros/nissan/350z-3-5-v6-2004,2026-06-15T15:33:46.167908,Nissan 350z 3.5 V6 2004,"5,9 s",250 km/h,Embreagem monodisco a seco,Manual,FS6R31A,6,Traseira,Injeção multiponto,Natural,3498 cm³,6 em V,VQ35DE,Duplo no cabeçote,"81,4 mm","95,5 mm",Longitudinal,Dianteiro,"5,2 kg/cv","39,5 kg/kgfm","80,0 cv/litro",280 cv,"10,3:1",,,"10,6 kgfm/litro",37 kgfm,4,1325 mm,1535 mm,1540 mm,4315 mm,2650 mm,1815 mm,1463 kg,192 litros,80 litros,110 mm,Disco ventilado,Disco ventilado,Hidráulica,"11,77 m","Indep., braços sobrepostos",Mola helicoidal,"Indep., multibraço",552 km,416 km,"6,9 km/l","5,2 km/l",6,6200 rpm,4800 rpm,"11,77 m",,,Corrente,Admissão,145/80 R17,"2,04 m²","0,592 m²","0,29","0,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,350z,350z,350z-3-5-v6-2005,350z-3-5-v6-2005,https://www.fichacompleta.com.br/carros/nissan/350z-3-5-v6-2005,2026-06-15T15:33:49.814048,Nissan 350z 3.5 V6 2005,"5,9 s",250 km/h,Embreagem monodisco a seco,Manual,FS6R31A,,Traseira,Injeção multiponto,Natural,3498 cm³,6 em V,VQ35DE,"Duplo no cabeçote, corrente",,,Longitudinal,Dianteiro,"5,2 kg/cv","39,5 kg/kgfm","80,0 cv/litro",280 cv a 6200 rpm,"10,3:1",,,"10,6 kgfm/litro",37 kgfm a 4800 rpm,4,1320 mm,1535 mm,1539 mm,4315 mm,2649 mm,1815 mm,1463 kg,192 litros,80 litros,110 mm,225/45 R18,Disco ventilado,Hidráulica,,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",552 km,416 km,"6,9 km/l","5,2 km/l",6,,,"11,77 m","81,4 mm","95,5 mm",,Admissão,,"2,04 m²",,,"0,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,350z,350z,350z-3-5-v6-2006,350z-3-5-v6-2006,https://www.fichacompleta.com.br/carros/nissan/350z-3-5-v6-2006,2026-06-15T15:33:53.316867,Nissan 350z 3.5 V6 2006,"5,9 s",250 km/h,Embreagem monodisco a seco,Manual,FS6R31A,,Traseira,Injeção multiponto,Natural,3498 cm³,6 em V,VQ35DE,"Duplo no cabeçote, corrente","81,4 mm","95,5 mm",Longitudinal,Dianteiro,"5,2 kg/cv","39,5 kg/kgfm","80,0 cv/litro",280 cv a 6200 rpm,"10,3:1",,,"10,6 kgfm/litro",37 kgfm a 4800 rpm,4,1320 mm,1535 mm,1539 mm,4315 mm,2649 mm,1815 mm,1463 kg,192 litros,80 litros,110 mm,Disco ventilado,Disco ventilado,Hidráulica,,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",552 km,416 km,"6,9 km/l","5,2 km/l",6,,,"11,77 m",,,,Admissão,,"2,04 m²","0,592 m²",,"0,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,350z,350z,350z-3-5-v6-2008,350z-3-5-v6-2008,https://www.fichacompleta.com.br/carros/nissan/350z-3-5-v6-2008,2026-06-15T15:33:56.568145,Nissan 350z 3.5 V6 2008,"5,7 s",250 km/h,Embreagem monodisco a seco,Manual,FS6R31A,,Traseira,Injeção multiponto,Natural,3498 cm³,6 em V,VQ35HR,"Duplo no cabeçote, corrente","81,4 mm","95,5 mm",Longitudinal,Dianteiro,"4,9 kg/cv","41,9 kg/kgfm","89,2 cv/litro",312 cv a 6800 rpm,"10,3:1",,,"10,4 kgfm/litro","36,5 kgfm a 4800 rpm",4,1318 mm,1535 mm,1540 mm,4303 mm,2650 mm,1815 mm,1530 kg,235 litros,80 litros,110 mm,Disco ventilado,Disco ventilado,Hidráulica,,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",552 km,416 km,"6,9 km/l","5,2 km/l",6,,,"11,3 m",,,,Admissão,,"2,03 m²","0,589 m²",,"0,29",290 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,370z,370z,370z-3-7-v6-2010,370z-3-7-v6-2010,https://www.fichacompleta.com.br/carros/nissan/370z-3-7-v6-2010,2026-06-15T15:34:13.943381,Nissan 370z 3.7 V6 2010,"5,3 s",250 km/h,Embreagem monodisco a seco,Manual,FS6R31A,6,Traseira,Injeção multiponto,Natural,3696 cm³,6 em V,VQ37VHR,Duplo no cabeçote,86 mm,"95,5 mm",Longitudinal,Dianteiro,"4,6 kg/cv","40,4 kg/kgfm","88,7 cv/litro",328 cv,11:1,,,"10,0 kgfm/litro",37 kgfm,4,1315 mm,1550 mm,1595 mm,4250 mm,2550 mm,1845 mm,1496 kg,235 litros,72 litros,110 mm,Disco ventilado,Disco ventilado,Hidráulica,10 m,"Indep., braços sobrepostos",Mola helicoidal,"Indep., multibraço",569 km,396 km,"7,9 km/l","5,5 km/l",6,7000 rpm,5200 rpm,10 m,,,,Admissão,,"2,06 m²","0,618 m²","0,3","0,3",304 kg,7500 rpm,"14,1 graus",19 graus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,370z,370z,370z-3-7-v6-2012,370z-3-7-v6-2012,https://www.fichacompleta.com.br/carros/nissan/370z-3-7-v6-2012,2026-06-15T15:34:17.622851,Nissan 370z 3.7 V6 2012,"5,3 s",250 km/h,Embreagem monodisco a seco,Manual,FS6R31A,,Traseira,Injeção multiponto,Natural,3696 cm³,6 em V,VQ37VHR,Duplo no cabeçote,86 mm,"95,5 mm",Longitudinal,Dianteiro,"4,6 kg/cv","40,4 kg/kgfm","88,7 cv/litro",328 cv a 7000 rpm,11:1,,,"10,0 kgfm/litro",37 kgfm a 5200 rpm,4,1315 mm,1550 mm,1595 mm,4250 mm,2550 mm,1845 mm,1496 kg,235 litros,72 litros,110 mm,Disco ventilado,Disco ventilado,Hidráulica,,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",569 km,396 km,"7,9 km/l","5,5 km/l",6,,,10 m,,,,Admissão,,"2,06 m²","0,618 m²",,"0,3",304 kg,7500 rpm,"14,1 graus",19 graus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,370z,370z,370z-3-7-v6-2014,370z-3-7-v6-2014,https://www.fichacompleta.com.br/carros/nissan/370z-3-7-v6-2014,2026-06-15T15:34:22.403926,Nissan 370z 3.7 V6 2014,"5,3 s",250 km/h,Embreagem monodisco a seco,Manual,FS6R31A,,Traseira,Injeção multiponto,Natural,3696 cm³,6 em V,VQ37VHR,Duplo no cabeçote,86 mm,"95,5 mm",Longitudinal,Dianteiro,"4,6 kg/cv","40,4 kg/kgfm","88,7 cv/litro",328 cv a 7000 rpm,11:1,,,"10,0 kgfm/litro",37 kgfm a 5200 rpm,4,1315 mm,1550 mm,1595 mm,4250 mm,2550 mm,1845 mm,1496 kg,235 litros,72 litros,110 mm,Disco ventilado,Disco ventilado,Hidráulica,,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",569 km,396 km,"7,9 km/l","5,5 km/l",6,,,10 m,,,,Admissão,,"2,06 m²","0,618 m²",,"0,3",304 kg,7500 rpm,"14,1 graus",19 graus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,Ariya,ariya,ariya-engage-2025,ariya-engage-2025,https://www.fichacompleta.com.br/carros/nissan/ariya-engage-2025,2026-06-15T15:35:11.310875,Nissan Ariya Engage 2025,"8,2 s",160 km/h,,Automático,,1,Dianteira,,,,,,,,,,,"8,81 kg/cv","62,75 kg/kgfm",,,,,,,,,1665 mm,1585 mm,1590 mm,4595 mm,2775 mm,1850 mm,1920 kg,460 litros,,115 mm,Disco ventilado,Disco ventilado,Elétrica,"10,8 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",,,,,,,,,,,,,Kit de reparo,"2,62 m²","0,778 m²","0,297",,,,,,180 mm,348 km,66 kWh,218 cv (dianteiro),130 kW (DC),"30,6 kgfm (dianteiro)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
