marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__marchas,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__bitola_dianteira,geral__bitola_traseira,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__assistencia,geral__diametro_de_giro,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__acionam_do_comando,geral__cilindrada_unitaria,geral__codigo_do_motor,geral__deslocamento,geral__regime_potencia_max,geral__regime_torque_max,geral__tuchos,geral__altura_minima_do_solo,geral__potencia,geral__torque,geral__variacao_do_comando,geral__codigo_do_cambio,geral__rotacao_maxima,geral__estepe,geral__reboque_com_freio,geral__reboque_sem_freio,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__angulo_de_entrada,geral__angulo_de_saida,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__frenagem_1000_kmh,geral__angulo_central,geral__autonomia,geral__capacidade_da_bateria,geral__consumo_eletrico,geral__potencia_combinada,geral__torque_combinado,geral__potencia_de_recarga,geral__rampa_maxima,geral__travessia_de_agua,geral__autonomia_eletrica,geral__veloc_max_modo_elet,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d
audi,100,100,100-2-8-v6-quattro-1993,100-2-8-v6-quattro-1993,https://www.fichacompleta.com.br/carros/audi/100-2-8-v6-quattro-1993,2026-06-18T17:14:05.593789,Audi 100 2.8 V6 Quattro 1993,"9,2 s",216 km/h,Conversor de torque,Automático,4,4,Integral permanente,Injeção multiponto,Natural,2771 cm³,6 em V,Único no cabeçote,"86,4 mm","82,5 mm",Longitudinal,Dianteiro,"8,6 kg/cv","60,0 kg/kgfm","62,8 cv/litro",174 cv,"10,3:1",5500 rpm,3000 rpm,"9,0 kgfm/litro",25 kgfm,2,1437 mm,1526 mm,1527 mm,550 kg,4790 mm,2692 mm,1777 mm,1500 kg,510 litros,80 litros,127 mm,Disco ventilado,Disco sólido,"2,17 m²","0,694 m²","0,32","0,32",Hidráulica,"11,4 m","11,4 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",624 km,488 km,"7,8 km/l","6,1 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,100,100,100-2-8-v6-quattro-1994,100-2-8-v6-quattro-1994,https://www.fichacompleta.com.br/carros/audi/100-2-8-v6-quattro-1994,2026-06-18T17:14:08.454918,Audi 100 2.8 V6 Quattro 1994,"9,2 s",216 km/h,Conversor de torque,Automático,,4,Integral permanente,Injeção multiponto,Natural,2771 cm³,6 em V,Único no cabeçote,,,Longitudinal,Dianteiro,"8,6 kg/cv","60,0 kg/kgfm","62,8 cv/litro",174 cv a 5500 rpm,"10,3:1",,,"9,0 kgfm/litro",25 kgfm a 3000 rpm,2,1437 mm,1526 mm,1527 mm,550 kg,4790 mm,2692 mm,1777 mm,1500 kg,510 litros,80 litros,127 mm,Disco ventilado,Disco sólido,"2,17 m²","0,694 m²",,"0,32",Hidráulica,,"11,4 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",624 km,488 km,"7,8 km/l","6,1 km/l","86,4 mm","82,5 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,100,100,100-2-8-v6-quattro-1995,100-2-8-v6-quattro-1995,https://www.fichacompleta.com.br/carros/audi/100-2-8-v6-quattro-1995,2026-06-18T17:14:12.325503,Audi 100 2.8 V6 Quattro 1995,"9,2 s",216 km/h,Conversor de torque,Automático,4,,Integral permanente,Injeção multiponto,Natural,,6 em V,Único no cabeçote,"86,4 mm","82,5 mm",Longitudinal,Dianteiro,"8,62 kg/cv","60,0 kg/kgfm","62,8 cv/litro",174 cv,"10,3:1",,,"9,0 kgfm/litro",25 kgfm,2,1437 mm,1526 mm,1527 mm,550 kg,4790 mm,2692 mm,1777 mm,1500 kg,510 litros,80 litros,127 mm,Disco ventilado,Disco sólido,"2,17 m²","0,694 m²","0,32",,Hidráulica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",624 km,488 km,"7,8 km/l","6,1 km/l",,,Correia dentada,462 cm³,EA835,2771 cm³,5500 rpm,3000 rpm,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80,80,80-2-0-1994,80-2-0-1994,https://www.fichacompleta.com.br/carros/audi/80-2-0-1994,2026-06-18T17:15:03.650762,Audi 80 2.0 1994,"12,9 s",187 km/h,Embreagem monodisco a seco,Manual,5,5,Dianteira,Injeção multiponto,Natural,1984 cm³,4 em linha,Único no cabeçote,"92,8 mm","82,5 mm",Longitudinal,Dianteiro,"10,7 kg/cv","73,2 kg/kgfm","58,0 cv/litro",115 cv,"10,4:1",5400 rpm,3200 rpm,"8,5 kgfm/litro","16,8 kgfm",2,1406 mm,1410 mm,1430 mm,460 kg,4482 mm,2545 mm,1695 mm,1230 kg,425 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,609 m²","0,3","0,3",Hidráulica,"11,2 m","11,2 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",680 km,568 km,"10,3 km/l","8,6 km/l",,,,,EA827,,,,,110 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80,80,80-2-6-v6-1994,80-2-6-v6-1994,https://www.fichacompleta.com.br/carros/audi/80-2-6-v6-1994,2026-06-18T17:15:06.154604,Audi 80 2.6 V6 1994,"10,9 s",208 km/h,Conversor de torque,Automático,,4,Dianteira,Injeção multiponto,Natural,2598 cm³,6 em V,Único no cabeçote,81 mm,"82,5 mm",Longitudinal,Dianteiro,"8,9 kg/cv","58,1 kg/kgfm","57,7 cv/litro",150 cv a 5750 rpm,10:1,,,"8,8 kgfm/litro","22,9 kgfm a 3200 rpm",2,1406 mm,1448 mm,1471 mm,460 kg,4482 mm,2612 mm,1695 mm,1330 kg,430 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,609 m²",,"0,3",Hidráulica,,"11,2 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",587 km,429 km,"8,9 km/l","6,5 km/l",,,,,,,,,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80,80,80-2-8-v6-1994,80-2-8-v6-1994,https://www.fichacompleta.com.br/carros/audi/80-2-8-v6-1994,2026-06-18T17:15:10.163542,Audi 80 2.8 V6 1994,"9,6 s",218 km/h,Conversor de torque,Automático,,4,Dianteira,Injeção multiponto,Natural,2771 cm³,6 em V,Único no cabeçote,"86,4 mm","82,5 mm",Longitudinal,Dianteiro,"7,6 kg/cv","53,2 kg/kgfm","62,8 cv/litro",174 cv a 5500 rpm,"10,3:1",,,"9,0 kgfm/litro",25 kgfm a 3000 rpm,2,1406 mm,1448 mm,1471 mm,460 kg,4482 mm,2612 mm,1695 mm,1330 kg,430 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,609 m²",,"0,3",Hidráulica,,"11,2 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",587 km,422 km,"8,9 km/l","6,4 km/l",,,,,,,,,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80,80,80-2-0-1995,80-2-0-1995,https://www.fichacompleta.com.br/carros/audi/80-2-0-1995,2026-06-18T17:15:12.874533,Audi 80 2.0 1995,"12,9 s",187 km/h,Embreagem monodisco a seco,Manual,5,,Dianteira,Injeção multiponto,Natural,,4 em linha,Único no cabeçote,"92,8 mm","82,5 mm",Longitudinal,Dianteiro,"10,70 kg/cv","73,2 kg/kgfm","58,0 cv/litro",115 cv,"10,4:1",,,"8,5 kgfm/litro","16,8 kgfm",2,1406 mm,1410 mm,1430 mm,460 kg,4482 mm,2545 mm,1695 mm,1230 kg,425 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,609 m²","0,3",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",680 km,568 km,"10,3 km/l","8,6 km/l",,,,496 cm³,EA827,1984 cm³,5400 rpm,3200 rpm,,110 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80,80,80-2-6-v6-1995,80-2-6-v6-1995,https://www.fichacompleta.com.br/carros/audi/80-2-6-v6-1995,2026-06-18T17:15:16.873296,Audi 80 2.6 V6 1995,"10,9 s",208 km/h,Conversor de torque,Automático,4,,Dianteira,Injeção multiponto,Natural,,6 em V,Único no cabeçote,81 mm,"82,5 mm",Longitudinal,Dianteiro,"8,87 kg/cv","58,1 kg/kgfm","57,7 cv/litro",150 cv,10:1,,,"8,8 kgfm/litro","22,9 kgfm",2,1406 mm,1448 mm,1471 mm,460 kg,4482 mm,2612 mm,1695 mm,1330 kg,430 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,609 m²","0,3",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",587 km,429 km,"8,9 km/l","6,5 km/l",,,,433 cm³,,2598 cm³,5750 rpm,3200 rpm,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80,80,80-2-8-v6-1995,80-2-8-v6-1995,https://www.fichacompleta.com.br/carros/audi/80-2-8-v6-1995,2026-06-18T17:15:20.358420,Audi 80 2.8 V6 1995,"9,6 s",218 km/h,Conversor de torque,Automático,4,,Dianteira,Injeção multiponto,Natural,,6 em V,Único no cabeçote,"86,4 mm","82,5 mm",Longitudinal,Dianteiro,"7,64 kg/cv","53,2 kg/kgfm","62,8 cv/litro",174 cv,"10,3:1",,,"9,0 kgfm/litro",25 kgfm,2,1406 mm,1448 mm,1471 mm,460 kg,4482 mm,2612 mm,1695 mm,1330 kg,430 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,609 m²","0,3",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",587 km,422 km,"8,9 km/l","6,4 km/l",,,,462 cm³,,2771 cm³,5500 rpm,3000 rpm,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80 Avant,80-avant,80-avant-2-0-1994,80-avant-2-0-1994,https://www.fichacompleta.com.br/carros/audi/80-avant-2-0-1994,2026-06-18T17:15:37.959792,Audi 80 Avant 2.0 1994,"12,2 s",186 km/h,Embreagem monodisco a seco,Manual,5,,Dianteira,Injeção multiponto,Natural,,4 em linha,Único no cabeçote,"92,8 mm","82,5 mm",Longitudinal,Dianteiro,"11,04 kg/cv","75,6 kg/kgfm","58,0 cv/litro",115 cv,"10,4:1",,,"8,5 kgfm/litro","16,8 kgfm",2,1408 mm,1448 mm,1471 mm,550 kg,4482 mm,2612 mm,1695 mm,1270 kg,370 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,690 m²","0,34",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",680 km,568 km,"10,3 km/l","8,6 km/l",,,,496 cm³,EA827,1984 cm³,5400 rpm,3200 rpm,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
