marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__rotacao_maxima,geral__torque_especifico,geral__torque_maximo,geral__tuchos,geral__valvulas_por_cilindro,geral__altura,geral__angulo_de_entrada,geral__angulo_de_saida,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coeficiente_de_arrasto_cx,geral__assistencia,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_a,geral__rodoviaria_g,geral__urbana_a,geral__urbana_g,geral__rodoviario_a,geral__rodoviario_g,geral__urbano_a,geral__urbano_g,geral__altura_minima_do_solo,geral__acionam_do_comando,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque_maximo_a,geral__torque_maximo_g,geral__marchas,geral__bitola_dianteira,geral__bitola_traseira,geral__reboque_sem_freio,geral__estepe,geral__coef_de_arrasto_cx,geral__diametro_de_giro,geral__variacao_do_comando,geral__cilindrada_unitaria,geral__deslocamento,geral__regime_potencia_max,geral__regime_torque_max,geral__viscosidade_do_oleo,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__potencia,geral__torque,geral__reboque_com_freio,erro,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__angulo_central,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__autonomia,geral__capacidade_da_bateria,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d
citroen,Aircross,aircross,aircross-exclusive-1-6-2011,aircross-exclusive-1-6-2011,https://www.fichacompleta.com.br/carros/citroen/aircross-exclusive-1-6-2011,2026-06-17T22:00:48.815373,Citroen Aircross Exclusive 1.6 2011,"13,4 s",171 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"11,6 kg/cv","83,0 kg/kgfm","71,2 cv/litro",113 cv (A) 110 cv (G) a 5750 rpm,11:1,6500 rpm,"10,0 kgfm/litro","15,8 kgfm (A) 14,5 kgfm (G) a 4000 rpm",Hidráulicos,4,1697 mm,21 graus,23 graus,425 kg,4279 mm,2540 mm,1723 mm,1312 kg,403 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,472 m²","0,890 m²","0,36",Hidráulica,"11,1 m","Independente, McPherson",Mola helicoidal,Eixo de torção,413 km,578 km,347 km,484 km,"7,5 km/l","10,5 km/l","6,3 km/l","8,8 km/l",230 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citroen,Aircross,aircross,aircross-exclusive-1-6-at-2011,aircross-exclusive-1-6-at-2011,https://www.fichacompleta.com.br/carros/citroen/aircross-exclusive-1-6-at-2011,2026-06-17T22:00:52.750821,Citroen Aircross Exclusive 1.6 AT 2011,"13,8 s",168 km/h,Conversor de torque,Automático,AT8,4,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"11,8 kg/cv","84,2 kg/kgfm","71,2 cv/litro",113 cv (A) 110 cv (G) a 5750 rpm,11:1,6500 rpm,"10,0 kgfm/litro","15,8 kgfm (A) 14,5 kgfm (G) a 4000 rpm",Hidráulicos,4,1697 mm,21 graus,23 graus,425 kg,4279 mm,2540 mm,1723 mm,1330 kg,403 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,472 m²","0,890 m²","0,36",Hidráulica,"11,1 m","Independente, McPherson",Mola helicoidal,Eixo de torção,407 km,572 km,319 km,462 km,"7,4 km/l","10,4 km/l","5,8 km/l","8,4 km/l",230 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citroen,Aircross,aircross,aircross-gl-1-6-2011,aircross-gl-1-6-2011,https://www.fichacompleta.com.br/carros/citroen/aircross-gl-1-6-2011,2026-06-17T22:00:57.625913,Citroen Aircross GL 1.6 2011,"13,4 s",171 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"11,6 kg/cv","83,0 kg/kgfm","71,2 cv/litro",113 cv (A) 110 cv (G) a 5750 rpm,11:1,6500 rpm,"10,0 kgfm/litro","15,8 kgfm (A) 14,5 kgfm (G) a 4000 rpm",Hidráulicos,4,1697 mm,21 graus,23 graus,425 kg,4279 mm,2540 mm,1723 mm,1312 kg,403 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,472 m²","0,890 m²","0,36",Hidráulica,"11,1 m","Independente, McPherson",Mola helicoidal,Eixo de torção,413 km,578 km,347 km,484 km,"7,5 km/l","10,5 km/l","6,3 km/l","8,8 km/l",230 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citroen,Aircross,aircross,aircross-glx-1-6-2011,aircross-glx-1-6-2011,https://www.fichacompleta.com.br/carros/citroen/aircross-glx-1-6-2011,2026-06-17T22:01:00.360634,Citroen Aircross GLX 1.6 2011,"13,4 s",171 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,Duplo no cabeçote,82 mm,"78,5 mm",Transversal,Dianteiro,"11,6 kg/cv","83,0 kg/kgfm","71,2 cv/litro",113 cv (A) 110 cv (G) a 5750 rpm,11:1,6500 rpm,"10,0 kgfm/litro","15,8 kgfm (A) 14,5 kgfm (G) a 4000 rpm",Hidráulicos,4,1697 mm,21 graus,23 graus,425 kg,4279 mm,2540 mm,1723 mm,1312 kg,403 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,472 m²","0,890 m²","0,36",Hidráulica,"11,1 m","Indep., McPherson",Mola helicoidal,Eixo de torção,413 km,578 km,347 km,484 km,"7,5 km/l","10,5 km/l","6,3 km/l","8,8 km/l",230 mm,Correia dentada,113 cv,110 cv,5750 rpm,4000 rpm,"15,8 kgfm","14,5 kgfm",5,1496 mm,1488 mm,400 kg,185/60 R15,"0,36","11,1 m",,,,,,,,,,,,,,,,,,,,,,,,,,,
citroen,Aircross,aircross,aircross-glx-1-6-at-2011,aircross-glx-1-6-at-2011,https://www.fichacompleta.com.br/carros/citroen/aircross-glx-1-6-at-2011,2026-06-17T22:01:03.325915,Citroen Aircross GLX 1.6 AT 2011,"13,8 s",168 km/h,Conversor de torque,Automático,AT8,4,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"11,8 kg/cv","84,2 kg/kgfm","71,2 cv/litro",113 cv (A) 110 cv (G) a 5750 rpm,11:1,6500 rpm,"10,0 kgfm/litro","15,8 kgfm (A) 14,5 kgfm (G) a 4000 rpm",Hidráulicos,4,1697 mm,21 graus,23 graus,425 kg,4279 mm,2540 mm,1723 mm,1330 kg,403 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,472 m²","0,890 m²","0,36",Hidráulica,"11,1 m","Independente, McPherson",Mola helicoidal,Eixo de torção,407 km,572 km,319 km,462 km,"7,4 km/l","10,4 km/l","5,8 km/l","8,4 km/l",230 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citroen,Aircross,aircross,aircross-exclusive-1-6-2012,aircross-exclusive-1-6-2012,https://www.fichacompleta.com.br/carros/citroen/aircross-exclusive-1-6-2012,2026-06-17T22:01:07.989942,Citroen Aircross Exclusive 1.6 2012,"13,4 s",171 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"11,6 kg/cv","83,0 kg/kgfm","71,2 cv/litro",113 cv (A) 110 cv (G) a 5750 rpm,11:1,6500 rpm,"10,0 kgfm/litro","15,8 kgfm (A) 14,5 kgfm (G) a 4000 rpm",Hidráulicos,4,1697 mm,21 graus,23 graus,425 kg,4279 mm,2540 mm,1723 mm,1312 kg,403 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,472 m²","0,890 m²","0,36",Hidráulica,"11,1 m","Independente, McPherson",Mola helicoidal,Eixo de torção,413 km,578 km,347 km,484 km,"7,5 km/l","10,5 km/l","6,3 km/l","8,8 km/l",230 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citroen,Aircross,aircross,aircross-exclusive-1-6-at-2012,aircross-exclusive-1-6-at-2012,https://www.fichacompleta.com.br/carros/citroen/aircross-exclusive-1-6-at-2012,2026-06-17T22:01:11.837513,Citroen Aircross Exclusive 1.6 AT 2012,"13,8 s",168 km/h,Conversor de torque,Automático,AT8,4,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"11,8 kg/cv","84,2 kg/kgfm","71,2 cv/litro",113 cv (A) 110 cv (G) a 5750 rpm,11:1,6500 rpm,"10,0 kgfm/litro","15,8 kgfm (A) 14,5 kgfm (G) a 4000 rpm",Hidráulicos,4,1697 mm,21 graus,23 graus,425 kg,4279 mm,2540 mm,1723 mm,1330 kg,403 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,472 m²","0,890 m²","0,36",Hidráulica,"11,1 m","Independente, McPherson",Mola helicoidal,Eixo de torção,407 km,572 km,319 km,462 km,"7,4 km/l","10,4 km/l","5,8 km/l","8,4 km/l",230 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citroen,Aircross,aircross,aircross-gl-1-6-2012,aircross-gl-1-6-2012,https://www.fichacompleta.com.br/carros/citroen/aircross-gl-1-6-2012,2026-06-17T22:01:16.517726,Citroen Aircross GL 1.6 2012,"13,4 s",171 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"11,6 kg/cv","83,0 kg/kgfm","71,2 cv/litro",113 cv (A) 110 cv (G) a 5750 rpm,11:1,6500 rpm,"10,0 kgfm/litro","15,8 kgfm (A) 14,5 kgfm (G) a 4000 rpm",Hidráulicos,4,1697 mm,21 graus,23 graus,425 kg,4279 mm,2540 mm,1723 mm,1312 kg,403 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,472 m²","0,890 m²","0,36",Hidráulica,"11,1 m","Independente, McPherson",Mola helicoidal,Eixo de torção,413 km,578 km,347 km,484 km,"7,5 km/l","10,5 km/l","6,3 km/l","8,8 km/l",230 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citroen,Aircross,aircross,aircross-glx-1-6-2012,aircross-glx-1-6-2012,https://www.fichacompleta.com.br/carros/citroen/aircross-glx-1-6-2012,2026-06-17T22:01:20.208951,Citroen Aircross GLX 1.6 2012,"13,4 s",171 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"11,6 kg/cv","83,0 kg/kgfm","71,2 cv/litro",113 cv (A) 110 cv (G) a 5750 rpm,11:1,6500 rpm,"10,0 kgfm/litro","15,8 kgfm (A) 14,5 kgfm (G) a 4000 rpm",Hidráulicos,4,1697 mm,21 graus,23 graus,425 kg,4279 mm,2540 mm,1723 mm,1312 kg,403 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,472 m²","0,890 m²","0,36",Hidráulica,"11,1 m","Independente, McPherson",Mola helicoidal,Eixo de torção,413 km,578 km,347 km,484 km,"7,5 km/l","10,5 km/l","6,3 km/l","8,8 km/l",230 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citroen,Aircross,aircross,aircross-glx-1-6-at-2012,aircross-glx-1-6-at-2012,https://www.fichacompleta.com.br/carros/citroen/aircross-glx-1-6-at-2012,2026-06-17T22:01:23.885134,Citroen Aircross GLX 1.6 AT 2012,"13,8 s",168 km/h,Conversor de torque,Automático,AT8,4,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"11,8 kg/cv","84,2 kg/kgfm","71,2 cv/litro",113 cv (A) 110 cv (G) a 5750 rpm,11:1,6500 rpm,"10,0 kgfm/litro","15,8 kgfm (A) 14,5 kgfm (G) a 4000 rpm",Hidráulicos,4,1697 mm,21 graus,23 graus,425 kg,4279 mm,2540 mm,1723 mm,1330 kg,403 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,472 m²","0,890 m²","0,36",Hidráulica,"11,1 m","Independente, McPherson",Mola helicoidal,Eixo de torção,407 km,572 km,319 km,462 km,"7,4 km/l","10,4 km/l","5,8 km/l","8,4 km/l",230 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
