marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__torque_especifico,geral__torque_maximo,geral__tuchos,geral__valvulas_por_cilindro,geral__altura,geral__bitola_dianteira,geral__bitola_traseira,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__assistencia,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__dianteiros,geral__traseiros,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__altura_minima_do_solo,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__marchas,geral__potencia,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque,geral__diametro_de_giro,geral__regime_potencia_max,geral__regime_torque_max,geral__rotacao_maxima,geral__reboque_com_freio,geral__altura_do_flanco,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coeficiente_de_arrasto_cx,geral__acionam_do_comando,geral__codigo_do_motor,geral__carga_util,geral__cacamba,geral__angulo_de_entrada,geral__angulo_de_saida,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__cilindrada_unitaria,geral__deslocamento,geral__angulo_central,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__coef_de_arrasto_cx,geral__variacao_do_comando,geral__estepe,geral__codigo_do_cambio,geral__frenagem_1000_kmh
dodge,1800,1800,1800-gl-1-8-1973,1800-gl-1-8-1973,https://www.fichacompleta.com.br/carros/dodge/1800-gl-1-8-1973,2026-06-20T20:53:26.324924,Dodge 1800 GL 1.8 1973,"20,3 s",140 km/h,Embreagem monodisco a seco,Manual,4,Traseira,Carburador,Natural,1799 cm³,4 em linha,no bloco,"77,19 mm","86,13 mm",Longitudinal,Dianteiro,"12,7 kg/cv","73,9 kg/kgfm","43,4 cv/litro",78 cv a 4600 rpm,"7,5:1","7,4 kgfm/litro","13,4 kgfm a 3000 rpm",Mecânicos,2,1420 mm,1313 mm,1321 mm,4125 mm,2489 mm,1587 mm,990 kg,316 litros,60 litros,Não assistida,"10,7 m","Independente, McPherson",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,660 km,480 km,11 km/l,8 km/l,140 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dodge,1800,1800,1800-se-1-8-1974,1800-se-1-8-1974,https://www.fichacompleta.com.br/carros/dodge/1800-se-1-8-1974,2026-06-20T20:53:29.970245,Dodge 1800 SE 1.8 1974,19 s,144 km/h,,Manual,4,Traseira,Carburador,Natural,1799 cm³,4 em linha,no bloco,,,Longitudinal,Dianteiro,"11,3 kg/cv","64,1 kg/kgfm","45,6 cv/litro",82 cv a 4600 rpm,"7,5:1","8,1 kgfm/litro","14,5 kgfm a 3000 rpm",Mecânicos,2,1376 mm,1313 mm,1321 mm,4125 mm,2489 mm,1587 mm,930 kg,316 litros,60 litros,Não assistida,"10,7 m","Independente, McPherson",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,660 km,480 km,11 km/l,8 km/l,,"77,19 mm","86,13 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dodge,1800,1800,1800-gl-1-8-1975,1800-gl-1-8-1975,https://www.fichacompleta.com.br/carros/dodge/1800-gl-1-8-1975,2026-06-20T20:53:34.831840,Dodge 1800 GL 1.8 1975,19 s,144 km/h,Embreagem monodisco a seco,Manual,,Traseira,Carburador,Natural,1799 cm³,4 em linha,Único no bloco,"77,19 mm","86,13 mm",Longitudinal,Dianteiro,"11,3 kg/cv","66,4 kg/kgfm","45,6 cv/litro",,"7,5:1","7,8 kgfm/litro",,Mecânicos,2,1376 mm,1313 mm,1321 mm,4125 mm,2489 mm,1587 mm,930 kg,306 litros,45 litros,Não assistida,,"Indep., McPherson",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,495 km,360 km,11 km/l,8 km/l,140 mm,,,4,82 cv,4600 rpm,3000 rpm,14 kgfm,"9,6 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dodge,1800,1800,1800-l-1-8-1975,1800-l-1-8-1975,https://www.fichacompleta.com.br/carros/dodge/1800-l-1-8-1975,2026-06-20T20:53:38.491375,Dodge 1800 L 1.8 1975,19 s,144 km/h,Embreagem monodisco a seco,Manual,,Traseira,Carburador,Natural,1799 cm³,4 em linha,Único no bloco,"77,19 mm","86,13 mm",Longitudinal,Dianteiro,"11,3 kg/cv","66,4 kg/kgfm","45,6 cv/litro",,"7,5:1","7,8 kgfm/litro",,Mecânicos,2,1376 mm,1313 mm,1321 mm,4125 mm,2489 mm,1587 mm,930 kg,306 litros,45 litros,Não assistida,,"Indep., McPherson",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,495 km,360 km,11 km/l,8 km/l,140 mm,,,4,82 cv,4600 rpm,3000 rpm,14 kgfm,"9,6 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dodge,1800,1800,1800-se-1-8-1975,1800-se-1-8-1975,https://www.fichacompleta.com.br/carros/dodge/1800-se-1-8-1975,2026-06-20T20:53:42.526145,Dodge 1800 SE 1.8 1975,19 s,144 km/h,Embreagem monodisco a seco,Manual,,Traseira,Carburador,Natural,1799 cm³,4 em linha,Único no bloco,"77,19 mm","86,13 mm",Longitudinal,Dianteiro,"11,3 kg/cv","66,4 kg/kgfm","45,6 cv/litro",82 cv,"7,5:1","7,8 kgfm/litro",14 kgfm,Mecânicos,2,1376 mm,1313 mm,1321 mm,4125 mm,2489 mm,1587 mm,930 kg,306 litros,45 litros,Não assistida,,"Indep., McPherson",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,495 km,360 km,11 km/l,8 km/l,140 mm,,,4,,,,,"9,6 m",4600 rpm,3000 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dodge,Challenger,challenger,challenger-r-t-5-7-v8-2015,challenger-r-t-5-7-v8-2015,https://www.fichacompleta.com.br/carros/dodge/challenger-r-t-5-7-v8-2015,2026-06-20T20:54:01.737506,Dodge Challenger R/T 5.7 V8 2015,"5,2 s",250 km/h,Conversor de torque,Automático,8,Traseira,Injeção multiponto,Natural,5654 cm³,8 em V,no bloco,,,Longitudinal,Dianteiro,"4,9 kg/cv","33,5 kg/kgfm","66,7 cv/litro",377 cv a 5200 rpm,"10,5:1","9,8 kgfm/litro","55,3 kgfm a 4400 rpm",,2,1460 mm,1611 mm,1620 mm,5027 mm,2950 mm,1923 mm,1852 kg,459 litros,70 litros,Hidráulica,"11,63 m","Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Disco ventilado,Disco ventilado,490 km,280 km,7 km/l,4 km/l,131 mm,"90,9 mm","99,5 mm",,,,,,,,,5800 rpm,454 kg,110 mm,"2,39 m²","0,805 m²","0,337",,,,,,,,,,,,,,,,,,,,,,
dodge,Challenger,challenger,challenger-srt-hellcat-6-2-v8-2015,challenger-srt-hellcat-6-2-v8-2015,https://www.fichacompleta.com.br/carros/dodge/challenger-srt-hellcat-6-2-v8-2015,2026-06-20T20:54:04.692896,Dodge Challenger SRT Hellcat 6.2 V8 2015,4 s,300 km/h,Embreagem monodisco a seco,Manual,6,Traseira,Injeção multiponto,Compressor,6166 cm³,8 em V,no bloco,"90,9 mm","103,9 mm",Longitudinal,Dianteiro,"2,8 kg/cv","22,5 kg/kgfm","116,3 cv/litro",717 cv a 6000 rpm,"9,5:1","14,6 kgfm/litro","89,8 kgfm a 4000 rpm",,2,1416 mm,1625 mm,1618 mm,5028 mm,2951 mm,1923 mm,2018 kg,459 litros,70 litros,Hidráulica,"11,48 m","Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Disco ventilado,Disco ventilado,434 km,245 km,"6,2 km/l","3,5 km/l",115 mm,,,,,,,,,,,6200 rpm,,110 mm,"2,31 m²","0,878 m²","0,38",,,,,,,,,,,,,,,,,,,,,,
dodge,Challenger,challenger,challenger-r-t-5-7-v8-2016,challenger-r-t-5-7-v8-2016,https://www.fichacompleta.com.br/carros/dodge/challenger-r-t-5-7-v8-2016,2026-06-20T20:54:08.655741,Dodge Challenger R/T 5.7 V8 2016,"5,2 s",250 km/h,Conversor de torque,Automático,8,Traseira,Injeção multiponto,Natural,5654 cm³,8 em V,no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"4,9 kg/cv","33,5 kg/kgfm","66,7 cv/litro",377 cv a 5200 rpm,"10,5:1","9,8 kgfm/litro","55,3 kgfm a 4400 rpm",,2,1460 mm,1611 mm,1620 mm,5027 mm,2950 mm,1923 mm,1852 kg,459 litros,70 litros,Hidráulica,"11,63 m","Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Disco ventilado,Disco ventilado,490 km,280 km,7 km/l,4 km/l,131 mm,,,,,,,,,,,5800 rpm,454 kg,110 mm,"2,39 m²","0,805 m²","0,337",,,,,,,,,,,,,,,,,,,,,,
dodge,Challenger,challenger,challenger-srt-hellcat-6-2-v8-2016,challenger-srt-hellcat-6-2-v8-2016,https://www.fichacompleta.com.br/carros/dodge/challenger-srt-hellcat-6-2-v8-2016,2026-06-20T20:54:12.722650,Dodge Challenger SRT Hellcat 6.2 V8 2016,4 s,300 km/h,Embreagem monodisco a seco,Manual,6,Traseira,Injeção multiponto,Compressor,6166 cm³,8 em V,no bloco,"90,9 mm","103,9 mm",Longitudinal,Dianteiro,"2,8 kg/cv","22,5 kg/kgfm","116,3 cv/litro",717 cv a 6000 rpm,"9,5:1","14,6 kgfm/litro","89,8 kgfm a 4000 rpm",,2,1416 mm,1625 mm,1618 mm,5028 mm,2951 mm,1923 mm,2018 kg,459 litros,70 litros,Hidráulica,"11,48 m","Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Disco ventilado,Disco ventilado,434 km,245 km,"6,2 km/l","3,5 km/l",115 mm,,,,,,,,,,,6200 rpm,,110 mm,"2,31 m²","0,878 m²","0,38",,,,,,,,,,,,,,,,,,,,,,
dodge,Challenger,challenger,challenger-r-t-5-7-v8-2017,challenger-r-t-5-7-v8-2017,https://www.fichacompleta.com.br/carros/dodge/challenger-r-t-5-7-v8-2017,2026-06-20T20:54:15.481488,Dodge Challenger R/T 5.7 V8 2017,"5,2 s",250 km/h,Conversor de torque,Automático,8,Traseira,Injeção multiponto,Natural,5654 cm³,8 em V,no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"4,9 kg/cv","33,5 kg/kgfm","66,7 cv/litro",377 cv a 5200 rpm,"10,5:1","9,8 kgfm/litro","55,3 kgfm a 4400 rpm",,2,1460 mm,1611 mm,1620 mm,5027 mm,2950 mm,1923 mm,1852 kg,459 litros,70 litros,Hidráulica,"11,63 m","Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Disco ventilado,Disco ventilado,490 km,280 km,7 km/l,4 km/l,131 mm,,,,,,,,,,,5800 rpm,454 kg,110 mm,"2,39 m²","0,805 m²","0,337",,,,,,,,,,,,,,,,,,,,,,
