marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__altura,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__altura_do_flanco,geral__dianteiros,geral__estepe,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__autonomia,geral__capacidade_da_bateria,geral__consumo_eletrico,geral__pesopotencia,geral__pesotorque,geral__potencia,geral__torque,geral__cambio,geral__marchas,geral__tracao,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__altura_minima_do_solo,geral__potencia_de_recarga,geral__angulo_de_entrada,geral__angulo_de_saida,geral__rampa_maxima,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindrada_unitaria,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__deslocamento,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__rotacao_maxima,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__acoplamento,geral__codigo_do_cambio,geral__angulo_central,geral__bitola_dianteira,geral__bitola_traseira,geral__cacamba,geral__reboque_com_freio,geral__reboque_sem_freio,geral__tanque_de_combustivel,geral__travessia_de_agua,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__diametro_minimo_de_giro,geral__quantidade_de_marchas,geral__cilindrada,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__variacao_do_comando,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__curso_dos_pistoes,geral__diametro_dos_cilindros
jac,E-j7,e-j7,e-j7--2022,e-j7--2022,https://www.fichacompleta.com.br/carros/jac/e-j7--2022,2026-06-20T21:45:16.526669,Jac E-j7  2022,"6,4 s",150 km/h,1510 mm,450 kg,4770 mm,2760 mm,1820 mm,1650 kg,590 litros,118 mm,Disco ventilado,Kit de reparo e enchimento,Disco sólido,Elétrica,Não informado,402 km,"50,1 kWh",16 kWh/100 km,"8,59 kg/cv","47,55 kg/kgfm",192 cv,"34,7 kgfm",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",129 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-j7,e-j7,e-j7-bev-2023,e-j7-bev-2023,https://www.fichacompleta.com.br/carros/jac/e-j7-bev-2023,2026-06-20T21:45:20.751454,Jac E-j7 BEV 2023,"5,9 s",150 km/h,1510 mm,450 kg,4770 mm,2760 mm,1820 mm,1650 kg,520 litros,118 mm,Disco ventilado,Kit de reparo,Disco sólido,Elétrica,Não informado,249 km,"50,1 kWh",16 kWh/100 km,"8,59 kg/cv","47,55 kg/kgfm",192 cv (dianteiro),"34,7 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",129 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js1,e-js1,e-js1--2022,e-js1--2022,https://www.fichacompleta.com.br/carros/jac/e-js1--2022,2026-06-20T21:46:14.553776,Jac E-js1  2022,"10,7 s",110 km/h,1540 mm,450 kg,3650 mm,2390 mm,1670 mm,1180 kg,121 litros,107 mm,Disco ventilado,Kit de reparo e enchimento,Tambor,Elétrica,9 m,302 km,"30,2 kWh","9,6 kWh/100 km","19,03 kg/cv","77,12 kg/kgfm",62 cv,"15,3 kgfm",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,130 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js1,e-js1,e-js1-ext-2022,e-js1-ext-2022,https://www.fichacompleta.com.br/carros/jac/e-js1-ext-2022,2026-06-20T21:46:17.920557,Jac E-js1 EXT 2022,"10,7 s",110 km/h,1540 mm,450 kg,3650 mm,2390 mm,1670 mm,1180 kg,121 litros,123 mm,Disco ventilado,Kit de reparo e enchimento,Tambor,Elétrica,9 m,302 km,"30,2 kWh","9,6 kWh/100 km","19,03 kg/cv","77,12 kg/kgfm",62 cv,"15,3 kgfm",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,130 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js1,e-js1,e-js1--2023,e-js1--2023,https://www.fichacompleta.com.br/carros/jac/e-js1--2023,2026-06-20T21:46:22.113581,Jac E-js1  2023,"10,7 s",110 km/h,1540 mm,450 kg,3650 mm,2390 mm,1670 mm,1180 kg,121 litros,107 mm,Disco ventilado,Kit de reparo e enchimento,Tambor,Elétrica,9 m,302 km,"30,2 kWh","9,6 kWh/100 km","19,03 kg/cv","77,12 kg/kgfm",62 cv,"15,3 kgfm",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,130 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js1,e-js1,e-js1-city-cargo-2023,e-js1-city-cargo-2023,https://www.fichacompleta.com.br/carros/jac/e-js1-city-cargo-2023,2026-06-20T21:46:26.798890,Jac E-js1 City Cargo 2023,"10,7 s",105 km/h,1540 mm,400 kg,3650 mm,2390 mm,1670 mm,1180 kg,1200 litros,107 mm,Disco ventilado,Kit de reparo e enchimento,Tambor,Elétrica,9 m,161 km,"30,2 kWh",10 kWh/100 km,"19,03 kg/cv","77,12 kg/kgfm",62 cv (dianteiro),"15,3 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,130 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js1,e-js1,e-js1-extreme-2023,e-js1-extreme-2023,https://www.fichacompleta.com.br/carros/jac/e-js1-extreme-2023,2026-06-20T21:46:30.979833,Jac E-js1 Extreme 2023,"10,7 s",110 km/h,1540 mm,450 kg,3650 mm,2390 mm,1670 mm,1180 kg,121 litros,123 mm,Disco ventilado,Kit de reparo e enchimento,Tambor,Elétrica,9 m,302 km,"30,2 kWh","9,6 kWh/100 km","19,03 kg/cv","77,12 kg/kgfm",62 cv,"15,3 kgfm",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,130 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js1,e-js1,e-js1-bev-2024,e-js1-bev-2024,https://www.fichacompleta.com.br/carros/jac/e-js1-bev-2024,2026-06-20T21:46:33.924047,Jac E-js1 BEV 2024,"10,7 s",110 km/h,1540 mm,450 kg,3650 mm,2390 mm,1670 mm,1180 kg,121 litros,107 mm,Disco ventilado,Kit de reparo,Disco sólido,Elétrica,9 m,181 km,"30,2 kWh","9,6 kWh/100 km","19,03 kg/cv","77,12 kg/kgfm",62 cv (dianteiro),"15,3 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,130 mm,40 kW (DC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js1,e-js1,e-js1-extreme-2024,e-js1-extreme-2024,https://www.fichacompleta.com.br/carros/jac/e-js1-extreme-2024,2026-06-20T21:46:36.807015,Jac E-js1 Extreme 2024,"10,7 s",105 km/h,1590 mm,370 kg,3650 mm,2390 mm,1670 mm,1180 kg,121 litros,123 mm,Disco ventilado,Kit de reparo,Disco sólido,Elétrica,9 m,181 km,"30,2 kWh","9,6 kWh/100 km","19,03 kg/cv","77,12 kg/kgfm",62 cv (dianteiro),"15,3 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,210 mm,40 kW (DC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js1,e-js1,e-js1-bev-2025,e-js1-bev-2025,https://www.fichacompleta.com.br/carros/jac/e-js1-bev-2025,2026-06-20T21:46:41.334795,Jac E-js1 BEV 2025,"10,7 s",110 km/h,1540 mm,450 kg,3650 mm,2390 mm,1670 mm,1180 kg,121 litros,107 mm,Disco ventilado,Kit de reparo,Disco sólido,Elétrica,9 m,181 km,"30,2 kWh","9,6 kWh/100 km","19,03 kg/cv","77,12 kg/kgfm",62 cv (dianteiro),"15,3 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,130 mm,40 kW (DC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
