marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindrada_unitaria,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__deslocamento,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__rotacao_maxima,geral__torque_especifico,geral__torque_maximo,geral__tuchos,geral__valvulas_por_cilindro,geral__variacao_do_comando,geral__viscosidade_do_oleo,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__tracao,geral__altura,geral__altura_minima_do_solo,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__bitola_dianteira,geral__bitola_traseira,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__capacidade_da_bateria,geral__potencia,geral__torque,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_a,geral__rodoviaria_g,geral__urbana_a,geral__urbana_g,geral__rodoviario_a,geral__rodoviario_g,geral__urbano_a,geral__urbano_g,geral__cilindrada,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__carga_util,geral__diametro_minimo_de_giro,geral__quantidade_de_marchas,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__estepe,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__coeficiente_de_arrasto_cx,geral__reboque_com_freio,geral__travessia_de_agua,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__reboque_sem_freio,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__autonomia_eletrica,geral__consumo_eletrico,geral__potencia_combinada,geral__torque_combinado,geral__veloc_max_modo_elet,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__potencia_de_recarga,geral__cacamba,geral__inclinacao_lateral_maxima,geral__inclinacao_lateral_max
jeep,Avenger,avenger,avenger-limited-1-0-2026,avenger-limited-1-0-2026,https://www.fichacompleta.com.br/carros/jeep/avenger-limited-1-0-2026,2026-06-15T16:18:45.847687,Jeep Avenger Limited 1.0 2026,"9,8 s",184 km/h,Corrente,Injeção direta,Turbocompressor,333 cm³,3 em linha,T200,Único no cabeçote,"86,5 mm",999 cm³,70 mm,Transversal,Dianteiro,"302,50 kg/cv","1.210,00 kg/kgfm","130,1 cv/litro",130 cv (A),"10,5:1",5750 rpm,1750 rpm,6500 rpm,"20,4 kgfm/litro","20,4 kgfm (A)",Hidráulicos,4,Admissão,0W-30 ³,Conversor de torque,CVT,Aisin K313,7,Dianteira,1534 mm,200 mm,20 graus,20 graus,35 graus,1565 mm,1565 mm,4084 mm,2557 mm,1776 mm,1210 kg,380 litros,44 litros,118 mm,Disco ventilado,Disco sólido,Elétrica,"10,5 m","0,132 kWh",4 cv (dianteiro),1 kgfm (dianteiro),"Indep., McPherson",Mola helicoidal,Eixo de torção,449 km,634 km,409 km,590 km,"10,2 km/l","14,4 km/l","9,3 km/l","13,4 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeep,Avenger,avenger,avenger-longitude-1-0-2026,avenger-longitude-1-0-2026,https://www.fichacompleta.com.br/carros/jeep/avenger-longitude-1-0-2026,2026-06-15T16:18:48.971297,Jeep Avenger Longitude 1.0 2026,"9,8 s",184 km/h,Corrente,Injeção direta,Turbocompressor,333 cm³,3 em linha,T200,Único no cabeçote,"86,5 mm",999 cm³,70 mm,Transversal,Dianteiro,"302,50 kg/cv","1.210,00 kg/kgfm","130,1 cv/litro",130 cv (A),"10,5:1",5750 rpm,1750 rpm,6500 rpm,"20,4 kgfm/litro","20,4 kgfm (A)",Hidráulicos,4,Admissão,0W-30 ³,Conversor de torque,CVT,Aisin K313,7,Dianteira,1534 mm,200 mm,20 graus,20 graus,35 graus,1565 mm,1565 mm,4084 mm,2557 mm,1776 mm,1210 kg,380 litros,44 litros,129 mm,Disco ventilado,Disco sólido,Elétrica,"10,5 m","0,132 kWh",4 cv (dianteiro),1 kgfm (dianteiro),"Indep., McPherson",Mola helicoidal,Eixo de torção,449 km,634 km,409 km,590 km,"10,2 km/l","14,4 km/l","9,3 km/l","13,4 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeep,Avenger,avenger,avenger-sport-1-0-2026,avenger-sport-1-0-2026,https://www.fichacompleta.com.br/carros/jeep/avenger-sport-1-0-2026,2026-06-15T16:18:52.858032,Jeep Avenger Sport 1.0 2026,"9,8 s",184 km/h,Corrente,Injeção direta,Turbocompressor,333 cm³,3 em linha,T200,Único no cabeçote,"86,5 mm",999 cm³,70 mm,Transversal,Dianteiro,"302,50 kg/cv","1.210,00 kg/kgfm","130,1 cv/litro",130 cv (A),"10,5:1",5750 rpm,1750 rpm,6500 rpm,"20,4 kgfm/litro","20,4 kgfm (A)",Hidráulicos,4,Admissão,0W-30 ³,Conversor de torque,CVT,Aisin K313,7,Dianteira,1534 mm,200 mm,20 graus,20 graus,35 graus,1565 mm,1565 mm,4084 mm,2557 mm,1776 mm,1210 kg,380 litros,44 litros,129 mm,Disco ventilado,Disco sólido,Elétrica,"10,5 m","0,132 kWh",4 cv (dianteiro),1 kgfm (dianteiro),"Indep., McPherson",Mola helicoidal,Eixo de torção,449 km,634 km,409 km,590 km,"10,2 km/l","14,4 km/l","9,3 km/l","13,4 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeep,Cherokee,cherokee,cherokee-sport-4-0-1995,cherokee-sport-4-0-1995,https://www.fichacompleta.com.br/carros/jeep/cherokee-sport-4-0-1995,2026-06-15T16:20:04.613422,Jeep Cherokee Sport 4.0 1995,12 s,170 km/h,,Injeção multiponto,Natural,,6 em linha,,no bloco,,,,Longitudinal,Dianteiro,"8,5 kg/cv","50,7 kg/kgfm","44,7 cv/litro",177 cv a 4600 rpm,"8,8:1",,,,"7,5 kgfm/litro","29,6 kgfm a 3600 rpm",,2,,,,Automático,,,Integral sob demanda,1630 mm,,,,,,,4250 mm,2575 mm,1790 mm,1500 kg,420 litros,76 litros,158 mm,Disco ventilado,Tambor,Hidráulica,,,,,Eixo rígido,Feixe de molas semielípticas,Eixo rígido,,532 km,,380 km,,7 km/l,,5 km/l,3964 cm³,"86,61 mm","98,55 mm",730 kg,"11,7 m",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeep,Cherokee,cherokee,cherokee-sport-4-0-1997,cherokee-sport-4-0-1997,https://www.fichacompleta.com.br/carros/jeep/cherokee-sport-4-0-1997,2026-06-15T16:20:08.026494,Jeep Cherokee Sport 4.0 1997,12 s,170 km/h,,Injeção multiponto,Natural,,6 em linha,,Único no bloco,"86,61 mm",,"98,55 mm",Longitudinal,Dianteiro,"8,5 kg/cv","50,7 kg/kgfm","44,7 cv/litro",177 cv,"8,8:1",,,,"7,5 kgfm/litro","29,6 kgfm",,2,,,Conversor de torque,Automático,,4,Integral temporária,1630 mm,,,,,,,4250 mm,2575 mm,1790 mm,1500 kg,420 litros,76 litros,158 mm,Disco ventilado,Tambor,Hidráulica,"11,7 m",,,,Eixo rígido,Feixe de molas semielípticas,Eixo rígido,,532 km,,380 km,,7 km/l,,5 km/l,3964 cm³,,,730 kg,"11,7 m",4,4600 rpm,3600 rpm,225/70 R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeep,Cherokee,cherokee,cherokee-sport-4-0-1998,cherokee-sport-4-0-1998,https://www.fichacompleta.com.br/carros/jeep/cherokee-sport-4-0-1998,2026-06-15T16:20:12.199870,Jeep Cherokee Sport 4.0 1998,12 s,170 km/h,,Injeção multiponto,Natural,,6 em linha,,Único no bloco,"86,61 mm",,"98,55 mm",Longitudinal,Dianteiro,"8,5 kg/cv","50,7 kg/kgfm","44,7 cv/litro",177 cv,"8,8:1",4600 rpm,3600 rpm,,"7,5 kgfm/litro","29,6 kgfm",,2,,,Conversor de torque,Automático,,4,Integral temporária,1630 mm,,,,,,,4250 mm,2575 mm,1790 mm,1500 kg,420 litros,76 litros,158 mm,Disco ventilado,Tambor,Hidráulica,"11,7 m",,,,Eixo rígido,Feixe de molas semielípticas,Eixo rígido,,532 km,,380 km,,7 km/l,,5 km/l,3964 cm³,,,730 kg,,,,,225/70 R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeep,Cherokee,cherokee,cherokee-sport-4-0-1999,cherokee-sport-4-0-1999,https://www.fichacompleta.com.br/carros/jeep/cherokee-sport-4-0-1999,2026-06-15T16:20:15.170907,Jeep Cherokee Sport 4.0 1999,12 s,170 km/h,,Injeção multiponto,Natural,,6 em linha,,Único no bloco,"86,61 mm",,"98,55 mm",Longitudinal,Dianteiro,"8,5 kg/cv","50,7 kg/kgfm","44,7 cv/litro",177 cv,"8,8:1",4600 rpm,3600 rpm,,"7,5 kgfm/litro","29,6 kgfm",,2,,,Conversor de torque,Automático,,4,Integral temporária,1630 mm,,,,,,,4250 mm,2575 mm,1790 mm,1500 kg,420 litros,76 litros,158 mm,Disco ventilado,Tambor,Hidráulica,"11,7 m",,,,Eixo rígido,Feixe de molas semielípticas,Eixo rígido,,532 km,,380 km,,7 km/l,,5 km/l,3964 cm³,,,730 kg,,,,,225/70 R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeep,Cherokee,cherokee,cherokee-sport-2-5-turbo-2000,cherokee-sport-2-5-turbo-2000,https://www.fichacompleta.com.br/carros/jeep/cherokee-sport-2-5-turbo-2000,2026-06-15T16:20:17.738348,Jeep Cherokee Sport 2.5 Turbo 2000,"13,6 s",165 km/h,,Injeção indireta,Turbocompressor,,4 em linha,VM 425,Único no bloco,94 mm,,92 mm,Longitudinal,Dianteiro,"14,0 kg/cv","53,2 kg/kgfm","46,4 cv/litro",,21:1,,,,"12,2 kgfm/litro",,,2,,,Conversor de torque,Manual,,5,Integral temporária,1625 mm,,,,,1473 mm,1473 mm,4251 mm,2576 mm,1790 mm,1629 kg,420 litros,76 litros,158 mm,Disco ventilado,Tambor,Hidráulica,"10,9 m",,116 cv,"30,6 kgfm",Eixo rígido,Feixe de molas semielípticas,Eixo rígido,,,,,,,,,2499 cm³,,,601 kg,,,3900 rpm,2000 rpm,225/70 R16,"2,47 m²","1,260 m²","0,51",722 km,608 km,"9,5 km/l",8 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeep,Cherokee,cherokee,cherokee-sport-4-0-2000,cherokee-sport-4-0-2000,https://www.fichacompleta.com.br/carros/jeep/cherokee-sport-4-0-2000,2026-06-15T16:20:22.477483,Jeep Cherokee Sport 4.0 2000,12 s,170 km/h,,Injeção multiponto,Natural,,6 em linha,,Único no bloco,"86,61 mm",,"98,55 mm",Longitudinal,Dianteiro,"8,5 kg/cv","50,7 kg/kgfm","44,7 cv/litro",177 cv,"8,8:1",4600 rpm,3600 rpm,,"7,5 kgfm/litro","29,6 kgfm",,2,,,Conversor de torque,Automático,,4,Integral temporária,1630 mm,,,,,,,4250 mm,2575 mm,1790 mm,1500 kg,420 litros,76 litros,158 mm,Disco ventilado,Tambor,Hidráulica,"11,7 m",,,,Eixo rígido,Feixe de molas semielípticas,Eixo rígido,,532 km,,380 km,,7 km/l,,5 km/l,3964 cm³,,,730 kg,,,,,225/70 R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeep,Cherokee,cherokee,cherokee-sport-2-5-turbo-2001,cherokee-sport-2-5-turbo-2001,https://www.fichacompleta.com.br/carros/jeep/cherokee-sport-2-5-turbo-2001,2026-06-15T16:20:26.731475,Jeep Cherokee Sport 2.5 Turbo 2001,"13,6 s",165 km/h,,Injeção indireta,Turbocompressor,,4 em linha,VM 425,Único no bloco,94 mm,,92 mm,Longitudinal,Dianteiro,"14,0 kg/cv","53,2 kg/kgfm","46,4 cv/litro",,21:1,,,,"12,2 kgfm/litro",,,2,,,Conversor de torque,Manual,,5,Integral temporária,1625 mm,,,,,1473 mm,1473 mm,4251 mm,2576 mm,1790 mm,1629 kg,420 litros,76 litros,158 mm,Disco ventilado,Tambor,Hidráulica,"10,9 m",,116 cv,"30,6 kgfm",Eixo rígido,Feixe de molas semielípticas,Eixo rígido,,,,,,,,,2499 cm³,,,601 kg,,,3900 rpm,2000 rpm,225/70 R16,"2,47 m²","1,260 m²","0,51",722 km,608 km,"9,5 km/l",8 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
