marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__altura_minima_do_solo,geral__bitola_dianteira,geral__bitola_traseira,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__quantidade_de_marchas,geral__diametro_minimo_de_giro,geral__potencia,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__reboque_com_freio,geral__cilindrada_unitaria,geral__deslocamento,geral__reboque_sem_freio,geral__acionam_do_comando,geral__viscosidade_do_oleo,geral__variacao_do_comando,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__codigo_do_cambio,geral__estepe,geral__tuchos,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__portamalas_8_lugares,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__rotacao_maxima,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__autonomia,geral__capacidade_da_bateria,geral__potencia_combinada,geral__potencia_de_recarga,geral__torque_combinado,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__veloc_max_modo_elet,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano
kia,Besta,besta,besta-est-2-7-1994,besta-est-2-7-1994,https://www.fichacompleta.com.br/carros/kia/besta-est-2-7-1994,2026-06-18T12:00:55.855177,Kia Besta EST 2.7 1994,"30,4 s",130 km/h,Embreagem monodisco a seco,Manual,5,Traseira,Injeção indireta,Natural,2662 cm³,4 em linha,VN,Único no bloco,98 mm,93 mm,Longitudinal,Dianteiro,"19,5 kg/cv","89,1 kg/kgfm","30,1 cv/litro",80 cv,"21,5:1",4000 rpm,2000 rpm,"6,6 kgfm/litro","17,5 kgfm",2,1920 mm,195 mm,1460 mm,1420 mm,1200 kg,4685 mm,2400 mm,1690 mm,1560 kg,10 litros,55 litros,146 mm,Disco ventilado,Tambor,Não assistida,"9,8 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,468 km,407 km,"8,5 km/l","7,4 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Besta,besta,besta-st-2-2-12-lugares-1994,besta-st-2-2-12-lugares-1994,https://www.fichacompleta.com.br/carros/kia/besta-st-2-2-12-lugares-1994,2026-06-18T12:00:59.616889,Kia Besta ST 2.2 12 lugares 1994,35 s,123 km/h,Embreagem monodisco a seco,Manual,,Traseira,Injeção indireta,Natural,2184 cm³,4 em linha,,Único no cabeçote,94 mm,86 mm,Longitudinal,Dianteiro,"21,7 kg/cv","104,8 kg/kgfm","32,1 cv/litro",70 cv a 4050 rpm,"22,9:1",,,"6,6 kgfm/litro","14,5 kgfm a 2500 rpm",2,1920 mm,195 mm,1460 mm,1420 mm,1200 kg,4685 mm,2400 mm,1690 mm,1520 kg,10 litros,55 litros,146 mm,Disco ventilado,Tambor,Não assistida,,"Independente, braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,462 km,402 km,"8,4 km/l","7,3 km/l",5,"8,4 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Besta,besta,besta-est-2-7-1995,besta-est-2-7-1995,https://www.fichacompleta.com.br/carros/kia/besta-est-2-7-1995,2026-06-18T12:01:03.509003,Kia Besta EST 2.7 1995,"30,4 s",130 km/h,Embreagem monodisco a seco,Manual,5,Traseira,Injeção indireta,Natural,2662 cm³,4 em linha,VN,Único no bloco,98 mm,93 mm,Longitudinal,Dianteiro,"19,5 kg/cv","89,1 kg/kgfm","30,1 cv/litro",,"21,5:1",,,"6,6 kgfm/litro",,2,1920 mm,195 mm,1460 mm,1420 mm,1200 kg,4685 mm,2400 mm,1690 mm,1560 kg,10 litros,55 litros,146 mm,Disco ventilado,Tambor,Não assistida,"9,8 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,468 km,407 km,"8,5 km/l","7,4 km/l",,,80 cv,4000 rpm,2000 rpm,"17,5 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Besta,besta,besta-st-2-2-12-lugares-1995,besta-st-2-2-12-lugares-1995,https://www.fichacompleta.com.br/carros/kia/besta-st-2-2-12-lugares-1995,2026-06-18T12:01:07.778412,Kia Besta ST 2.2 12 lugares 1995,35 s,123 km/h,Embreagem monodisco a seco,Manual,5,Traseira,Injeção indireta,Natural,2184 cm³,4 em linha,HW,Único no cabeçote,94 mm,86 mm,Longitudinal,Dianteiro,"23,4 kg/cv","104,8 kg/kgfm","29,8 cv/litro",,"22,9:1",,,"6,6 kgfm/litro",,2,1920 mm,195 mm,1460 mm,1420 mm,1200 kg,4685 mm,2400 mm,1690 mm,1520 kg,10 litros,55 litros,146 mm,Disco ventilado,Tambor,Não assistida,"8,4 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,462 km,402 km,"8,4 km/l","7,3 km/l",,,65 cv,4050 rpm,2500 rpm,"14,5 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Besta,besta,besta-est-2-7-1996,besta-est-2-7-1996,https://www.fichacompleta.com.br/carros/kia/besta-est-2-7-1996,2026-06-18T12:01:12.562319,Kia Besta EST 2.7 1996,"30,4 s",130 km/h,Embreagem monodisco a seco,Manual,5,Traseira,Injeção indireta,Natural,2662 cm³,4 em linha,VN,Único no bloco,98 mm,93 mm,Longitudinal,Dianteiro,"19,5 kg/cv","89,1 kg/kgfm","30,1 cv/litro",80 cv,"21,5:1",,,"6,6 kgfm/litro","17,5 kgfm",2,1920 mm,195 mm,1460 mm,1420 mm,1200 kg,4685 mm,2400 mm,1690 mm,1560 kg,10 litros,55 litros,146 mm,Disco ventilado,Tambor,Não assistida,"9,8 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,468 km,407 km,"8,5 km/l","7,4 km/l",5,"9,8 m",,4000 rpm,2000 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Besta,besta,besta-st-2-2-12-lugares-1996,besta-st-2-2-12-lugares-1996,https://www.fichacompleta.com.br/carros/kia/besta-st-2-2-12-lugares-1996,2026-06-18T12:01:15.922093,Kia Besta ST 2.2 12 lugares 1996,35 s,123 km/h,Embreagem monodisco a seco,Manual,5,Traseira,Injeção indireta,Natural,2184 cm³,4 em linha,HW,Único no cabeçote,94 mm,86 mm,Longitudinal,Dianteiro,"23,4 kg/cv","104,8 kg/kgfm","29,8 cv/litro",,"22,9:1",,,"6,6 kgfm/litro",,2,1920 mm,195 mm,1460 mm,1420 mm,1200 kg,4685 mm,2400 mm,1690 mm,1520 kg,10 litros,55 litros,146 mm,Disco ventilado,Tambor,Não assistida,"8,4 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,462 km,402 km,"8,4 km/l","7,3 km/l",,,65 cv,4050 rpm,2500 rpm,"14,5 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Besta,besta,besta-gs-2-7-1998,besta-gs-2-7-1998,https://www.fichacompleta.com.br/carros/kia/besta-gs-2-7-1998,2026-06-18T12:01:20.753344,Kia Besta GS 2.7 1998,25 s,130 km/h,Embreagem monodisco a seco,Manual,5,Traseira,Injeção indireta,Natural,2665 cm³,4 em linha,J2,Único no bloco,95 mm,"94,4 mm",Longitudinal,Dianteiro,"22,6 kg/cv","107,1 kg/kgfm","31,1 cv/litro",83 cv,"21,5:1",,,"6,6 kgfm/litro","17,5 kgfm",2,1970 mm,,,,,4820 mm,2580 mm,1810 mm,1875 kg,10 litros,65 litros,151 mm,Disco ventilado,Tambor,Hidráulica,Não informado,"Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,1034 km,494 km,"15,9 km/l","7,6 km/l",,,,4150 rpm,2400 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Besta,besta,besta-gs-2-7-1999,besta-gs-2-7-1999,https://www.fichacompleta.com.br/carros/kia/besta-gs-2-7-1999,2026-06-18T12:01:23.314272,Kia Besta GS 2.7 1999,25 s,130 km/h,,Manual,,Traseira,Injeção indireta,Natural,2665 cm³,4 em linha,J2,Único no cabeçote,,,Longitudinal,Dianteiro,"22,6 kg/cv","107,1 kg/kgfm","31,1 cv/litro",83 cv a 4150 rpm,"21,5:1",,,"6,6 kgfm/litro","17,5 kgfm a 2400 rpm",2,1970 mm,,,,,4820 mm,2580 mm,1810 mm,1875 kg,10 litros,65 litros,151 mm,Disco ventilado,Tambor,Hidráulica,,"Independente, braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,1034 km,494 km,"15,9 km/l","7,6 km/l",5,Não informado,,,,,95 mm,"94,4 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Besta,besta,besta-gs-2-7-2000,besta-gs-2-7-2000,https://www.fichacompleta.com.br/carros/kia/besta-gs-2-7-2000,2026-06-18T12:01:25.667089,Kia Besta GS 2.7 2000,25 s,130 km/h,Embreagem monodisco a seco,Manual,,Traseira,Injeção indireta,Natural,2665 cm³,4 em linha,J2,Único no cabeçote,,,Longitudinal,Dianteiro,"22,6 kg/cv","107,1 kg/kgfm","31,1 cv/litro",83 cv a 4150 rpm,"21,5:1",,,"6,6 kgfm/litro","17,5 kgfm a 2400 rpm",2,1970 mm,,,,,4820 mm,2580 mm,1810 mm,1875 kg,10 litros,65 litros,151 mm,Disco ventilado,Tambor,Hidráulica,,"Independente, braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,1034 km,494 km,"15,9 km/l","7,6 km/l",5,Não informado,,,,,95 mm,"94,4 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Besta,besta,besta-furgao-2-7-2001,besta-furgao-2-7-2001,https://www.fichacompleta.com.br/carros/kia/besta-furgao-2-7-2001,2026-06-18T12:01:29.921550,Kia Besta Furgão 2.7 2001,25 s,130 km/h,Embreagem monodisco a seco,Manual,5,Traseira,Injeção indireta,Natural,2665 cm³,4 em linha,J2,Único no bloco,95 mm,"94,4 mm",Longitudinal,Dianteiro,"20,1 kg/cv","95,4 kg/kgfm","31,1 cv/litro",83 cv,"21,5:1",4150 rpm,2400 rpm,"6,6 kgfm/litro","17,5 kgfm",2,1970 mm,190 mm,1540 mm,1520 mm,1225 kg,4820 mm,2580 mm,1810 mm,1670 kg,6000 litros,65 litros,154 mm,Disco ventilado,Tambor,Hidráulica,"10,6 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,1034 km,494 km,"15,9 km/l","7,6 km/l",,,,,,,,,1600 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
