marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindrada_unitaria,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__deslocamento,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__rotacao_maxima,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__tracao,geral__altura,geral__altura_minima_do_solo,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__bitola_dianteira,geral__bitola_traseira,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__inclinacao_lateral_max,geral__largura,geral__peso,geral__portamalas,geral__rampa_maxima,geral__reboque_com_freio,geral__reboque_sem_freio,geral__tanque_de_combustivel,geral__travessia_de_agua,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__quantidade_de_marchas,geral__cilindrada,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__inclinacao_lateral_maxima,geral__coeficiente_de_arrasto_cx,geral__diametro_minimo_de_giro,geral__potencia,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque,geral__tuchos,geral__cacamba,geral__variacao_do_comando,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__estepe,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__portamalas7_lugares,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__portamalas_8_lugares,geral__autonomia_eletrica,geral__capacidade_da_bateria,geral__consumo_eletrico,geral__potencia_combinada,geral__torque_combinado,geral__veloc_max_modo_elet,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__velocidade_maxima_em_modo_eletrico,geral__potencia_de_recarga,geral__pesopotencia_sistema,geral__pesotorque_sistema
land-rover,Defender,defender,defender-110-sw-2-5-turbo-1996,defender-110-sw-2-5-turbo-1996,https://www.fichacompleta.com.br/carros/land-rover/defender-110-sw-2-5-turbo-1996,2026-06-20T20:04:48.003007,Land Rover Defender 110 SW 2.5 Turbo 1996,"20,1 s",129 km/h,Correia dentada,Injeção direta,Turbocompressor,624 cm³,4 em linha,300Tdi,Único no bloco,97 mm,2495 cm³,"90,47 mm",Longitudinal,Dianteiro,"18,20 kg/cv","74,8 kg/kgfm","44,5 cv/litro",11 cv,"19,5:1",3800 rpm,1800 rpm,4600 rpm,"10,8 kgfm/litro",27 kgfm,2,Embreagem monodisco a seco,Manual,R380,5,Integral permanente,2035 mm,215 mm,28 graus,50 graus,35 graus,1486 mm,1486 mm,1030 kg,4599 mm,2794 mm,30 graus,1790 mm,2020 kg,263 litros,45 graus,3500 kg,750 kg,82 litros,500 mm,174 mm,Disco ventilado,Disco sólido,"3,1 m²","2,015 m²","0,65",Hidráulica,"13,4 m",Eixo rígido,Mola helicoidal,Eixo rígido,730 km,590 km,"8,9 km/l","7,2 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-rover,Defender,defender,defender-110-sw-2-5-turbo-1997,defender-110-sw-2-5-turbo-1997,https://www.fichacompleta.com.br/carros/land-rover/defender-110-sw-2-5-turbo-1997,2026-06-20T20:04:51.438361,Land Rover Defender 110 SW 2.5 Turbo 1997,"20,1 s",129 km/h,,Injeção direta,Turbocompressor,,4 em linha,300TDi,no bloco,,,,Longitudinal,Dianteiro,"17,9 kg/cv","75,1 kg/kgfm","45,3 cv/litro",113 cv a 4000 rpm,"19,5:1",,,,"10,8 kgfm/litro",27 kgfm a 1800 rpm,2,Embreagem monodisco a seco,Manual,R380,,Integral permanente,2035 mm,,28 graus,50 graus,35 graus,1486 mm,1486 mm,920 kg,4599 mm,2794 mm,,1790 mm,2028 kg,263 litros,45 graus,3500 kg,750 kg,80 litros,500 mm,174 mm,205/85 R16,Disco sólido,"3,1 m²",,,Hidráulica,,Eixo rígido,Mola helicoidal,Eixo rígido,712 km,576 km,"8,9 km/l","7,2 km/l",5,2495 cm³,97 mm,"90,47 mm",30 graus,"0,65","13,4 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-rover,Defender,defender,defender-90-sw-2-5-turbo-1997,defender-90-sw-2-5-turbo-1997,https://www.fichacompleta.com.br/carros/land-rover/defender-90-sw-2-5-turbo-1997,2026-06-20T20:04:56.067658,Land Rover Defender 90 SW 2.5 Turbo 1997,20 s,130 km/h,,Injeção direta,Turbocompressor,,4 em linha,300TDi,Único no bloco,97 mm,,"90,47 mm",Longitudinal,Dianteiro,"16,2 kg/cv","66,5 kg/kgfm","44,5 cv/litro",,"19,5:1",,,4600 rpm,"10,8 kgfm/litro",,2,Embreagem monodisco a seco,Manual,R380,5,Integral permanente,1960 mm,215 mm,28 graus,50 graus,52 graus,1486 mm,1486 mm,605 kg,3883 mm,2360 mm,30 graus,1790 mm,1795 kg,150 litros,45 graus,3500 kg,750 kg,54 litros,500 mm,174 mm,Disco ventilado,Disco sólido,,,,Hidráulica,"12,3 m",Eixo rígido,Mola helicoidal,Eixo rígido,497 km,405 km,"9,2 km/l","7,5 km/l",,2495 cm³,,,,,,111 cv,3800 rpm,1800 rpm,27 kgfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-rover,Defender,defender,defender-110-sw-2-5-turbo-1998,defender-110-sw-2-5-turbo-1998,https://www.fichacompleta.com.br/carros/land-rover/defender-110-sw-2-5-turbo-1998,2026-06-20T20:04:59.789788,Land Rover Defender 110 SW 2.5 Turbo 1998,"20,1 s",129 km/h,,Injeção direta,Turbocompressor,,4 em linha,300TDi,Único no bloco,97 mm,,"90,47 mm",Longitudinal,Dianteiro,"18,2 kg/cv","74,8 kg/kgfm","44,5 cv/litro",111 cv,"19,5:1",3800 rpm,1800 rpm,4600 rpm,"10,8 kgfm/litro",27 kgfm,2,Embreagem monodisco a seco,Manual,R380,5,Integral permanente,2035 mm,215 mm,28 graus,50 graus,35 graus,1486 mm,1486 mm,1030 kg,4599 mm,2794 mm,30 graus,1790 mm,2020 kg,263 litros,45 graus,3500 kg,750 kg,82 litros,500 mm,174 mm,Disco ventilado,Disco sólido,"3,1 m²","2,015 m²","0,65",Hidráulica,"13,4 m",Eixo rígido,Mola helicoidal,Eixo rígido,730 km,590 km,"8,9 km/l","7,2 km/l",,2495 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-rover,Defender,defender,defender-90-sw-2-5-turbo-1998,defender-90-sw-2-5-turbo-1998,https://www.fichacompleta.com.br/carros/land-rover/defender-90-sw-2-5-turbo-1998,2026-06-20T20:05:02.965468,Land Rover Defender 90 SW 2.5 Turbo 1998,20 s,130 km/h,,Injeção direta,Turbocompressor,,4 em linha,300TDi,Único no bloco,97 mm,,"90,47 mm",Longitudinal,Dianteiro,"16,2 kg/cv","66,5 kg/kgfm","44,5 cv/litro",,"19,5:1",,,4600 rpm,"10,8 kgfm/litro",,2,Embreagem monodisco a seco,Manual,R380,5,Integral permanente,1960 mm,215 mm,28 graus,50 graus,52 graus,1486 mm,1486 mm,605 kg,3883 mm,2360 mm,30 graus,1790 mm,1795 kg,150 litros,45 graus,3500 kg,750 kg,54 litros,500 mm,174 mm,Disco ventilado,Disco sólido,,,,Hidráulica,"12,3 m",Eixo rígido,Mola helicoidal,Eixo rígido,497 km,405 km,"9,2 km/l","7,5 km/l",,2495 cm³,,,,,,111 cv,3800 rpm,1800 rpm,27 kgfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-rover,Defender,defender,defender-110-sw-2-5-turbo-1999,defender-110-sw-2-5-turbo-1999,https://www.fichacompleta.com.br/carros/land-rover/defender-110-sw-2-5-turbo-1999,2026-06-20T20:05:06.134362,Land Rover Defender 110 SW 2.5 Turbo 1999,"18,7 s",140 km/h,,Injeção direta,Turbocompressor,,4 em linha,Maxion HS,"Único no cabeçote, correia dentada",97 mm,,"90,74 mm",Longitudinal,Dianteiro,"17,6 kg/cv","68,5 kg/kgfm","45,8 cv/litro",115 cv a 3800 rpm,"19,5:1",,,4640 rpm,"11,8 kgfm/litro","29,6 kgfm a 1600 rpm",2,Embreagem monodisco a seco,Manual,,,Integral permanente,2060 mm,215 mm,28 graus,51 graus,34 graus,1486 mm,1486 mm,920 kg,4599 mm,2794 mm,,1790 mm,2028 kg,263 litros,45 graus,,,75 litros,500 mm,200 mm,Disco ventilado,Disco sólido,,,,Hidráulica,,Eixo rígido,Mola helicoidal,Eixo rígido,668 km,540 km,"8,9 km/l","7,2 km/l",5,2509 cm³,,,30 graus,,"14,4 m",,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-rover,Defender,defender,defender-90-sw-2-5-turbo-1999,defender-90-sw-2-5-turbo-1999,https://www.fichacompleta.com.br/carros/land-rover/defender-90-sw-2-5-turbo-1999,2026-06-20T20:05:10.199916,Land Rover Defender 90 SW 2.5 Turbo 1999,"16,2 s",140 km/h,,Injeção direta,Turbocompressor,,4 em linha,Maxion HS,"Único no cabeçote, correia dentada",97 mm,,"90,74 mm",Longitudinal,Dianteiro,"15,6 kg/cv","60,6 kg/kgfm","45,8 cv/litro",115 cv a 3800 rpm,"19,5:1",,,4640 rpm,"11,8 kgfm/litro","29,6 kgfm a 1600 rpm",2,Embreagem monodisco a seco,Manual,,,Integral permanente,1972 mm,215 mm,39 graus,51 graus,53 graus,1486 mm,1486 mm,755 kg,3883 mm,2360 mm,,1790 mm,1795 kg,150 litros,45 graus,,,60 litros,500 mm,200 mm,Disco ventilado,Disco sólido,,,,Hidráulica,,Eixo rígido,Mola helicoidal,Eixo rígido,600 km,450 km,10 km/l,"7,5 km/l",5,2509 cm³,,,30 graus,,"12,3 m",,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-rover,Defender,defender,defender-110-hcpu-2-5-turbo-cs-2000,defender-110-hcpu-2-5-turbo-cs-2000,https://www.fichacompleta.com.br/carros/land-rover/defender-110-hcpu-2-5-turbo-cs-2000,2026-06-20T20:05:14.907654,Land Rover Defender 110 HCPU 2.5 Turbo CS 2000,"18,7 s",140 km/h,Correia dentada,Injeção direta,Turbocompressor,,4 em linha,Maxion HS,Único no cabeçote,97 mm,,"90,74 mm",Longitudinal,Dianteiro,"16,7 kg/cv","64,9 kg/kgfm","45,8 cv/litro",,"19,5:1",,,4640 rpm,"11,8 kgfm/litro",,2,Embreagem monodisco a seco,Manual,,5,Integral permanente,2060 mm,215 mm,28 graus,50 graus,35 graus,1486 mm,1486 mm,1130 kg,4631 mm,2794 mm,30 graus,1790 mm,1920 kg,,45 graus,3500 kg,750 kg,80 litros,500 mm,200 mm,Disco ventilado,Disco sólido,,,,Hidráulica,"14,4 m",Eixo rígido,Mola helicoidal,Eixo rígido,720 km,560 km,9 km/l,7 km/l,,2509 cm³,,,,,,115 cv,3800 rpm,1600 rpm,"29,6 kgfm",Mecânicos,950 litros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-rover,Defender,defender,defender-110-sw-2-5-turbo-2000,defender-110-sw-2-5-turbo-2000,https://www.fichacompleta.com.br/carros/land-rover/defender-110-sw-2-5-turbo-2000,2026-06-20T20:05:19.251367,Land Rover Defender 110 SW 2.5 Turbo 2000,"18,7 s",140 km/h,Correia dentada,Injeção direta,Turbocompressor,,4 em linha,Maxion HS,Único no cabeçote,97 mm,,"90,74 mm",Longitudinal,Dianteiro,"17,6 kg/cv","68,5 kg/kgfm","45,8 cv/litro",115 cv,"19,5:1",3800 rpm,1600 rpm,4640 rpm,"11,8 kgfm/litro","29,6 kgfm",2,Embreagem monodisco a seco,Manual,,5,Integral permanente,2060 mm,215 mm,28 graus,51 graus,34 graus,1486 mm,1486 mm,920 kg,4599 mm,2794 mm,30 graus,1790 mm,2028 kg,263 litros,45 graus,,,75 litros,500 mm,200 mm,Disco ventilado,Disco sólido,,,,Hidráulica,"14,4 m",Eixo rígido,Mola helicoidal,Eixo rígido,668 km,540 km,"8,9 km/l","7,2 km/l",,2509 cm³,,,,,,,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-rover,Defender,defender,defender-90-csw-2-5-turbo-2000,defender-90-csw-2-5-turbo-2000,https://www.fichacompleta.com.br/carros/land-rover/defender-90-csw-2-5-turbo-2000,2026-06-20T20:05:22.356247,Land Rover Defender 90 CSW 2.5 Turbo 2000,"16,2 s",140 km/h,Correia dentada,Injeção direta,Turbocompressor,,4 em linha,Maxion HS,Único no cabeçote,97 mm,,"90,74 mm",Longitudinal,Dianteiro,"15,6 kg/cv","60,6 kg/kgfm","45,8 cv/litro",115 cv,"19,5:1",3800 rpm,1600 rpm,4640 rpm,"11,8 kgfm/litro","29,6 kgfm",2,Embreagem monodisco a seco,Manual,,5,Integral permanente,1972 mm,215 mm,39 graus,51 graus,53 graus,1486 mm,1486 mm,755 kg,3883 mm,2360 mm,30 graus,1790 mm,1795 kg,150 litros,45 graus,,,60 litros,500 mm,200 mm,Disco ventilado,Disco sólido,,,,Hidráulica,"12,3 m",Eixo rígido,Mola helicoidal,Eixo rígido,600 km,450 km,10 km/l,"7,5 km/l",,2509 cm³,,,,,,,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
