marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__rotacao_maxima,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque_especifico,geral__torque_maximo,geral__tuchos,geral__valvulas_por_cilindro,geral__acoplamento,geral__cambio,geral__marchas,geral__quantidade_de_marchas,geral__tracao,geral__altura,geral__bitola_dianteira,geral__bitola_traseira,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__assistencia,geral__diametro_de_giro,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__regime_potencia_max,geral__regime_torque_max,geral__potencia,geral__torque,geral__carga_util,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__altura_minima_do_solo,geral__variacao_do_comando,geral__codigo_do_cambio,geral__reboque_com_freio,geral__reboque_sem_freio,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__cilindrada_unitaria,geral__deslocamento,geral__estepe,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__cacamba,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__rampa_maxima,geral__travessia_de_agua,geral__inclinacao_lateral_maxima,geral__inclinacao_lateral_max,geral__autonomia_eletrica,geral__capacidade_da_bateria,geral__potencia_combinada,geral__torque_combinado,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__potencia_de_recarga,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g
mitsubishi,3000 Gt,3000-gt,3000-gt-vr-4-3-0-biturbo-1991,3000-gt-vr-4-3-0-biturbo-1991,https://www.fichacompleta.com.br/carros/mitsubishi/3000-gt-vr-4-3-0-biturbo-1991,2026-06-15T18:55:44.576714,Mitsubishi 3000 Gt VR-4 3.0 biturbo 1991,"6,7 s",250 km/h,Correia dentada,Injeção multiponto,Turbocompressor,2972 cm³,6 em V,6G72,Duplo no cabeçote,76 mm,"91,1 mm",Transversal,Dianteiro,"5,7 kg/cv","40,3 kg/kgfm","100,9 cv/litro",300 cv,8:1,7200 rpm,6000 rpm,2500 rpm,"14,2 kgfm/litro","42,2 kgfm",Hidráulicos,4,Embreagem monodisco a seco,Manual,5,5,Integral permanente,1285 mm,1560 mm,1580 mm,4585 mm,2470 mm,1840 mm,1700 kg,172 litros,75 litros,110 mm,Disco ventilado,Disco ventilado,"2,01 m²","0,663 m²","0,33","0,33",Hidráulica,"11,4 m","11,4 m","Indep., McPherson",Mola helicoidal,"Indep., braços sobrepostos",818 km,480 km,"10,9 km/l","6,4 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,3000 Gt,3000-gt,3000-gt-vr-4-3-0-biturbo-1992,3000-gt-vr-4-3-0-biturbo-1992,https://www.fichacompleta.com.br/carros/mitsubishi/3000-gt-vr-4-3-0-biturbo-1992,2026-06-15T18:55:48.698113,Mitsubishi 3000 Gt VR-4 3.0 biturbo 1992,"6,7 s",250 km/h,Correia dentada,Injeção multiponto,Turbocompressor,2972 cm³,6 em V,6G72,Duplo no cabeçote,76 mm,"91,1 mm",Transversal,Dianteiro,"5,7 kg/cv","40,3 kg/kgfm","100,9 cv/litro",300 cv,8:1,7200 rpm,,,"14,2 kgfm/litro","42,2 kgfm",Hidráulicos,4,Embreagem monodisco a seco,Manual,5,,Integral permanente,1285 mm,1560 mm,1580 mm,4585 mm,2470 mm,1840 mm,1700 kg,172 litros,75 litros,110 mm,Disco ventilado,Disco ventilado,"2,01 m²","0,663 m²","0,33",,Hidráulica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., braços sobrepostos",818 km,480 km,"10,9 km/l","6,4 km/l",6000 rpm,2500 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,3000 Gt,3000-gt,3000-gt-vr-4-3-0-biturbo-1993,3000-gt-vr-4-3-0-biturbo-1993,https://www.fichacompleta.com.br/carros/mitsubishi/3000-gt-vr-4-3-0-biturbo-1993,2026-06-15T18:55:51.746444,Mitsubishi 3000 Gt VR-4 3.0 biturbo 1993,"6,7 s",250 km/h,Correia dentada,Injeção multiponto,Turbocompressor,2972 cm³,6 em V,6G72,Duplo no cabeçote,76 mm,"91,1 mm",Transversal,Dianteiro,"5,7 kg/cv","40,3 kg/kgfm","100,9 cv/litro",300 cv,8:1,7200 rpm,,,"14,2 kgfm/litro","42,2 kgfm",Hidráulicos,4,Embreagem monodisco a seco,Manual,5,,Integral permanente,1285 mm,1560 mm,1580 mm,4585 mm,2470 mm,1840 mm,1700 kg,172 litros,75 litros,110 mm,Disco ventilado,Disco ventilado,"2,01 m²","0,663 m²","0,33",,Hidráulica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., braços sobrepostos",818 km,480 km,"10,9 km/l","6,4 km/l",6000 rpm,2500 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,3000 Gt,3000-gt,3000-gt-vr-4-3-0-biturbo-1994,3000-gt-vr-4-3-0-biturbo-1994,https://www.fichacompleta.com.br/carros/mitsubishi/3000-gt-vr-4-3-0-biturbo-1994,2026-06-15T18:55:54.952182,Mitsubishi 3000 Gt VR-4 3.0 biturbo 1994,"6,5 s",250 km/h,Correia dentada,Injeção multiponto,Turbocompressor,2972 cm³,6 em V,6G72,Duplo no cabeçote,76 mm,"91,1 mm",Transversal,Dianteiro,"5,2 kg/cv","38,2 kg/kgfm","107,7 cv/litro",320 cv,8:1,7200 rpm,6000 rpm,2500 rpm,"14,6 kgfm/litro","43,5 kgfm",Hidráulicos,4,Embreagem monodisco a seco,Manual,6,,Integral permanente,1285 mm,1560 mm,1580 mm,4585 mm,2470 mm,1840 mm,1660 kg,172 litros,75 litros,98 mm,Disco ventilado,Disco ventilado,"2,01 m²","0,663 m²","0,33",,Hidráulica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., braços sobrepostos",818 km,480 km,"10,9 km/l","6,4 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,3000 Gt,3000-gt,3000-gt-vr-4-3-0-biturbo-1995,3000-gt-vr-4-3-0-biturbo-1995,https://www.fichacompleta.com.br/carros/mitsubishi/3000-gt-vr-4-3-0-biturbo-1995,2026-06-15T18:55:58.237932,Mitsubishi 3000 Gt VR-4 3.0 biturbo 1995,"6,5 s",250 km/h,,Injeção multiponto,Turbocompressor,2972 cm³,6 em V,6G72,"Duplo no cabeçote, correia dentada",76 mm,"91,1 mm",Transversal,Dianteiro,"5,2 kg/cv","38,2 kg/kgfm","107,7 cv/litro",320 cv a 6000 rpm,8:1,7200 rpm,,,"14,6 kgfm/litro","43,5 kgfm a 2500 rpm",Hidráulicos,4,Embreagem monodisco a seco,Manual,,6,Integral permanente,1285 mm,1560 mm,1580 mm,4585 mm,2470 mm,1840 mm,1660 kg,172 litros,75 litros,98 mm,Disco ventilado,Disco ventilado,"2,01 m²","0,663 m²",,"0,33",Hidráulica,,"11,4 m","Independente, McPherson",Mola helicoidal,"Independente, braços sobrepostos",818 km,480 km,"10,9 km/l","6,4 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,3000 Gt,3000-gt,3000-gt-vr-4-3-0-biturbo-1998,3000-gt-vr-4-3-0-biturbo-1998,https://www.fichacompleta.com.br/carros/mitsubishi/3000-gt-vr-4-3-0-biturbo-1998,2026-06-15T18:56:02.434997,Mitsubishi 3000 Gt VR-4 3.0 biturbo 1998,"5,9 s",250 km/h,Correia dentada,Injeção multiponto,Turbocompressor,2972 cm³,6 em V,6G72,Duplo no cabeçote,76 mm,"91,1 mm",Transversal,Dianteiro,"5,7 kg/cv","39,8 kg/kgfm","102,6 cv/litro",,8:1,7200 rpm,6000 rpm,2500 rpm,"14,6 kgfm/litro",,Hidráulicos,4,Embreagem monodisco a seco,Manual,6,,Integral permanente,1285 mm,1560 mm,1580 mm,4570 mm,2470 mm,1840 mm,1730 kg,165 litros,75 litros,98 mm,Disco ventilado,Disco ventilado,"2,01 m²","0,663 m²","0,33",,Hidráulica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., braços sobrepostos",758 km,450 km,"10,1 km/l",6 km/l,,,305 cv,"43,5 kgfm",390 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,Airtrek,airtrek,airtrek-2-4-2003,airtrek-2-4-2003,https://www.fichacompleta.com.br/carros/mitsubishi/airtrek-2-4-2003,2026-06-15T18:56:28.288303,Mitsubishi Airtrek 2.4 2003,"13,5 s",175 km/h,,Injeção multiponto,Natural,2351 cm³,4 em linha,,Único no cabeçote,100 mm,"86,5 mm",Transversal,Dianteiro,"11,3 kg/cv","73,2 kg/kgfm","57,8 cv/litro",136 cv,9:1,6250 rpm,5000 rpm,2500 rpm,"8,9 kgfm/litro","20,9 kgfm",,4,Conversor de torque,Automático,4,4,Integral permanente,1600 mm,1495 mm,1505 mm,4545 mm,2625 mm,1750 mm,1530 kg,402 litros,60 litros,129 mm,Disco ventilado,Tambor,,,,,Hidráulica,"11,4 m","11,4 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",570 km,450 km,"9,5 km/l","7,5 km/l",,,,,450 kg,"20,7 graus","21,4 graus","22,2 graus",205 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,Airtrek,airtrek,airtrek-2-4-2004,airtrek-2-4-2004,https://www.fichacompleta.com.br/carros/mitsubishi/airtrek-2-4-2004,2026-06-15T18:56:32.344454,Mitsubishi Airtrek 2.4 2004,"13,5 s",175 km/h,,Injeção multiponto,Natural,2351 cm³,4 em linha,,Único no cabeçote,100 mm,"86,5 mm",Transversal,Dianteiro,"11,3 kg/cv","73,2 kg/kgfm","57,8 cv/litro",136 cv a 5000 rpm,9:1,6250 rpm,,,"8,9 kgfm/litro","20,9 kgfm a 2500 rpm",,4,Conversor de torque,Automático,,4,Integral permanente,1600 mm,1495 mm,1505 mm,4545 mm,2625 mm,1750 mm,1530 kg,402 litros,60 litros,129 mm,Disco ventilado,Tambor,,,,,Hidráulica,,"11,4 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",570 km,450 km,"9,5 km/l","7,5 km/l",,,,,450 kg,"20,7 graus","21,4 graus","22,2 graus",205 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,Airtrek,airtrek,airtrek-2-4-2005,airtrek-2-4-2005,https://www.fichacompleta.com.br/carros/mitsubishi/airtrek-2-4-2005,2026-06-15T18:56:36.353545,Mitsubishi Airtrek 2.4 2005,12 s,190 km/h,,Injeção multiponto,Natural,2351 cm³,4 em linha,,Único no cabeçote,100 mm,"86,5 mm",Transversal,Dianteiro,"9,5 kg/cv","69,2 kg/kgfm","69,3 cv/litro",163 cv a 5750 rpm,"9,5:1",6250 rpm,,,"9,5 kgfm/litro","22,4 kgfm a 4000 rpm",,4,Conversor de torque,Automático,,4,Integral permanente,1630 mm,1495 mm,1505 mm,4545 mm,2625 mm,1780 mm,1550 kg,402 litros,60 litros,129 mm,Disco ventilado,Disco sólido,,,,,Hidráulica,,"11,4 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",540 km,420 km,9 km/l,7 km/l,,,,,450 kg,"20,7 graus","21,4 graus","22,2 graus",205 mm,Admissão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,Airtrek,airtrek,airtrek-2-0-turbo-2006,airtrek-2-0-turbo-2006,https://www.fichacompleta.com.br/carros/mitsubishi/airtrek-2-0-turbo-2006,2026-06-15T18:56:39.640616,Mitsubishi Airtrek 2.0 Turbo 2006,"7,1 s",190 km/h,,Injeção multiponto,Turbocompressor,1997 cm³,4 em linha,4G63T,Duplo no cabeçote,88 mm,85 mm,Transversal,Dianteiro,"6,6 kg/cv","45,4 kg/kgfm","120,2 cv/litro",240 cv,"8,5:1",,,,"17,5 kgfm/litro",35 kgfm,,4,Conversor de torque,Automático,5,,Integral permanente,1630 mm,1495 mm,1505 mm,4545 mm,2625 mm,1780 mm,1590 kg,402 litros,60 litros,129 mm,Disco ventilado,Disco sólido,,,,,Hidráulica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",540 km,360 km,9 km/l,6 km/l,5500 rpm,2500 rpm,,,,"20,7 graus","21,4 graus","22,2 graus",205 mm,,F5A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,Airtrek,airtrek,airtrek-2-4-2006,airtrek-2-4-2006,https://www.fichacompleta.com.br/carros/mitsubishi/airtrek-2-4-2006,2026-06-15T18:56:42.143375,Mitsubishi Airtrek 2.4 2006,12 s,190 km/h,,Injeção multiponto,Natural,2351 cm³,4 em linha,,Único no cabeçote,100 mm,"86,5 mm",Transversal,Dianteiro,"9,5 kg/cv","69,2 kg/kgfm","69,3 cv/litro",163 cv,"9,5:1",6250 rpm,5750 rpm,4000 rpm,"9,5 kgfm/litro","22,4 kgfm",,4,Conversor de torque,Automático,4,4,Integral permanente,1630 mm,1495 mm,1505 mm,4545 mm,2625 mm,1780 mm,1550 kg,402 litros,60 litros,129 mm,Disco ventilado,Disco sólido,,,,,Hidráulica,"11,4 m","11,4 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",540 km,420 km,9 km/l,7 km/l,,,,,450 kg,"20,7 graus","21,4 graus","22,2 graus",205 mm,Admissão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,Airtrek,airtrek,airtrek-2-4-2007,airtrek-2-4-2007,https://www.fichacompleta.com.br/carros/mitsubishi/airtrek-2-4-2007,2026-06-15T18:56:47.135135,Mitsubishi Airtrek 2.4 2007,12 s,190 km/h,,Injeção multiponto,Natural,2351 cm³,4 em linha,,Único no cabeçote,100 mm,"86,5 mm",Transversal,Dianteiro,"9,5 kg/cv","69,2 kg/kgfm","69,3 cv/litro",163 cv a 5750 rpm,"9,5:1",6250 rpm,,,"9,5 kgfm/litro","22,4 kgfm a 4000 rpm",,4,Conversor de torque,Automático,,4,Integral permanente,1630 mm,1495 mm,1505 mm,4545 mm,2625 mm,1780 mm,1550 kg,402 litros,60 litros,129 mm,Disco ventilado,Disco sólido,,,,,Hidráulica,,"11,4 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",540 km,420 km,9 km/l,7 km/l,,,,,450 kg,"20,7 graus","21,4 graus","22,2 graus",205 mm,Admissão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,Airtrek,airtrek,airtrek-2-4-2008,airtrek-2-4-2008,https://www.fichacompleta.com.br/carros/mitsubishi/airtrek-2-4-2008,2026-06-15T18:56:51.270192,Mitsubishi Airtrek 2.4 2008,12 s,190 km/h,,Injeção multiponto,Natural,2351 cm³,4 em linha,,Único no cabeçote,100 mm,"86,5 mm",Transversal,Dianteiro,"9,5 kg/cv","69,2 kg/kgfm","69,3 cv/litro",163 cv a 5750 rpm,"9,5:1",6250 rpm,,,"9,5 kgfm/litro","22,4 kgfm a 4000 rpm",,4,Conversor de torque,Automático,,4,Integral permanente,1630 mm,1495 mm,1505 mm,4545 mm,2625 mm,1780 mm,1550 kg,402 litros,60 litros,129 mm,Disco ventilado,Disco sólido,,,,,Hidráulica,,"11,4 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",540 km,420 km,9 km/l,7 km/l,,,,,450 kg,"20,7 graus","21,4 graus","22,2 graus",205 mm,Admissão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsubishi,Asx,asx,asx-2-0-4x2-at-2011,asx-2-0-4x2-at-2011,https://www.fichacompleta.com.br/carros/mitsubishi/asx-2-0-4x2-at-2011,2026-06-15T18:57:08.683224,Mitsubishi Asx 2.0 4x2 AT 2011,"11,5 s",190 km/h,,Injeção multiponto,Natural,1998 cm³,4 em linha,4B11,"Duplo no cabeçote, corrente",86 mm,86 mm,Transversal,Dianteiro,"8,6 kg/cv","68,4 kg/kgfm","80,1 cv/litro",160 cv a 6000 rpm,10:1,,,,"10,1 kgfm/litro","20,1 kgfm a 4200 rpm",,4,Conversor de torque,CVT,,6,Dianteira,1625 mm,1525 mm,1525 mm,4295 mm,2670 mm,1770 mm,1375 kg,415 litros,63 litros,129 mm,Disco ventilado,Disco sólido,"2,44 m²","0,805 m²",,"0,33",Elétrica,,"10,6 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",617 km,548 km,"9,8 km/l","8,7 km/l",,,,,595 kg,,,,195 mm,Admissão e escape,,1100 kg,500 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
