marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__rotacao_maxima,geral__torque_especifico,geral__torque_maximo,geral__tuchos,geral__valvulas_por_cilindro,geral__variacao_do_comando,geral__altura,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__bitola_dianteira,geral__bitola_traseira,geral__cacamba,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__reboque_com_freio,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__estepe,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__altura_minima_do_solo,geral__quantidade_de_marchas,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__portamalas,geral__diametro_minimo_de_giro,geral__cilindrada_unitaria,geral__deslocamento,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__acionam_do_comando,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__potencia,geral__torque,erro
ram,1500,1500,1500-rebel-5-7-v8-cd-2021,1500-rebel-5-7-v8-cd-2021,https://www.fichacompleta.com.br/carros/ram/1500-rebel-5-7-v8-cd-2021,2026-06-20T20:45:46.851303,Ram 1500 Rebel 5.7 V8 CD 2021,"6,4 s",174 km/h,Conversor de torque,Automático,ZF 8HP,8,Integral temporária,Injeção multiponto,Natural,5654 cm³,8 em V,Hemi,Único no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"6,5 kg/cv","46,0 kg/kgfm","70,7 cv/litro",400 cv,"10,5:1",5600 rpm,3950 rpm,5800 rpm,"10,0 kgfm/litro","56,7 kgfm",Hidráulicos,2,Admissão,2012 mm,"19,1 graus","25,1 graus","22,6 graus",1741 mm,1729 mm,1200 litros,610 kg,5929 mm,3672 mm,2084 mm,2610 kg,5062 kg,98 litros,179 mm,Disco ventilado,275/65 R18,Disco sólido,Elétrica,"14,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,647 km,519 km,"6,6 km/l","5,3 km/l",249 mm,,,,,,,,,,,,,,,,,
ram,1500,1500,1500-rebel-night-edition-5-7-v8-cd-2021,1500-rebel-night-edition-5-7-v8-cd-2021,https://www.fichacompleta.com.br/carros/ram/1500-rebel-night-edition-5-7-v8-cd-2021,2026-06-20T20:45:50.690282,Ram 1500 Rebel Night Edition 5.7 V8 CD 2021,"6,4 s",174 km/h,Conversor de torque,Automático,ZF 8HP,,Integral temporária,Injeção multiponto,Natural,5654 cm³,8 em V,Hemi,no bloco,,,Longitudinal,Dianteiro,"6,5 kg/cv","46,0 kg/kgfm","70,7 cv/litro",400 cv a 5600 rpm,"10,5:1",,,,"10,0 kgfm/litro","56,7 kgfm a 3950 rpm",,2,Admissão,2012 mm,"19,1 graus","25,1 graus","22,6 graus",1741 mm,1729 mm,,610 kg,5929 mm,3672 mm,2084 mm,2610 kg,5062 kg,98 litros,179 mm,Disco ventilado,275/65 R18,Disco sólido,Elétrica,,"Independente, braços sobrepostos",Mola helicoidal,Eixo rígido,647 km,519 km,"6,6 km/l","5,3 km/l",249 mm,8,"90,9 mm","99,5 mm",1406 litros,"14,1 m",,,,,,,,,,,,
ram,1500,1500,1500-classic-laie-5-7-v8-2022,1500-classic-laie-5-7-v8-2022,https://www.fichacompleta.com.br/carros/ram/1500-classic-laie-5-7-v8-2022,2026-06-20T20:45:53.833096,Ram 1500 Classic Laie 5.7 V8 2022,"7,7 s",174 km/h,Conversor de torque,Automático,Torqueflite 8HP75,8,Integral temporária,Injeção multiponto,Natural,,8 em V,Hemi,Único no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"6,38 kg/cv","45,0 kg/kgfm","70,7 cv/litro",400 cv,"10,5:1",5600 rpm,3950 rpm,5800 rpm,"10,0 kgfm/litro","56,7 kgfm",Hidráulicos,2,Admissão,1970 mm,"19,4 graus","18,3 graus","24,8 graus",1728 mm,1714 mm,1424 litros,531 kg,5816 mm,3570 mm,2017 mm,2553 kg,3534 kg,98 litros,165 mm,Disco ventilado,275/60 R20,Disco sólido,Elétrica,"12,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,627 km,510 km,"6,4 km/l","5,2 km/l",236 mm,,,,,,707 cm³,5654 cm³,,,,,,,,,,
ram,1500,1500,1500-classic-laie-night-edition-5-7-v8-2022,1500-classic-laie-night-edition-5-7-v8-2022,https://www.fichacompleta.com.br/carros/ram/1500-classic-laie-night-edition-5-7-v8-2022,2026-06-20T20:45:56.718578,Ram 1500 Classic Laie Night Edition 5.7 V8 2022,"7,7 s",174 km/h,Conversor de torque,Automático,Torqueflite 8HP75,8,Integral temporária,Injeção multiponto,Natural,,8 em V,Hemi,Único no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"6,38 kg/cv","45,0 kg/kgfm","70,7 cv/litro",400 cv,"10,5:1",5600 rpm,3950 rpm,5800 rpm,"10,0 kgfm/litro","56,7 kgfm",Hidráulicos,2,Admissão,1970 mm,"19,4 graus","18,3 graus","24,8 graus",1728 mm,1714 mm,1424 litros,531 kg,5816 mm,3570 mm,2017 mm,2553 kg,3534 kg,98 litros,165 mm,Disco ventilado,275/60 R20,Disco sólido,Elétrica,"12,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,627 km,510 km,"6,4 km/l","5,2 km/l",236 mm,,,,,,707 cm³,5654 cm³,,,,,,,,,,
ram,1500,1500,1500-limited-5-7-v8-2022,1500-limited-5-7-v8-2022,https://www.fichacompleta.com.br/carros/ram/1500-limited-5-7-v8-2022,2026-06-20T20:45:59.844648,Ram 1500 Limited 5.7 V8 2022,"7,7 s",174 km/h,Conversor de torque,Automático,Torqueflite 8HP75,8,Integral temporária,Injeção multiponto,Natural,,8 em V,Hemi,Único no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"6,73 kg/cv","47,5 kg/kgfm","70,7 cv/litro",400 cv,"10,5:1",5600 rpm,3950 rpm,5800 rpm,"10,0 kgfm/litro","56,7 kgfm",Hidráulicos,2,Admissão,1972 mm,"20,5 graus","23,5 graus",23 graus,1741 mm,1729 mm,1200 litros,528 kg,5916 mm,3670 mm,2085 mm,2692 kg,3647 kg,98 litros,128 mm,Disco ventilado,285/45 R22,Disco sólido,Elétrica,14 m,"Indep., braços sobrepostos",Mola pneumática,Eixo rígido,706 km,539 km,"7,2 km/l","5,5 km/l",262 mm,,,,,,707 cm³,5654 cm³,,,,,,,,,,
ram,1500,1500,1500-rebel-5-7-v8-cd-2022,1500-rebel-5-7-v8-cd-2022,https://www.fichacompleta.com.br/carros/ram/1500-rebel-5-7-v8-cd-2022,2026-06-20T20:46:04.059522,Ram 1500 Rebel 5.7 V8 CD 2022,"6,4 s",174 km/h,Conversor de torque,Automático,ZF 8HP,8,Integral temporária,Injeção multiponto,Natural,5654 cm³,8 em V,Hemi,Único no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"6,5 kg/cv","46,0 kg/kgfm","70,7 cv/litro",400 cv,"10,5:1",,,5800 rpm,"10,0 kgfm/litro","56,7 kgfm",Hidráulicos,2,Admissão,2012 mm,"19,1 graus","25,1 graus","22,6 graus",1741 mm,1729 mm,1200 litros,610 kg,5929 mm,3672 mm,2084 mm,2610 kg,5062 kg,98 litros,179 mm,Disco ventilado,275/65 R18,Disco sólido,Elétrica,"14,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,666 km,529 km,"6,8 km/l","5,4 km/l",249 mm,,,,1200 litros,,,,5600 rpm,3950 rpm,,,,,,,,
ram,1500,1500,1500-classic-laie-5-7-v8-2023,1500-classic-laie-5-7-v8-2023,https://www.fichacompleta.com.br/carros/ram/1500-classic-laie-5-7-v8-2023,2026-06-20T20:46:08.112553,Ram 1500 Classic Laie 5.7 V8 2023,"7,7 s",174 km/h,Conversor de torque,Automático,Torqueflite 8HP75,8,Integral temporária,Injeção multiponto,Natural,,8 em V,Hemi,Único no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"6,38 kg/cv","45,0 kg/kgfm","70,7 cv/litro",400 cv,"10,5:1",5600 rpm,3950 rpm,5800 rpm,"10,0 kgfm/litro","56,7 kgfm",Hidráulicos,2,Admissão,1970 mm,"19,4 graus","18,3 graus","24,8 graus",1728 mm,1714 mm,1424 litros,531 kg,5816 mm,3570 mm,2017 mm,2553 kg,3534 kg,98 litros,165 mm,Disco ventilado,275/60 R20,Disco sólido,Elétrica,"12,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,627 km,510 km,"6,4 km/l","5,2 km/l",236 mm,,,,,,707 cm³,5654 cm³,,,,,,,,,,
ram,1500,1500,1500-classic-laie-night-edition-5-7-v8-2023,1500-classic-laie-night-edition-5-7-v8-2023,https://www.fichacompleta.com.br/carros/ram/1500-classic-laie-night-edition-5-7-v8-2023,2026-06-20T20:46:11.870648,Ram 1500 Classic Laie Night Edition 5.7 V8 2023,"7,7 s",174 km/h,Conversor de torque,Automático,Torqueflite 8HP75,8,Integral temporária,Injeção multiponto,Natural,,8 em V,Hemi,Único no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"6,38 kg/cv","45,0 kg/kgfm","70,7 cv/litro",400 cv,"10,5:1",5600 rpm,3950 rpm,5800 rpm,"10,0 kgfm/litro","56,7 kgfm",Hidráulicos,2,Admissão,1970 mm,"19,4 graus","18,3 graus","24,8 graus",1728 mm,1714 mm,1424 litros,531 kg,5816 mm,3570 mm,2017 mm,2553 kg,3534 kg,98 litros,165 mm,Disco ventilado,275/60 R20,Disco sólido,Elétrica,"12,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,627 km,510 km,"6,4 km/l","5,2 km/l",236 mm,,,,,,707 cm³,5654 cm³,,,,,,,,,,
ram,1500,1500,1500-classic-r-t-5-7-v8-2023,1500-classic-r-t-5-7-v8-2023,https://www.fichacompleta.com.br/carros/ram/1500-classic-r-t-5-7-v8-2023,2026-06-20T20:46:16.354983,Ram 1500 Classic R/T 5.7 V8 2023,"7,7 s",174 km/h,Conversor de torque,Automático,Torqueflite 8HP75,8,Integral temporária,Injeção multiponto,Natural,,8 em V,Hemi,Único no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"6,38 kg/cv","45,0 kg/kgfm","70,7 cv/litro",400 cv,"10,5:1",5600 rpm,3950 rpm,5800 rpm,"10,0 kgfm/litro","56,7 kgfm",Hidráulicos,2,Admissão,1970 mm,"19,4 graus","18,3 graus","24,8 graus",1728 mm,1714 mm,1424 litros,531 kg,5816 mm,3570 mm,2017 mm,2553 kg,3534 kg,98 litros,165 mm,Disco ventilado,275/60 R20,Disco sólido,Elétrica,"12,1 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,627 km,510 km,"6,4 km/l","5,2 km/l",236 mm,,,,,,707 cm³,5654 cm³,,,,,,,,,,
ram,1500,1500,1500-limited-5-7-v8-2023,1500-limited-5-7-v8-2023,https://www.fichacompleta.com.br/carros/ram/1500-limited-5-7-v8-2023,2026-06-20T20:46:21.267373,Ram 1500 Limited 5.7 V8 2023,"7,7 s",174 km/h,Conversor de torque,Automático,Torqueflite 8HP75,8,Integral temporária,Injeção multiponto,Natural,,8 em V,Hemi,Único no bloco,"90,9 mm","99,5 mm",Longitudinal,Dianteiro,"6,73 kg/cv","47,5 kg/kgfm","70,7 cv/litro",400 cv,"10,5:1",5600 rpm,3950 rpm,5800 rpm,"10,0 kgfm/litro","56,7 kgfm",Hidráulicos,2,Admissão,1972 mm,"20,5 graus","23,5 graus",23 graus,1741 mm,1729 mm,1200 litros,528 kg,5916 mm,3670 mm,2085 mm,2692 kg,3647 kg,98 litros,128 mm,Disco ventilado,285/45 R22,Disco sólido,Elétrica,14 m,"Indep., braços sobrepostos",Mola pneumática,Eixo rígido,706 km,539 km,"7,2 km/l","5,5 km/l",262 mm,,,,,,707 cm³,5654 cm³,,,,,,,,,,
