marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia,geral__potencia_especifica,geral__razao_de_compressao,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque,geral__torque_especifico,geral__tuchos,geral__valvulas_por_cilindro,geral__acoplamento,geral__cambio,geral__marchas,geral__tracao,geral__altura,geral__bitola_dianteira,geral__bitola_traseira,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__potencia_maxima,geral__torque_maximo,geral__quantidade_de_marchas,geral__carga_util,geral__coeficiente_de_arrasto_cx,geral__diametro_minimo_de_giro,geral__regime_potencia_max,geral__regime_torque_max,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__altura_minima_do_solo,geral__cilindrada_unitaria,geral__deslocamento,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__rotacao_maxima,geral__torque_maximo_a,geral__torque_maximo_g,geral__variacao_do_comando,geral__viscosidade_do_oleo,geral__angulo_de_entrada,geral__angulo_de_saida,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__codigo_do_cambio,geral__angulo_central,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__estepe,geral__reboque_com_freio,geral__reboque_sem_freio,geral__autonomia,geral__capacidade_da_bateria,geral__potencia_de_recarga,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__consumo_eletrico,geral__cacamba
renault,19,19,19-rn-1-6-1994,19-rn-1-6-1994,https://www.fichacompleta.com.br/carros/renault/19-rn-1-6-1994,2026-06-15T19:49:51.061236,Renault 19 RN 1.6 1994,"15,9 s",164 km/h,Corrente,Injeção monoponto,Natural,1565 cm³,4 em linha,Cleon C3L,Único no bloco,84 mm,77 mm,Transversal,Dianteiro,"13,9 kg/cv","78,4 kg/kgfm",76 cv,"48,6 cv/litro",9:1,5000 rpm,2750 rpm,"13,5 kgfm","8,6 kgfm/litro",Mecânicos,2,Embreagem monodisco a seco,Manual,5,Dianteira,1412 mm,1426 mm,1417 mm,4162 mm,2544 mm,1696 mm,1058 kg,386 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,04 m²","0,632 m²","0,31",Hidráulica,"10,4 m","Indep., McPherson",Barra de torção,"Indep., braço arrastado",770 km,572 km,14 km/l,"10,4 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault,19,19,19-16s-1-8-16v-1995,19-16s-1-8-16v-1995,https://www.fichacompleta.com.br/carros/renault/19-16s-1-8-16v-1995,2026-06-15T19:49:53.647681,Renault 19 16S 1.8 16V 1995,"8,5 s",212 km/h,Correia dentada,Injeção multiponto,Natural,1764 cm³,4 em linha,F7P,Duplo no cabeçote,"83,5 mm",82 mm,Transversal,Dianteiro,"8,1 kg/cv","67,6 kg/kgfm",,"77,7 cv/litro",10:1,6500 rpm,4250 rpm,,"9,4 kgfm/litro",Hidráulicos,4,Embreagem monodisco a seco,Manual,5,Dianteira,1412 mm,1426 mm,1406 mm,4162 mm,2544 mm,1696 mm,1115 kg,386 litros,55 litros,98 mm,Disco ventilado,Disco sólido,"2,04 m²","0,632 m²","0,31",Hidráulica,"10,4 m","Indep., McPherson",Barra de torção,"Indep., braço arrastado",737 km,567 km,"13,4 km/l","10,3 km/l",137 cv,"16,5 kgfm",5,465 kg,"0,31","10,4 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault,19,19,19-16s-1-8-16v-1995-gasolina,19-16s-1-8-16v-1995-gasolina,https://www.fichacompleta.com.br/carros/renault/19-16s-1-8-16v-1995-gasolina,2026-06-15T19:49:56.520537,Renault 19 16S 1.8 16V 1995,"8,5 s",212 km/h,Correia dentada,Injeção multiponto,Natural,1764 cm³,4 em linha,F7P,Duplo no cabeçote,"83,5 mm",82 mm,Transversal,Dianteiro,"8,1 kg/cv","67,0 kg/kgfm",,"77,7 cv/litro",10:1,,,,"9,4 kgfm/litro",Hidráulicos,4,Embreagem monodisco a seco,Manual,5,Dianteira,1412 mm,1426 mm,1406 mm,4162 mm,2544 mm,1696 mm,1105 kg,386 litros,55 litros,98 mm,Disco ventilado,Disco sólido,"2,04 m²","0,632 m²","0,31",Hidráulica,"10,4 m","Indep., McPherson",Barra de torção,"Indep., braço arrastado",737 km,567 km,"13,4 km/l","10,3 km/l",137 cv,"16,5 kgfm",,465 kg,,,6500 rpm,4250 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault,19,19,19-rn-1-6-1995,19-rn-1-6-1995,https://www.fichacompleta.com.br/carros/renault/19-rn-1-6-1995,2026-06-15T19:49:59.434340,Renault 19 RN 1.6 1995,"15,9 s",164 km/h,,Injeção monoponto,Natural,1565 cm³,4 em linha,Cleon C3L,"no bloco, corrente",84 mm,77 mm,Transversal,Dianteiro,"14,9 kg/cv","81,9 kg/kgfm",,"47,3 cv/litro",9:1,,,,"8,6 kgfm/litro",Mecânicos,2,Embreagem monodisco a seco,Manual,,Dianteira,1412 mm,1426 mm,1406 mm,4162 mm,2544 mm,1696 mm,1105 kg,386 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,04 m²","0,632 m²",,Hidráulica,,"Independente, McPherson",Barra de torção,"Independente, braço arrastado",770 km,572 km,14 km/l,"10,4 km/l",74 cv a 5000 rpm,"13,5 kgfm a 2750 rpm",5,,"0,31","10,4 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault,19,19,19-rn-1-6-1995-gasolina,19-rn-1-6-1995-gasolina,https://www.fichacompleta.com.br/carros/renault/19-rn-1-6-1995-gasolina,2026-06-15T19:50:04.061715,Renault 19 RN 1.6 1995,"15,9 s",164 km/h,Corrente,Injeção monoponto,Natural,1565 cm³,4 em linha,Cleon C3L,Único no bloco,84 mm,77 mm,Transversal,Dianteiro,"13,9 kg/cv","78,4 kg/kgfm",,"48,6 cv/litro",9:1,,,,"8,6 kgfm/litro",Mecânicos,2,Embreagem monodisco a seco,Manual,5,Dianteira,1412 mm,1426 mm,1417 mm,4162 mm,2544 mm,1696 mm,1058 kg,386 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,04 m²","0,632 m²","0,31",Hidráulica,"10,4 m","Indep., McPherson",Barra de torção,"Indep., braço arrastado",770 km,572 km,14 km/l,"10,4 km/l",76 cv,"13,5 kgfm",,,,,5000 rpm,2750 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault,19,19,19-rt-1-8-1995,19-rt-1-8-1995,https://www.fichacompleta.com.br/carros/renault/19-rt-1-8-1995,2026-06-15T19:50:07.302660,Renault 19 RT 1.8 1995,"10,4 s",190 km/h,,Injeção multiponto,Natural,1794 cm³,4 em linha,F3P,"Único no cabeçote, correia dentada",,,Transversal,Dianteiro,"9,6 kg/cv","67,7 kg/kgfm",,"63,0 cv/litro","9,8:1",,,,"9,0 kgfm/litro",Mecânicos,2,Embreagem monodisco a seco,Manual,,Dianteira,1412 mm,1426 mm,1406 mm,4162 mm,2544 mm,1696 mm,1090 kg,386 litros,55 litros,114 mm,Disco ventilado,Tambor,"2,04 m²","0,632 m²",,Hidráulica,,"Independente, McPherson",Barra de torção,"Independente, braço arrastado",754 km,567 km,"13,7 km/l","10,3 km/l",113 cv a 5500 rpm,"16,1 kgfm a 4250 rpm",5,,"0,31","10,4 m",,,"83,5 mm","82,7 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault,19,19,19-16s-1-8-16v-1996,19-16s-1-8-16v-1996,https://www.fichacompleta.com.br/carros/renault/19-16s-1-8-16v-1996,2026-06-15T19:50:09.916920,Renault 19 16S 1.8 16V 1996,"8,5 s",212 km/h,,Injeção multiponto,Natural,1764 cm³,4 em linha,F7P,"Duplo no cabeçote, correia dentada",,,Transversal,Dianteiro,"8,1 kg/cv","67,6 kg/kgfm",,"77,7 cv/litro",10:1,,,,"9,4 kgfm/litro",Hidráulicos,4,,Manual,,Dianteira,1412 mm,1426 mm,1406 mm,4162 mm,2544 mm,1696 mm,1115 kg,386 litros,55 litros,98 mm,195/50 R15,Disco sólido,"2,04 m²",,,Hidráulica,,"Independente, McPherson",Barra de torção,"Independente, braço arrastado",737 km,567 km,"13,4 km/l","10,3 km/l",137 cv a 6500 rpm,"16,5 kgfm a 4250 rpm",5,465 kg,"0,31","10,4 m",,,"83,5 mm",82 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault,19,19,19-rn-1-6-1996,19-rn-1-6-1996,https://www.fichacompleta.com.br/carros/renault/19-rn-1-6-1996,2026-06-15T19:50:13.014463,Renault 19 RN 1.6 1996,"15,9 s",164 km/h,Corrente,Injeção monoponto,Natural,1565 cm³,4 em linha,Cleon C3L,Único no bloco,84 mm,77 mm,Transversal,Dianteiro,"13,9 kg/cv","78,4 kg/kgfm",76 cv,"48,6 cv/litro",9:1,5000 rpm,2750 rpm,"13,5 kgfm","8,6 kgfm/litro",Mecânicos,2,Embreagem monodisco a seco,Manual,5,Dianteira,1412 mm,1426 mm,1417 mm,4162 mm,2544 mm,1696 mm,1058 kg,386 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,04 m²","0,632 m²","0,31",Hidráulica,"10,4 m","Indep., McPherson",Barra de torção,"Indep., braço arrastado",770 km,572 km,14 km/l,"10,4 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault,19,19,19-rn-1-6-1996-gasolina,19-rn-1-6-1996-gasolina,https://www.fichacompleta.com.br/carros/renault/19-rn-1-6-1996-gasolina,2026-06-15T19:50:17.333464,Renault 19 RN 1.6 1996,"15,9 s",164 km/h,Corrente,Injeção monoponto,Natural,1565 cm³,4 em linha,Cleon C3L,Único no bloco,84 mm,77 mm,Transversal,Dianteiro,"14,5 kg/cv","81,9 kg/kgfm",,"48,6 cv/litro",9:1,,,,"8,6 kgfm/litro",Mecânicos,2,Embreagem monodisco a seco,Manual,5,Dianteira,1412 mm,1426 mm,1417 mm,4162 mm,2544 mm,1696 mm,1105 kg,386 litros,55 litros,123 mm,Disco ventilado,Tambor,"2,04 m²","0,632 m²","0,31",Hidráulica,"10,4 m","Indep., McPherson",Barra de torção,"Indep., braço arrastado",770 km,572 km,14 km/l,"10,4 km/l",76 cv,"13,5 kgfm",,,,,5000 rpm,2750 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault,19,19,19-rt-1-8-1996,19-rt-1-8-1996,https://www.fichacompleta.com.br/carros/renault/19-rt-1-8-1996,2026-06-15T19:50:19.984325,Renault 19 RT 1.8 1996,"10,4 s",190 km/h,Correia dentada,Injeção multiponto,Natural,1794 cm³,4 em linha,F3P,Único no cabeçote,"83,5 mm","82,7 mm",Transversal,Dianteiro,"9,6 kg/cv","67,7 kg/kgfm",,"63,0 cv/litro","9,8:1",,,,"9,0 kgfm/litro",Mecânicos,2,Embreagem monodisco a seco,Manual,5,Dianteira,1412 mm,1426 mm,1406 mm,4162 mm,2544 mm,1696 mm,1090 kg,386 litros,55 litros,114 mm,Disco ventilado,Tambor,"2,04 m²","0,632 m²","0,31",Hidráulica,"10,4 m","Indep., McPherson",Barra de torção,"Indep., braço arrastado",754 km,567 km,"13,7 km/l","10,3 km/l",113 cv,"16,1 kgfm",,,,,5500 rpm,4250 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
