marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__altura_minima_do_solo,geral__angulo_de_entrada,geral__angulo_de_saida,geral__bitola_dianteira,geral__bitola_traseira,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__travessia_de_agua,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__frenagem_1000_kmh,geral__cacamba,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__cilindrada_unitaria,geral__deslocamento,geral__quantidade_de_marchas,geral__diametro_minimo_de_giro,geral__potencia,geral__torque,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__estepe,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__tuchos,geral__variacao_do_comando,geral__acionam_do_comando,geral__capacidade_da_bateria,geral__potencia_combinada,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__codigo_do_cambio,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__viscosidade_do_oleo,geral__reboque_com_freio,geral__reboque_sem_freio,geral__pesopotencia_sistema,geral__rotacao_maxima,geral__inclinacao_lateral_max,geral__inclinacao_lateral_maxima,geral__angulo_central,geral__portamalas_com_5_lugares,geral__portamalas_com_8_lugares,geral__rampa_maxima,geral__portamalas_5_lugares,geral__portamalas_8_lugares,geral__portamalas_7_lugares,geral__portamalas_com_7_lugares,geral__torque_combinado,geral__autonomia_eletrica,geral__potencia_de_recarga,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g
toyota,Bandeirante,bandeirante,bandeirante-jipe-3-8-capota-aco-curto-1979,bandeirante-jipe-3-8-capota-aco-curto-1979,https://www.fichacompleta.com.br/carros/toyota/bandeirante-jipe-3-8-capota-aco-curto-1979,2026-06-14T16:13:43.165358,Toyota Bandeirante Jipe 3.8 Capota Aço Curto 1979,29 s,107 km/h,Embreagem monodisco a seco,Manual,4,Integral temporária,Injeção direta,Natural,3784 cm³,4 em linha,OM-314,Único no bloco,128 mm,97 mm,Longitudinal,Dianteiro,"17,9 kg/cv","65,8 kg/kgfm","25,2 cv/litro",953 cv,17:1,2800 rpm,1800 rpm,"6,9 kgfm/litro",26 kgfm,2,1920 mm,210 mm,40 graus,31 graus,1396 mm,1356 mm,420 kg,3835 mm,2285 mm,1665 mm,1710 kg,100 litros,50 litros,500 mm,172 mm,Tambor,Tambor,Não assistida,"10,6 m",Eixo rígido,Feixe de molas semielípticas,Eixo rígido,500 km,350 km,10 km/l,7 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota,Bandeirante,bandeirante,bandeirante-jipe-3-8-capota-lona-1979,bandeirante-jipe-3-8-capota-lona-1979,https://www.fichacompleta.com.br/carros/toyota/bandeirante-jipe-3-8-capota-lona-1979,2026-06-14T16:13:46.693680,Toyota Bandeirante Jipe 3.8 Capota Lona 1979,29 s,107 km/h,Embreagem monodisco a seco,Manual,4,Integral temporária,Injeção direta,Natural,3784 cm³,4 em linha,OM-314,Único no bloco,128 mm,97 mm,Longitudinal,Dianteiro,"16,6 kg/cv","60,8 kg/kgfm","25,2 cv/litro",953 cv,17:1,2800 rpm,1800 rpm,"6,9 kgfm/litro",26 kgfm,2,1950 mm,210 mm,40 graus,31 graus,1396 mm,1356 mm,420 kg,3835 mm,2285 mm,1665 mm,1580 kg,100 litros,50 litros,500 mm,172 mm,Tambor,Tambor,Não assistida,"10,6 m",Eixo rígido,Feixe de molas semielípticas,Eixo rígido,500 km,350 km,10 km/l,7 km/l,"82,2 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota,Bandeirante,bandeirante,bandeirante-picape-3-8-chassi-curto-cs-1979,bandeirante-picape-3-8-chassi-curto-cs-1979,https://www.fichacompleta.com.br/carros/toyota/bandeirante-picape-3-8-chassi-curto-cs-1979,2026-06-14T16:13:50.917642,Toyota Bandeirante Picape 3.8 Chassi Curto CS 1979,29 s,107 km/h,Embreagem monodisco a seco,Manual,4,Integral temporária,Injeção direta,Natural,3784 cm³,4 em linha,OM-314,Único no bloco,128 mm,97 mm,Longitudinal,Dianteiro,"19,2 kg/cv","70,4 kg/kgfm","25,2 cv/litro",953 cv,17:1,2800 rpm,1800 rpm,"6,9 kgfm/litro",26 kgfm,2,1935 mm,235 mm,42 graus,23 graus,1415 mm,1400 mm,1000 kg,4900 mm,2955 mm,1715 mm,1830 kg,,50 litros,500 mm,172 mm,Tambor,Tambor,Não assistida,14 m,Eixo rígido,Feixe de molas semielípticas,Eixo rígido,500 km,350 km,10 km/l,7 km/l,,1700 litros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota,Bandeirante,bandeirante,bandeirante-jipe-3-8-capota-aco-curto-1981,bandeirante-jipe-3-8-capota-aco-curto-1981,https://www.fichacompleta.com.br/carros/toyota/bandeirante-jipe-3-8-capota-aco-curto-1981,2026-06-14T16:13:55.410124,Toyota Bandeirante Jipe 3.8 Capota Aço Curto 1981,29 s,107 km/h,Embreagem monodisco a seco,Manual,4,Integral temporária,Injeção direta,Natural,3784 cm³,4 em linha,OM-314,Único no bloco,128 mm,97 mm,Longitudinal,Dianteiro,"17,9 kg/cv","65,8 kg/kgfm","25,2 cv/litro",953 cv,17:1,,,"6,9 kgfm/litro",26 kgfm,2,1920 mm,210 mm,40 graus,31 graus,1396 mm,1356 mm,420 kg,3835 mm,2285 mm,1665 mm,1710 kg,100 litros,50 litros,500 mm,172 mm,Tambor,Tambor,Não assistida,"10,6 m",Eixo rígido,Feixe de molas semielípticas,Eixo rígido,500 km,350 km,10 km/l,7 km/l,,,2800 rpm,1800 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota,Bandeirante,bandeirante,bandeirante-jipe-3-8-capota-lona-1981,bandeirante-jipe-3-8-capota-lona-1981,https://www.fichacompleta.com.br/carros/toyota/bandeirante-jipe-3-8-capota-lona-1981,2026-06-14T16:13:59.242747,Toyota Bandeirante Jipe 3.8 Capota Lona 1981,29 s,107 km/h,Embreagem monodisco a seco,Manual,4,Integral temporária,Injeção direta,Natural,3784 cm³,4 em linha,OM-314,Único no bloco,128 mm,97 mm,Longitudinal,Dianteiro,"16,6 kg/cv","60,8 kg/kgfm","25,2 cv/litro",953 cv,17:1,,,"6,9 kgfm/litro",26 kgfm,2,1950 mm,210 mm,40 graus,31 graus,1396 mm,1356 mm,420 kg,3835 mm,2285 mm,1665 mm,1580 kg,100 litros,50 litros,500 mm,172 mm,Tambor,Tambor,Não assistida,"10,6 m",Eixo rígido,Feixe de molas semielípticas,Eixo rígido,500 km,350 km,10 km/l,7 km/l,"82,2 m",,2800 rpm,1800 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota,Bandeirante,bandeirante,bandeirante-picape-3-8-chassi-curto-cs-1981,bandeirante-picape-3-8-chassi-curto-cs-1981,https://www.fichacompleta.com.br/carros/toyota/bandeirante-picape-3-8-chassi-curto-cs-1981,2026-06-14T16:14:03.781785,Toyota Bandeirante Picape 3.8 Chassi Curto CS 1981,29 s,107 km/h,Embreagem monodisco a seco,Manual,4,Integral temporária,Injeção direta,Natural,3784 cm³,4 em linha,OM-314,Único no bloco,128 mm,97 mm,Longitudinal,Dianteiro,"19,2 kg/cv","70,4 kg/kgfm","25,2 cv/litro",953 cv,17:1,,,"6,9 kgfm/litro",26 kgfm,2,1935 mm,235 mm,42 graus,23 graus,1415 mm,1400 mm,1000 kg,4900 mm,2955 mm,1715 mm,1830 kg,1700 litros,50 litros,500 mm,172 mm,Tambor,Tambor,Não assistida,14 m,Eixo rígido,Feixe de molas semielípticas,Eixo rígido,500 km,350 km,10 km/l,7 km/l,,1700 litros,2800 rpm,1800 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota,Bandeirante,bandeirante,bandeirante-jipe-3-8-capota-aco-curto-1984,bandeirante-jipe-3-8-capota-aco-curto-1984,https://www.fichacompleta.com.br/carros/toyota/bandeirante-jipe-3-8-capota-aco-curto-1984,2026-06-14T16:14:08.675555,Toyota Bandeirante Jipe 3.8 Capota Aço Curto 1984,32 s,120 km/h,Embreagem monodisco a seco,Manual,4,Integral temporária,Injeção direta,Natural,,4 em linha,OM-314,Único no bloco,128 mm,97 mm,Longitudinal,Dianteiro,"20,12 kg/cv","71,3 kg/kgfm","22,5 cv/litro",85 cv,17:1,2800 rpm,1800 rpm,"6,3 kgfm/litro",24 kgfm,2,1920 mm,210 mm,40 graus,31 graus,1415 mm,1400 mm,420 kg,3835 mm,2285 mm,1665 mm,1710 kg,100 litros,52 litros,500 mm,172 mm,Tambor,Tambor,Não assistida,"10,6 m",Eixo rígido,Feixe de molas semielípticas,Eixo rígido,624 km,364 km,12 km/l,7 km/l,,,,,946 cm³,3784 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota,Bandeirante,bandeirante,bandeirante-jipe-3-8-capota-aco-curto-1985,bandeirante-jipe-3-8-capota-aco-curto-1985,https://www.fichacompleta.com.br/carros/toyota/bandeirante-jipe-3-8-capota-aco-curto-1985,2026-06-14T16:14:11.390862,Toyota Bandeirante Jipe 3.8 Capota Aço Curto 1985,32 s,120 km/h,Embreagem monodisco a seco,Manual,4,Integral temporária,Injeção direta,Natural,3784 cm³,4 em linha,OM-314,Único no bloco,128 mm,97 mm,Longitudinal,Dianteiro,"20,1 kg/cv","71,3 kg/kgfm","22,5 cv/litro",85 cv,17:1,,,"6,3 kgfm/litro",24 kgfm,2,1920 mm,210 mm,40 graus,31 graus,1415 mm,1400 mm,420 kg,3835 mm,2285 mm,1665 mm,1710 kg,100 litros,52 litros,500 mm,172 mm,Tambor,Tambor,Não assistida,"10,6 m",Eixo rígido,Feixe de molas semielípticas,Eixo rígido,624 km,364 km,12 km/l,7 km/l,,,2800 rpm,1800 rpm,,,4,"10,6 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota,Bandeirante,bandeirante,bandeirante-jipe-3-8-capota-aco-longo-1985,bandeirante-jipe-3-8-capota-aco-longo-1985,https://www.fichacompleta.com.br/carros/toyota/bandeirante-jipe-3-8-capota-aco-longo-1985,2026-06-14T16:14:15.392518,Toyota Bandeirante Jipe 3.8 Capota Aço Longo 1985,32 s,120 km/h,Embreagem monodisco a seco,Manual,,Integral temporária,Injeção direta,Natural,3784 cm³,4 em linha,OM-314,no bloco,128 mm,97 mm,Longitudinal,Dianteiro,"20,7 kg/cv","73,3 kg/kgfm","22,5 cv/litro",85 cv a 2800 rpm,17:1,,,"6,3 kgfm/litro",24 kgfm a 1800 rpm,2,1965 mm,210 mm,40 graus,31 graus,1415 mm,1400 mm,890 kg,4305 mm,2755 mm,1665 mm,1760 kg,400 litros,52 litros,500 mm,172 mm,Tambor,Tambor,Não assistida,,Eixo rígido,Feixe de molas semielípticas,Eixo rígido,624 km,364 km,12 km/l,7 km/l,,,,,,,4,"12,6 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota,Bandeirante,bandeirante,bandeirante-jipe-3-8-capota-lona-1985,bandeirante-jipe-3-8-capota-lona-1985,https://www.fichacompleta.com.br/carros/toyota/bandeirante-jipe-3-8-capota-lona-1985,2026-06-14T16:14:18.084671,Toyota Bandeirante Jipe 3.8 Capota Lona 1985,32 s,120 km/h,Embreagem monodisco a seco,Manual,,Integral temporária,Injeção direta,Natural,3784 cm³,4 em linha,OM-314,no bloco,128 mm,97 mm,Longitudinal,Dianteiro,"18,6 kg/cv","65,8 kg/kgfm","22,5 cv/litro",85 cv a 2800 rpm,17:1,,,"6,3 kgfm/litro",24 kgfm a 1800 rpm,2,1950 mm,210 mm,40 graus,31 graus,1415 mm,1400 mm,420 kg,3835 mm,2285 mm,1665 mm,1580 kg,100 litros,52 litros,500 mm,172 mm,Tambor,Tambor,Não assistida,,Eixo rígido,Feixe de molas semielípticas,Eixo rígido,624 km,364 km,12 km/l,7 km/l,,,,,,,4,"10,6 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
