marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__bitola_dianteira,geral__bitola_traseira,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__inclinacao_lateral_maxima,geral__largura,geral__peso,geral__portamalas,geral__rampa_maxima,geral__reboque_com_freio,geral__tanque_de_combustivel,geral__travessia_de_agua,geral__altura_do_flanco,geral__dianteiros,geral__estepe,geral__traseiros,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coeficiente_de_arrasto_cx,geral__assistencia,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__altura_minima_do_solo,geral__acionam_do_comando,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__marchas,geral__cacamba,geral__coef_de_arrasto_cx,geral__diametro_de_giro,geral__regime_potencia_max,geral__regime_torque_max,geral__inclinacao_lateral_max,geral__rotacao_maxima,geral__codigo_do_cambio,geral__reboque_sem_freio,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__cilindrada_unitaria,geral__deslocamento,geral__viscosidade_do_oleo,geral__tuchos,geral__variacao_do_comando,geral__potencia,geral__torque,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__autonomia_eletrica,geral__capacidade_da_bateria,geral__consumo_eletrico,geral__potencia_combinada,geral__torque_combinado,geral__veloc_max_modo_elet,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__frenagem_1000_kmh,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__portamalas_5_lugares,geral__portamalas_7_lugares
volkswagen,Amarok,amarok,amarok-2-0-4x2-cd-2011,amarok-2-0-4x2-cd-2011,https://www.fichacompleta.com.br/carros/volkswagen/amarok-2-0-4x2-cd-2011,2026-06-14T18:04:55.721416,Volkswagen Amarok 2.0 4x2 CD 2011,"13,7 s",161 km/h,Embreagem monodisco a seco,Manual,6,Traseira,Injeção direta,Turbocompressor,1968 cm³,4 em linha,EA189,"Duplo no cabeçote, correia dentada","95,5 mm",81 mm,Longitudinal,Dianteiro,"16,3 kg/cv","57,4 kg/kgfm","62,0 cv/litro",122 cv a 4000 rpm,16:1,"17,6 kgfm/litro","34,7 kgfm a 1750 rpm",4,1834 mm,23 graus,30 graus,22 graus,1647 mm,1644 mm,1047 kg,5254 mm,3095 mm,49 graus,1944 mm,1993 kg,1200 litros,45 graus,2400 kg,80 litros,500 mm,164 mm,Disco ventilado,205/80 R16,Tambor,"3,02 m²","1,268 m²","0,42",Hidráulica,"12,9 m","Independente, braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,952 km,712 km,"11,9 km/l","8,9 km/l",240 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen,Amarok,amarok,amarok-2-0-4x4-cd-2011,amarok-2-0-4x4-cd-2011,https://www.fichacompleta.com.br/carros/volkswagen/amarok-2-0-4x4-cd-2011,2026-06-14T18:04:59.480072,Volkswagen Amarok 2.0 4x4 CD 2011,"13,7 s",161 km/h,Embreagem monodisco a seco,Manual,6,Integral temporária,Injeção direta,Turbocompressor,1968 cm³,4 em linha,EA189,"Duplo no cabeçote, correia dentada","95,5 mm",81 mm,Longitudinal,Dianteiro,"16,3 kg/cv","57,4 kg/kgfm","62,0 cv/litro",122 cv a 4000 rpm,16:1,"17,6 kgfm/litro","34,7 kgfm a 1750 rpm",4,1834 mm,23 graus,30 graus,22 graus,1647 mm,1644 mm,1047 kg,5254 mm,3095 mm,49 graus,1944 mm,1993 kg,1200 litros,45 graus,2400 kg,80 litros,500 mm,164 mm,Disco ventilado,205/80 R16,Tambor,"3,02 m²","1,268 m²","0,42",Hidráulica,"12,9 m","Independente, braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,952 km,712 km,"11,9 km/l","8,9 km/l",240 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen,Amarok,amarok,amarok-highline-2-0-4x4-cd-2011,amarok-highline-2-0-4x4-cd-2011,https://www.fichacompleta.com.br/carros/volkswagen/amarok-highline-2-0-4x4-cd-2011,2026-06-14T18:05:03.715322,Volkswagen Amarok Highline 2.0 4x4 CD 2011,"11,1 s",181 km/h,Embreagem monodisco a seco,Manual,6,Integral temporária,Injeção direta,Turbocompressor,1968 cm³,4 em linha,EA189,Duplo no cabeçote,"95,5 mm",81 mm,Longitudinal,Dianteiro,"12,8 kg/cv","51,0 kg/kgfm","82,8 cv/litro",163 cv,"16,5:1","20,7 kgfm/litro","40,8 kgfm",4,1834 mm,23 graus,30 graus,22 graus,1647 mm,1644 mm,1018 kg,5254 mm,3095 mm,,1954 mm,2082 kg,1200 litros,45 graus,2400 kg,80 litros,500 mm,153 mm,Disco ventilado,255/60 R18,Tambor,"3,02 m²","1,268 m²","0,42",Hidráulica,"12,9 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,1048 km,720 km,"13,1 km/l",9 km/l,240 mm,Correia dentada,4000 rpm,1750 rpm,6,1200 litros,"0,42","12,9 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen,Amarok,amarok,amarok-se-2-0-4x4-cd-2011,amarok-se-2-0-4x4-cd-2011,https://www.fichacompleta.com.br/carros/volkswagen/amarok-se-2-0-4x4-cd-2011,2026-06-14T18:05:07.029505,Volkswagen Amarok SE 2.0 4x4 CD 2011,"11,1 s",181 km/h,Embreagem monodisco a seco,Manual,,Integral temporária,Injeção direta,Turbocompressor,1968 cm³,4 em linha,EA189,Duplo no cabeçote,"95,5 mm",81 mm,Longitudinal,Dianteiro,"12,6 kg/cv","50,4 kg/kgfm","82,8 cv/litro",163 cv,"16,5:1","20,7 kgfm/litro","40,8 kgfm",4,1834 mm,23 graus,30 graus,22 graus,1647 mm,1644 mm,1044 kg,5254 mm,3095 mm,,1954 mm,2056 kg,,45 graus,2400 kg,80 litros,500 mm,172 mm,Disco ventilado,245/70 R16,Tambor,"3,02 m²","1,268 m²",,Hidráulica,,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,1048 km,720 km,"13,1 km/l",9 km/l,240 mm,Correia dentada,,,6,1200 litros,"0,42","12,9 m",4000 rpm,1750 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen,Amarok,amarok,amarok-trendline-2-0-4x4-cd-2011,amarok-trendline-2-0-4x4-cd-2011,https://www.fichacompleta.com.br/carros/volkswagen/amarok-trendline-2-0-4x4-cd-2011,2026-06-14T18:05:09.572810,Volkswagen Amarok Trendline 2.0 4x4 CD 2011,"11,1 s",181 km/h,Embreagem monodisco a seco,Manual,6,Integral temporária,Injeção direta,Turbocompressor,1968 cm³,4 em linha,EA189,"Duplo no cabeçote, correia dentada","95,5 mm",81 mm,Longitudinal,Dianteiro,"12,6 kg/cv","50,4 kg/kgfm","82,8 cv/litro",163 cv a 4000 rpm,"16,5:1","20,7 kgfm/litro","40,8 kgfm a 1750 rpm",4,1834 mm,23 graus,30 graus,22 graus,1647 mm,1644 mm,1044 kg,5254 mm,3095 mm,,1954 mm,2056 kg,1200 litros,45 graus,2400 kg,80 litros,500 mm,159 mm,Disco ventilado,245/65 R17,Tambor,"3,02 m²","1,268 m²","0,42",Hidráulica,"12,9 m","Independente, braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,1048 km,720 km,"13,1 km/l",9 km/l,240 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen,Amarok,amarok,amarok-2-0-4x2-cd-2012,amarok-2-0-4x2-cd-2012,https://www.fichacompleta.com.br/carros/volkswagen/amarok-2-0-4x2-cd-2012,2026-06-14T18:05:13.727754,Volkswagen Amarok 2.0 4x2 CD 2012,"13,7 s",161 km/h,Embreagem monodisco a seco,Manual,,Traseira,Injeção direta,Turbocompressor,1968 cm³,4 em linha,EA189,Duplo no cabeçote,"95,5 mm",81 mm,Longitudinal,Dianteiro,"16,3 kg/cv","57,4 kg/kgfm","62,0 cv/litro",122 cv,16:1,"17,6 kgfm/litro","34,7 kgfm",4,1834 mm,23 graus,30 graus,22 graus,1647 mm,1644 mm,1047 kg,5254 mm,3095 mm,,1954 mm,1993 kg,,45 graus,2400 kg,80 litros,500 mm,172 mm,Disco ventilado,245/70 R16,Tambor,"3,02 m²","1,268 m²",,Hidráulica,,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,952 km,712 km,"11,9 km/l","8,9 km/l",240 mm,Correia dentada,,,6,1200 litros,"0,42","12,9 m",4000 rpm,1750 rpm,49 graus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen,Amarok,amarok,amarok-2-0-4x2-cs-2012,amarok-2-0-4x2-cs-2012,https://www.fichacompleta.com.br/carros/volkswagen/amarok-2-0-4x2-cs-2012,2026-06-14T18:05:17.650532,Volkswagen Amarok 2.0 4x2 CS 2012,"13,2 s",162 km/h,Embreagem monodisco a seco,Manual,6,Traseira,Injeção direta,Turbocompressor,1968 cm³,4 em linha,EA189,"Duplo no cabeçote, correia dentada","95,5 mm",81 mm,Longitudinal,Dianteiro,"15,0 kg/cv","52,6 kg/kgfm","62,0 cv/litro",122 cv a 4000 rpm,16:1,"17,6 kgfm/litro","34,7 kgfm a 1600 rpm",4,1820 mm,,,,1647 mm,1644 mm,1215 kg,5254 mm,3095 mm,,1944 mm,1825 kg,1814 litros,,2510 kg,80 litros,,164 mm,Disco ventilado,205/80 R16,Tambor,,,,Hidráulica,Não informado,"Independente, braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,960 km,720 km,12 km/l,9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen,Amarok,amarok,amarok-2-0-4x4-cd-2012,amarok-2-0-4x4-cd-2012,https://www.fichacompleta.com.br/carros/volkswagen/amarok-2-0-4x4-cd-2012,2026-06-14T18:05:20.467254,Volkswagen Amarok 2.0 4x4 CD 2012,"13,7 s",161 km/h,Embreagem monodisco a seco,Manual,6,Integral temporária,Injeção direta,Turbocompressor,1968 cm³,4 em linha,EA189,"Duplo no cabeçote, correia dentada","95,5 mm",81 mm,Longitudinal,Dianteiro,"16,9 kg/cv","59,3 kg/kgfm","62,0 cv/litro",122 cv a 4000 rpm,16:1,"17,6 kgfm/litro","34,7 kgfm a 1750 rpm",4,1834 mm,23 graus,30 graus,22 graus,1647 mm,1644 mm,1044 kg,5254 mm,3095 mm,49 graus,1954 mm,2056 kg,1200 litros,45 graus,2400 kg,80 litros,500 mm,172 mm,Disco ventilado,245/70 R16,Tambor,"3,02 m²","1,268 m²","0,42",Hidráulica,"12,9 m","Independente, braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,952 km,712 km,"11,9 km/l","8,9 km/l",240 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen,Amarok,amarok,amarok-2-0-4x4-cs-2012,amarok-2-0-4x4-cs-2012,https://www.fichacompleta.com.br/carros/volkswagen/amarok-2-0-4x4-cs-2012,2026-06-14T18:05:22.854553,Volkswagen Amarok 2.0 4x4 CS 2012,"13,2 s",162 km/h,Embreagem monodisco a seco,Manual,6,Integral temporária,Injeção direta,Turbocompressor,1968 cm³,4 em linha,EA189,"Duplo no cabeçote, correia dentada","95,5 mm",81 mm,Longitudinal,Dianteiro,"15,7 kg/cv","55,2 kg/kgfm","62,0 cv/litro",122 cv a 4000 rpm,16:1,"17,6 kgfm/litro","34,7 kgfm a 1600 rpm",4,1820 mm,,,,1647 mm,1644 mm,1142 kg,5254 mm,3095 mm,,1944 mm,1915 kg,1814 litros,,2510 kg,80 litros,,164 mm,Disco ventilado,205/80 R16,Tambor,,,,Hidráulica,Não informado,"Independente, braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,960 km,720 km,12 km/l,9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen,Amarok,amarok,amarok-highline-2-0-4x4-at-cd-2012,amarok-highline-2-0-4x4-at-cd-2012,https://www.fichacompleta.com.br/carros/volkswagen/amarok-highline-2-0-4x4-at-cd-2012,2026-06-14T18:05:26.492692,Volkswagen Amarok Highline 2.0 4x4 AT CD 2012,"10,9 s",179 km/h,Conversor de torque,Automático,8,Integral permanente,Injeção direta,Turbocompressor,1968 cm³,4 em linha,EA189,Duplo no cabeçote,"95,5 mm",81 mm,Longitudinal,Dianteiro,"11,5 kg/cv","48,4 kg/kgfm","91,5 cv/litro",180 cv,16:1,"21,7 kgfm/litro","42,8 kgfm",4,1834 mm,23 graus,30 graus,22 graus,1647 mm,1644 mm,1017 kg,5254 mm,3095 mm,,1944 mm,2073 kg,1200 litros,45 graus,2400 kg,80 litros,500 mm,153 mm,Disco ventilado,255/60 R18,Tambor,"3,02 m²","1,268 m²","0,42",Hidráulica,"12,9 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,864 km,704 km,"10,8 km/l","8,8 km/l",240 mm,Correia dentada,4000 rpm,1750 rpm,8,1200 litros,"0,42","12,9 m",,,,5000 rpm,ZF 8HP,750 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
