marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__acionam_do_comando,geral__regime_potencia_max,geral__regime_torque_max,geral__marchas,geral__diametro_de_giro,geral__codigo_do_motor,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__codigo_do_cambio,geral__bitola_dianteira,geral__bitola_traseira,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__cilindrada_unitaria,geral__deslocamento,geral__potencia,geral__torque,geral__carga_util,geral__reboque_com_freio,geral__reboque_sem_freio,geral__variacao_do_comando,geral__rotacao_maxima,geral__altura_minima_do_solo,geral__travessia_de_agua,geral__estepe,geral__autonomia,geral__capacidade_da_bateria,geral__consumo_eletrico,geral__potencia_combinada,geral__torque_combinado,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__frenagem_1000_kmh,geral__potencia_de_recarga,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__autonomia_eletrica,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__tuchos,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares
volvo,460,460,460-1-7-turbo-1992,460-1-7-turbo-1992,https://www.fichacompleta.com.br/carros/volvo/460-1-7-turbo-1992,2026-06-18T18:27:24.789865,Volvo 460 1.7 Turbo 1992,"9,9 s",190 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção monoponto,Turbocompressor,1721 cm³,4 em linha,Único no cabeçote,"83,5 mm",81 mm,Transversal,Dianteiro,"8,8 kg/cv","54,3 kg/kgfm","69,7 cv/litro",120 cv a 5300 rpm,"8,1:1","11,3 kgfm/litro","19,4 kgfm a 3300 rpm",2,1390 mm,4440 mm,2500 mm,1690 mm,1053 kg,453 litros,60 litros,120 mm,Disco ventilado,Disco ventilado,Hidráulica,"11,3 m","Independente, McPherson",Mola helicoidal,"Independente, braço semi-arrastado",780 km,540 km,13 km/l,9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,460,460,460-glt-2-0-1995,460-glt-2-0-1995,https://www.fichacompleta.com.br/carros/volvo/460-glt-2-0-1995,2026-06-18T18:27:28.213866,Volvo 460 GLT 2.0 1995,"10,3 s",185 km/h,Embreagem monodisco a seco,Manual,,Dianteira,Injeção multiponto,Natural,1998 cm³,4 em linha,Único no cabeçote,93 mm,"82,7 mm",Transversal,Dianteiro,"9,6 kg/cv","62,6 kg/kgfm","55,1 cv/litro",110 cv,"9,8:1","8,4 kgfm/litro","16,8 kgfm",2,1378 mm,4435 mm,2503 mm,1686 mm,1051 kg,401 litros,60 litros,120 mm,Disco ventilado,Disco ventilado,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",780 km,540 km,13 km/l,9 km/l,Correia dentada,5200 rpm,3500 rpm,5,"11,3 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-glt-2-5-1992,850-glt-2-5-1992,https://www.fichacompleta.com.br/carros/volvo/850-glt-2-5-1992,2026-06-18T18:27:47.020593,Volvo 850 GLT 2.5 1992,10 s,200 km/h,Conversor de torque,Automático,4,Dianteira,Injeção multiponto,Natural,2435 cm³,5 em linha,Duplo no cabeçote,90 mm,83 mm,Transversal,Dianteiro,"8,0 kg/cv","60,9 kg/kgfm","69,8 cv/litro",170 cv,"10,5:1","9,2 kgfm/litro","22,4 kgfm",4,1400 mm,4660 mm,2670 mm,1760 mm,1365 kg,416 litros,73 litros,117 mm,Disco ventilado,Disco sólido,Hidráulica,"10,2 m","Indep., McPherson",Mola helicoidal,"Indep., braço semi-arrastado",876 km,584 km,12 km/l,8 km/l,Correia dentada,,,4,"10,2 m",B5254S,6200 rpm,3300 rpm,AW50-42LE,1520 mm,1470 mm,"2,09 m²","0,669 m²","0,32","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-glt-2-5-1993,850-glt-2-5-1993,https://www.fichacompleta.com.br/carros/volvo/850-glt-2-5-1993,2026-06-18T18:27:51.041254,Volvo 850 GLT 2.5 1993,10 s,200 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Natural,2435 cm³,5 em linha,Duplo no cabeçote,90 mm,83 mm,Transversal,Dianteiro,"8,0 kg/cv","60,9 kg/kgfm","69,8 cv/litro",170 cv,"10,5:1","9,2 kgfm/litro","22,4 kgfm",4,1400 mm,4660 mm,2670 mm,1760 mm,1365 kg,416 litros,73 litros,117 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",876 km,584 km,12 km/l,8 km/l,Correia dentada,6200 rpm,3300 rpm,4,"10,2 m",B5254S,,,AW50-42LE,1520 mm,1470 mm,"2,09 m²","0,669 m²","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-glt-2-5-1994,850-glt-2-5-1994,https://www.fichacompleta.com.br/carros/volvo/850-glt-2-5-1994,2026-06-18T18:27:54.718006,Volvo 850 GLT 2.5 1994,9 s,210 km/h,Embreagem monodisco a seco,Manual,,Dianteira,Injeção multiponto,Natural,,5 em linha,Duplo no cabeçote,90 mm,83 mm,Transversal,Dianteiro,"8,03 kg/cv","60,9 kg/kgfm","69,8 cv/litro",170 cv,"10,5:1","9,2 kgfm/litro","22,4 kgfm",4,1400 mm,4660 mm,2670 mm,1760 mm,1365 kg,416 litros,73 litros,117 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",913 km,621 km,"12,5 km/l","8,5 km/l",Correia dentada,6200 rpm,3300 rpm,5,"10,2 m",B5254S,,,,1520 mm,1470 mm,"2,09 m²","0,669 m²","0,32",,487 cm³,2435 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-r-2-3-turbo-1994,850-r-2-3-turbo-1994,https://www.fichacompleta.com.br/carros/volvo/850-r-2-3-turbo-1994,2026-06-18T18:27:57.382913,Volvo 850 R 2.3 Turbo 1994,"7,5 s",235 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Turbocompressor,2319 cm³,5 em linha,Duplo no cabeçote,90 mm,81 mm,Transversal,Dianteiro,"6,1 kg/cv","48,1 kg/kgfm","103,5 cv/litro",cv,"8,5:1","13,2 kgfm/litro","30,6 kgfm",4,1410 mm,4670 mm,2670 mm,1760 mm,1472 kg,416 litros,73 litros,92 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",767 km,548 km,"10,5 km/l","7,5 km/l",Correia dentada,,,4,"10,6 m",B5234T5,5600 rpm,2000 rpm,AW50-42LE,1520 mm,1470 mm,"2,11 m²","0,675 m²","0,32",,,,240 cv,"30,6 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-t5-2-3-turbo-1995,850-t5-2-3-turbo-1995,https://www.fichacompleta.com.br/carros/volvo/850-t5-2-3-turbo-1995,2026-06-18T18:28:00.029913,Volvo 850 T5 2.3 Turbo 1995,"7,4 s",240 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção multiponto,Turbocompressor,2319 cm³,5 em linha,"Duplo no cabeçote, correia dentada",90 mm,81 mm,Transversal,Dianteiro,"6,1 kg/cv","45,1 kg/kgfm","97,0 cv/litro",225 cv a 5280 rpm,"8,5:1","13,2 kgfm/litro","30,6 kgfm a 2000 rpm",4,1410 mm,4670 mm,2670 mm,1760 mm,1379 kg,416 litros,73 litros,103 mm,Disco ventilado,Disco sólido,Hidráulica,"10,2 m","Independente, McPherson",Mola helicoidal,"Independente, braço semi-arrastado",803 km,584 km,11 km/l,8 km/l,,,,,,B5234T,,,,1520 mm,1470 mm,"2,11 m²","0,675 m²",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-t5-2-3-turbo-1995-gasolina,850-t5-2-3-turbo-1995-gasolina,https://www.fichacompleta.com.br/carros/volvo/850-t5-2-3-turbo-1995-gasolina,2026-06-18T18:28:02.991765,Volvo 850 T5 2.3 Turbo 1995,"7,7 s",230 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Turbocompressor,,5 em linha,Duplo no cabeçote,90 mm,81 mm,Transversal,Dianteiro,"6,22 kg/cv","45,7 kg/kgfm","97,0 cv/litro",225 cv,"8,5:1","13,2 kgfm/litro","30,6 kgfm",4,1410 mm,4670 mm,2670 mm,1760 mm,1399 kg,416 litros,73 litros,103 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",803 km,584 km,11 km/l,8 km/l,Correia dentada,5280 rpm,2000 rpm,4,"10,2 m",B5234T,,,AW50-42LE,1520 mm,1470 mm,"2,11 m²","0,675 m²","0,32",,464 cm³,2319 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-r-2-3-turbo-1996,850-r-2-3-turbo-1996,https://www.fichacompleta.com.br/carros/volvo/850-r-2-3-turbo-1996,2026-06-18T18:28:07.482873,Volvo 850 R 2.3 Turbo 1996,"7,5 s",235 km/h,Conversor de torque,Automático,4,Dianteira,Injeção multiponto,Turbocompressor,2319 cm³,5 em linha,"Duplo no cabeçote, correia dentada",90 mm,81 mm,Transversal,Dianteiro,"6,1 kg/cv","48,1 kg/kgfm","103,5 cv/litro",240 cv a 5600 rpm,"8,5:1","13,2 kgfm/litro","30,6 kgfm a 2000 rpm",4,1410 mm,4670 mm,2670 mm,1760 mm,1472 kg,416 litros,73 litros,92 mm,Disco ventilado,Disco sólido,Hidráulica,"10,6 m","Independente, McPherson",Mola helicoidal,"Independente, braço semi-arrastado",767 km,548 km,"10,5 km/l","7,5 km/l",,,,,,B5234T5,,,AW50-42LE,1520 mm,1470 mm,"2,11 m²","0,675 m²",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-t5-2-3-turbo-1996,850-t5-2-3-turbo-1996,https://www.fichacompleta.com.br/carros/volvo/850-t5-2-3-turbo-1996,2026-06-18T18:28:12.224636,Volvo 850 T5 2.3 Turbo 1996,"7,7 s",230 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Turbocompressor,,5 em linha,Duplo no cabeçote,90 mm,81 mm,Transversal,Dianteiro,"6,22 kg/cv","45,7 kg/kgfm","97,0 cv/litro",225 cv,"8,5:1","13,2 kgfm/litro","30,6 kgfm",4,1410 mm,4670 mm,2670 mm,1760 mm,1399 kg,416 litros,73 litros,103 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",803 km,584 km,11 km/l,8 km/l,Correia dentada,5280 rpm,2000 rpm,4,"10,2 m",B5234T,,,AW50-42LE,1520 mm,1470 mm,"2,11 m²","0,675 m²","0,32",,464 cm³,2319 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
